,hsa-miR-425,hsa-let-7e,hsa-miR-28-3p,hsa-miR-1257,hsa-miR-302a,hsa-miR-642,hsa-miR-148a,hsa-miR-133b,hsa-miR-1307,hsa-miR-548d-3p,hsa-miR-2113,hsa-miR-331-5p,hsa-miR-10b,hsa-miR-518c,hsa-miR-218,hsa-miR-330-3p,hsa-miR-1226,hsa-miR-630,hsa-miR-15b,bkv-miR-B1-3p+jcv-miR-J1-3p,hsa-miR-1245,hsv1-miR-H1,hsa-miR-124,hsa-miR-34c-5p,hsa-miR-340,hsa-miR-302b,hsa-miR-155,hsa-miR-320d,hsa-let-7i,hsa-miR-597
2322,7.0,51.0,40.0,146.0,54.0,35.0,15.0,85.0,152.0,5.0,24.0,36.0,18.0,553.0,127.0,57.0,445.0,327.0,99.0,263.0,74.0,53.0,38.0,43.0,614.0,52.0,376.0,11.0,8.0,49.0
2371,26.0,24.0,86.0,59.0,63.0,74.0,28.0,48.0,67.0,22.0,34.0,624.0,55.0,146.0,16.0,627.0,80.0,133.0,76.0,270.0,9.0,295.0,31.0,87.0,616.0,47.0,15.0,46.0,50.0,84.0
2420,9.0,3.0,39.0,66.0,77.0,85.0,382.0,86.0,139.0,228.0,25.0,0.0,31.0,129.0,167.0,22.0,83.0,51.0,26.0,8.0,19.0,107.0,65.0,102.0,616.0,106.0,23.0,2.0,460.0,118.0
2469,19.0,12.0,160.0,45.0,145.0,67.0,25.0,179.0,10.0,131.0,123.0,625.0,135.0,43.0,157.0,23.0,453.0,103.0,106.0,108.0,27.0,300.0,14.0,127.0,618.0,44.0,113.0,24.0,121.0,101.0
2518,19.0,13.0,21.0,46.0,61.0,96.0,28.0,139.0,468.0,211.0,131.0,619.0,133.0,57.0,90.0,622.0,122.0,132.0,374.0,59.0,26.0,103.0,113.0,3.0,54.0,137.0,146.0,628.0,118.0,182.0
2567,29.0,37.0,46.0,31.0,105.0,114.0,381.0,143.0,433.0,53.0,76.0,45.0,132.0,554.0,42.0,623.0,83.0,330.0,373.0,39.0,129.0,125.0,444.0,26.0,614.0,133.0,146.0,100.0,128.0,227.0
2616,10.0,55.0,33.0,37.0,71.0,78.0,77.0,105.0,16.0,23.0,54.0,621.0,21.0,44.0,156.0,106.0,114.0,46.0,375.0,73.0,95.0,132.0,48.0,72.0,8.0,112.0,115.0,11.0,41.0,185.0
2665,23.0,47.0,150.0,35.0,92.0,91.0,77.0,55.0,394.0,43.0,86.0,42.0,48.0,562.0,585.0,18.0,135.0,24.0,368.0,31.0,103.0,113.0,25.0,53.0,614.0,88.0,11.0,6.0,119.0,98.0
2714,131.0,53.0,41.0,66.0,84.0,32.0,27.0,99.0,463.0,537.0,126.0,583.0,92.0,67.0,405.0,584.0,60.0,51.0,8.0,69.0,107.0,101.0,68.0,65.0,575.0,61.0,497.0,3.0,157.0,252.0
2763,3.0,36.0,122.0,23.0,132.0,43.0,407.0,21.0,24.0,559.0,97.0,133.0,35.0,95.0,510.0,42.0,77.0,173.0,500.0,101.0,276.0,56.0,361.0,142.0,437.0,123.0,9.0,140.0,74.0,106.0
2812,25.0,92.0,34.0,22.0,111.0,112.0,8.0,48.0,97.0,83.0,58.0,53.0,146.0,16.0,165.0,620.0,52.0,320.0,65.0,131.0,120.0,127.0,90.0,21.0,614.0,568.0,63.0,72.0,107.0,199.0
2861,165.0,80.0,19.0,70.0,134.0,39.0,41.0,444.0,452.0,32.0,409.0,152.0,77.0,57.0,145.0,581.0,118.0,103.0,20.0,74.0,9.0,159.0,56.0,43.0,0.0,135.0,485.0,50.0,287.0,194.0
2910,55.0,13.0,23.0,47.0,84.0,36.0,27.0,108.0,467.0,184.0,89.0,50.0,51.0,137.0,22.0,25.0,96.0,80.0,373.0,35.0,44.0,138.0,104.0,97.0,28.0,67.0,46.0,626.0,72.0,101.0
2959,56.0,46.0,30.0,105.0,55.0,117.0,68.0,101.0,34.0,22.0,87.0,28.0,172.0,43.0,124.0,116.0,97.0,330.0,98.0,122.0,133.0,107.0,103.0,85.0,620.0,76.0,49.0,629.0,462.0,72.0
3008,6.0,0.0,131.0,61.0,82.0,32.0,34.0,92.0,73.0,7.0,119.0,49.0,153.0,24.0,591.0,26.0,105.0,95.0,374.0,116.0,440.0,111.0,88.0,146.0,629.0,154.0,62.0,43.0,47.0,127.0
3057,13.0,30.0,109.0,118.0,14.0,24.0,96.0,22.0,46.0,20.0,133.0,87.0,83.0,81.0,90.0,624.0,39.0,50.0,59.0,262.0,441.0,157.0,62.0,67.0,99.0,574.0,36.0,34.0,122.0,85.0
3106,22.0,463.0,112.0,37.0,63.0,93.0,19.0,107.0,21.0,34.0,92.0,47.0,175.0,87.0,500.0,44.0,64.0,20.0,71.0,270.0,442.0,82.0,121.0,104.0,95.0,116.0,38.0,65.0,5.0,224.0
3155,90.0,312.0,437.0,150.0,41.0,56.0,122.0,91.0,618.0,139.0,508.0,148.0,13.0,140.0,48.0,30.0,42.0,97.0,99.0,51.0,36.0,39.0,59.0,109.0,40.0,153.0,417.0,76.0,61.0,151.0
3204,17.0,465.0,23.0,149.0,63.0,77.0,119.0,84.0,123.0,57.0,7.0,87.0,176.0,21.0,147.0,5.0,158.0,37.0,384.0,93.0,156.0,167.0,82.0,616.0,68.0,40.0,74.0,94.0,464.0,54.0
3253,83.0,16.0,137.0,113.0,42.0,134.0,59.0,73.0,29.0,95.0,23.0,17.0,142.0,13.0,381.0,96.0,100.0,146.0,15.0,118.0,116.0,80.0,158.0,576.0,44.0,420.0,27.0,4.0,69.0,227.0
3302,37.0,12.0,162.0,60.0,105.0,133.0,55.0,84.0,20.0,204.0,98.0,9.0,87.0,62.0,498.0,626.0,79.0,27.0,72.0,58.0,439.0,130.0,74.0,141.0,41.0,134.0,29.0,596.0,119.0,219.0
3351,8.0,7.0,105.0,151.0,107.0,108.0,124.0,86.0,66.0,240.0,409.0,166.0,61.0,555.0,142.0,35.0,127.0,58.0,156.0,79.0,53.0,31.0,97.0,110.0,114.0,54.0,383.0,567.0,40.0,91.0
