,hsa-miR-130a,hsa-miR-222,hsa-miR-497,hsa-miR-34a,hsa-let-7e,hsa-let-7c,hsa-miR-149,hsa-miR-1260,hsa-miR-548p,hsa-miR-1978,hsa-miR-1302,hsa-miR-218,hsa-miR-582-5p,hsa-miR-553,hsa-miR-1298,hsa-miR-1233,hsa-miR-483-3p,hsa-miR-155,hsa-miR-9,hsa-miR-210,hsa-miR-1308,hsa-miR-96,hsa-miR-569,hsa-miR-877,hsa-miR-135b,hsa-miR-99a,hsa-miR-1307,hsa-miR-129-3p,hsa-miR-342-3p,hsa-miR-567
4135,5.0,17.0,8.0,33.0,62.0,441.0,14.0,78.0,50.0,53.0,49.0,20.0,55.0,107.0,422.0,31.0,43.0,72.0,16.0,29.0,66.0,291.0,221.0,58.0,94.0,139.0,9.0,83.0,37.0,116.0
4184,5.0,12.0,11.0,30.0,65.0,26.0,3.0,32.0,53.0,410.0,35.0,31.0,95.0,70.0,18.0,58.0,510.0,74.0,79.0,22.0,38.0,110.0,199.0,49.0,85.0,76.0,131.0,54.0,616.0,91.0
4233,3.0,21.0,13.0,23.0,83.0,35.0,5.0,57.0,105.0,401.0,20.0,19.0,45.0,24.0,460.0,29.0,51.0,358.0,53.0,490.0,8.0,37.0,203.0,33.0,379.0,25.0,48.0,94.0,606.0,60.0
4282,2.0,39.0,15.0,18.0,30.0,47.0,4.0,80.0,82.0,28.0,106.0,124.0,125.0,61.0,51.0,111.0,506.0,16.0,7.0,21.0,70.0,34.0,74.0,93.0,412.0,50.0,103.0,109.0,94.0,112.0
4331,4.0,21.0,12.0,20.0,457.0,89.0,22.0,43.0,102.0,1.0,57.0,5.0,80.0,99.0,464.0,51.0,508.0,366.0,62.0,14.0,28.0,41.0,73.0,42.0,16.0,98.0,118.0,86.0,614.0,88.0
4380,13.0,30.0,28.0,23.0,44.0,12.0,364.0,9.0,214.0,74.0,58.0,16.0,210.0,105.0,424.0,34.0,506.0,41.0,42.0,495.0,35.0,83.0,206.0,94.0,59.0,45.0,80.0,118.0,610.0,61.0
4429,7.0,11.0,23.0,36.0,463.0,113.0,10.0,40.0,20.0,41.0,64.0,95.0,220.0,70.0,25.0,97.0,149.0,28.0,338.0,405.0,12.0,24.0,6.0,348.0,67.0,139.0,469.0,94.0,112.0,142.0
4478,13.0,8.0,26.0,39.0,107.0,441.0,41.0,99.0,98.0,72.0,21.0,29.0,105.0,20.0,463.0,123.0,111.0,357.0,328.0,492.0,422.0,81.0,211.0,93.0,35.0,9.0,423.0,112.0,606.0,80.0
4527,36.0,14.0,17.0,34.0,2.0,20.0,6.0,110.0,48.0,31.0,69.0,126.0,60.0,33.0,463.0,7.0,118.0,107.0,91.0,425.0,105.0,254.0,15.0,4.0,81.0,102.0,426.0,467.0,112.0,100.0
4576,14.0,17.0,59.0,67.0,3.0,32.0,21.0,44.0,62.0,74.0,80.0,82.0,53.0,66.0,10.0,18.0,510.0,20.0,114.0,592.0,11.0,68.0,9.0,89.0,43.0,137.0,427.0,95.0,64.0,99.0
4625,10.0,22.0,13.0,26.0,23.0,66.0,4.0,8.0,190.0,92.0,53.0,24.0,216.0,58.0,67.0,124.0,11.0,87.0,335.0,57.0,45.0,90.0,170.0,95.0,97.0,123.0,464.0,473.0,19.0,114.0
4674,24.0,13.0,54.0,40.0,454.0,4.0,23.0,39.0,38.0,2.0,42.0,103.0,85.0,70.0,463.0,66.0,91.0,35.0,10.0,64.0,37.0,284.0,213.0,250.0,22.0,93.0,94.0,73.0,48.0,106.0
4723,4.0,9.0,57.0,48.0,31.0,17.0,52.0,27.0,50.0,98.0,41.0,127.0,60.0,74.0,15.0,433.0,35.0,59.0,33.0,83.0,387.0,279.0,0.0,250.0,29.0,278.0,389.0,88.0,13.0,72.0
4772,29.0,28.0,10.0,20.0,8.0,19.0,3.0,71.0,7.0,12.0,95.0,88.0,79.0,89.0,17.0,40.0,66.0,59.0,363.0,6.0,474.0,25.0,108.0,347.0,68.0,351.0,442.0,138.0,72.0,98.0
4821,4.0,13.0,61.0,68.0,9.0,49.0,54.0,73.0,107.0,80.0,32.0,52.0,147.0,33.0,426.0,44.0,34.0,97.0,59.0,393.0,122.0,117.0,215.0,100.0,380.0,89.0,95.0,111.0,69.0,66.0
4870,21.0,15.0,6.0,28.0,5.0,98.0,3.0,93.0,48.0,45.0,113.0,42.0,247.0,27.0,592.0,120.0,67.0,62.0,74.0,85.0,425.0,359.0,198.0,25.0,68.0,102.0,423.0,56.0,596.0,76.0
