,hsa-miR-579,hsa-miR-605,hsa-miR-520c-3p,hsa-miR-614,hsa-miR-558,hsa-miR-96,ebv-miR-BART5,hsa-miR-519e,hsa-miR-592,hsa-miR-513a-5p,hsa-miR-1299,hsa-miR-197,hsa-miR-424,hsa-miR-1256,hsa-miR-591,hsa-miR-518c,hsa-miR-545,hsa-miR-34a,hsa-miR-1297,hsa-miR-223,hsa-miR-1975,hsa-miR-708,hsa-miR-133b,hsa-miR-513a-3p,hsa-miR-151-3p,hsa-miR-526b,hsa-miR-567,hsa-miR-1302,hsa-miR-149,hsa-miR-9
3493,2.0,1.0,4.0,15.0,0.0,37.0,266.0,195.0,119.0,9.0,11.0,478.0,159.0,13.0,289.0,501.0,23.0,493.0,219.0,177.0,6.0,430.0,5.0,335.0,280.0,114.0,347.0,92.0,16.0,54.0
3542,3.0,0.0,11.0,16.0,7.0,122.0,21.0,450.0,308.0,251.0,276.0,374.0,8.0,201.0,324.0,169.0,630.0,121.0,97.0,24.0,58.0,32.0,19.0,150.0,427.0,33.0,165.0,78.0,34.0,187.0
3591,0.0,1.0,22.0,24.0,46.0,19.0,29.0,5.0,10.0,144.0,4.0,112.0,454.0,78.0,257.0,33.0,385.0,9.0,308.0,283.0,252.0,44.0,21.0,76.0,116.0,261.0,210.0,205.0,291.0,8.0
3640,1.0,0.0,2.0,40.0,125.0,17.0,42.0,101.0,72.0,126.0,29.0,20.0,12.0,14.0,3.0,230.0,55.0,4.0,179.0,118.0,84.0,383.0,130.0,7.0,114.0,386.0,450.0,568.0,277.0,53.0
3689,4.0,1.0,33.0,205.0,5.0,154.0,156.0,51.0,257.0,3.0,81.0,333.0,13.0,283.0,414.0,2.0,101.0,200.0,294.0,105.0,6.0,0.0,102.0,21.0,151.0,576.0,249.0,97.0,152.0,16.0
3738,1.0,2.0,49.0,251.0,0.0,4.0,35.0,15.0,112.0,6.0,95.0,3.0,137.0,195.0,17.0,46.0,53.0,68.0,324.0,119.0,143.0,120.0,73.0,311.0,487.0,13.0,266.0,63.0,530.0,62.0
3787,3.0,0.0,1.0,101.0,65.0,29.0,167.0,4.0,5.0,21.0,30.0,125.0,23.0,10.0,282.0,47.0,272.0,148.0,54.0,63.0,600.0,33.0,248.0,141.0,440.0,392.0,59.0,86.0,388.0,42.0
3836,0.0,2.0,10.0,7.0,1.0,332.0,255.0,27.0,31.0,63.0,14.0,25.0,3.0,42.0,335.0,110.0,40.0,103.0,170.0,358.0,162.0,85.0,363.0,9.0,311.0,26.0,572.0,67.0,107.0,137.0
3885,0.0,70.0,6.0,173.0,8.0,49.0,20.0,5.0,506.0,12.0,28.0,138.0,9.0,22.0,29.0,127.0,18.0,72.0,87.0,144.0,264.0,31.0,4.0,166.0,418.0,170.0,80.0,24.0,210.0,109.0
3934,4.0,21.0,39.0,9.0,558.0,3.0,417.0,28.0,6.0,110.0,169.0,182.0,12.0,73.0,2.0,625.0,498.0,533.0,85.0,5.0,27.0,252.0,460.0,62.0,477.0,121.0,18.0,25.0,34.0,462.0
