,PKC-alpha,Shc_pY317,Gab2,c-Jun_pS73,TFRC,AMPK_alpha,FRA1,GSK3_pS9,Bax,G6PD,NDRG1_pT346,XBP1,4E-BP1_pS65,Smac,ADAR1,Cyclin_E1,p70S6K_pT389,Cyclin_B1,Rictor_pT1135,RAD51,ASNS,MSH6,p90RSK_pT359_S363,Fibronectin,IGFBP2,JNK2,4E-BP1,YB-1_pS102,N-Cadherin,Lck
4268,24.0,28.0,35.0,10.0,9.0,21.0,37.0,20.0,31.0,27.0,59.0,91.0,12.0,26.0,3.0,140.0,83.0,45.0,67.0,47.0,160.0,68.0,81.0,72.0,36.0,146.0,53.0,44.0,158.0,0.0
4317,16.0,3.0,17.0,5.0,34.0,46.0,22.0,29.0,37.0,114.0,64.0,104.0,26.0,91.0,69.0,9.0,51.0,77.0,33.0,83.0,35.0,92.0,103.0,148.0,74.0,2.0,21.0,90.0,32.0,138.0
4366,24.0,8.0,11.0,27.0,26.0,34.0,15.0,70.0,59.0,9.0,65.0,96.0,32.0,18.0,67.0,68.0,40.0,57.0,39.0,38.0,14.0,20.0,10.0,146.0,73.0,103.0,3.0,89.0,82.0,116.0
4415,3.0,130.0,33.0,16.0,64.0,25.0,18.0,2.0,21.0,137.0,17.0,61.0,31.0,38.0,66.0,48.0,20.0,55.0,24.0,32.0,114.0,54.0,151.0,139.0,74.0,44.0,39.0,73.0,42.0,15.0
4464,7.0,67.0,65.0,53.0,27.0,31.0,84.0,83.0,55.0,36.0,54.0,77.0,81.0,17.0,25.0,19.0,47.0,43.0,39.0,101.0,160.0,95.0,21.0,68.0,115.0,96.0,123.0,41.0,1.0,90.0
4513,7.0,66.0,20.0,32.0,6.0,49.0,14.0,65.0,50.0,8.0,113.0,62.0,35.0,73.0,126.0,53.0,82.0,77.0,18.0,58.0,56.0,98.0,105.0,25.0,29.0,84.0,47.0,81.0,118.0,61.0
4562,2.0,15.0,40.0,59.0,23.0,16.0,84.0,144.0,20.0,25.0,95.0,46.0,10.0,5.0,31.0,32.0,38.0,35.0,33.0,43.0,65.0,100.0,93.0,141.0,89.0,27.0,48.0,85.0,42.0,28.0
4611,2.0,18.0,80.0,13.0,4.0,65.0,0.0,31.0,43.0,22.0,5.0,55.0,42.0,12.0,25.0,27.0,20.0,16.0,28.0,17.0,38.0,53.0,52.0,9.0,84.0,89.0,21.0,94.0,47.0,146.0
4660,25.0,23.0,45.0,17.0,15.0,9.0,81.0,59.0,34.0,139.0,33.0,22.0,13.0,122.0,84.0,73.0,40.0,26.0,42.0,32.0,4.0,75.0,28.0,29.0,76.0,58.0,60.0,78.0,143.0,49.0
4709,6.0,14.0,16.0,32.0,24.0,15.0,66.0,57.0,41.0,5.0,13.0,48.0,115.0,117.0,29.0,123.0,42.0,26.0,86.0,44.0,9.0,17.0,34.0,2.0,37.0,28.0,59.0,63.0,49.0,50.0
4758,9.0,7.0,56.0,39.0,4.0,20.0,10.0,1.0,23.0,84.0,40.0,53.0,24.0,123.0,59.0,5.0,101.0,141.0,17.0,55.0,128.0,31.0,37.0,14.0,135.0,108.0,89.0,69.0,145.0,21.0
4807,5.0,14.0,29.0,32.0,55.0,31.0,121.0,10.0,37.0,57.0,6.0,94.0,54.0,7.0,115.0,60.0,11.0,104.0,52.0,17.0,2.0,160.0,42.0,53.0,43.0,152.0,25.0,35.0,76.0,21.0
4856,5.0,32.0,23.0,41.0,66.0,43.0,90.0,2.0,26.0,17.0,0.0,117.0,20.0,12.0,119.0,87.0,25.0,44.0,88.0,52.0,22.0,106.0,48.0,40.0,36.0,122.0,60.0,31.0,153.0,35.0
