,GSTTP1_AMP,PRB1_AMP,LOC653786_DEL,GOLGA8DP_DEL,LOC440970_DEL,MAST4_MUT,LRRC37A2_AMP,CADM2_DEL,AATK_AMP,LRMP_AMP,NCOA7_DEL,CES1P1_DEL,DNAH8_MUT,SIGLEC14_DEL,NSFP1_AMP,ARL17B_AMP,TAS2R43_AMP,C18orf61_DEL,LOC728407_AMP,DPP6_DEL,ZBTB20_AMP,NSF_AMP,LRRC37A_AMP,FBXO31_DEL,LOC348120_AMP,PKHD1_MUT,ARSB_DEL,LILRA6_DEL,EP300_MUT,ASTN1_MUT
1550,32.0,42.0,21.0,17.0,100.0,33.0,28.0,4.0,22.0,14.0,52.0,6.0,53.0,37.0,36.0,68.0,25.0,31.0,280.0,5.0,87.0,30.0,106.0,72.0,2.0,148.0,9.0,92.0,1920.0,126.0
1599,57.0,16.0,1.0,4.0,85.0,17.0,31.0,32.0,3.0,9.0,659.0,0.0,72.0,75.0,34.0,26.0,254.0,20.0,130.0,15.0,14.0,33.0,111.0,102.0,79.0,257.0,12.0,95.0,1113.0,44.0
1648,0.0,11.0,19.0,68.0,1636.0,16.0,18.0,21.0,3.0,1.0,91.0,6.0,149.0,23.0,31.0,4.0,14.0,22.0,171.0,201.0,59.0,54.0,12.0,45.0,35.0,53.0,7.0,94.0,2665.0,198.0
1697,27.0,20.0,11.0,18.0,223.0,14.0,28.0,39.0,16.0,17.0,204.0,0.0,21.0,50.0,35.0,4.0,846.0,34.0,334.0,2.0,62.0,31.0,13.0,164.0,318.0,543.0,33.0,121.0,92.0,61.0
1746,10.0,58.0,7.0,45.0,13.0,12.0,161.0,6.0,4.0,3.0,20.0,656.0,301.0,5.0,210.0,17.0,75.0,83.0,188.0,36.0,39.0,379.0,28.0,66.0,19.0,120.0,16.0,461.0,153.0,197.0
1795,19.0,15.0,1.0,7.0,1024.0,32.0,352.0,3.0,9.0,27.0,537.0,0.0,88.0,474.0,629.0,100.0,70.0,219.0,261.0,180.0,72.0,223.0,67.0,167.0,5.0,57.0,536.0,43.0,1237.0,58.0
1844,21.0,32.0,4.0,8.0,146.0,87.0,45.0,0.0,5.0,7.0,84.0,1.0,88.0,6.0,78.0,11.0,312.0,29.0,171.0,72.0,68.0,77.0,26.0,96.0,67.0,579.0,23.0,65.0,741.0,113.0
1893,35.0,12.0,14.0,16.0,467.0,10.0,135.0,4.0,2.0,9.0,66.0,3.0,55.0,136.0,169.0,26.0,32.0,7.0,551.0,590.0,1273.0,223.0,50.0,34.0,594.0,25.0,8.0,42.0,54.0,168.0
1942,54.0,15.0,17.0,0.0,46.0,128.0,137.0,3.0,80.0,1.0,692.0,25.0,256.0,53.0,292.0,22.0,78.0,73.0,104.0,10.0,225.0,265.0,44.0,72.0,4.0,47.0,66.0,45.0,246.0,310.0
1991,27.0,17.0,0.0,5.0,101.0,148.0,36.0,51.0,2.0,78.0,16.0,112.0,79.0,1.0,63.0,6.0,212.0,183.0,23.0,43.0,103.0,98.0,25.0,388.0,49.0,18.0,22.0,45.0,199.0,3.0
2040,33.0,2.0,9.0,10.0,104.0,24.0,13.0,43.0,67.0,8.0,20.0,18.0,25.0,11.0,41.0,0.0,1328.0,36.0,46.0,88.0,13016.0,22.0,1.0,1051.0,3.0,29.0,42.0,227.0,183.0,28.0
2089,21.0,5.0,0.0,17.0,23.0,9.0,40.0,355.0,3.0,30.0,7.0,1.0,140.0,6.0,52.0,14.0,12.0,88.0,48.0,857.0,8.0,176.0,32.0,271.0,27.0,66.0,85.0,34.0,57.0,63.0
2138,11.0,2.0,0.0,3.0,264.0,5.0,9.0,97.0,27.0,16.0,50.0,4.0,39.0,79.0,19.0,8.0,117.0,38.0,49.0,12.0,18.0,52.0,17.0,470.0,24.0,10.0,336.0,58.0,172.0,43.0
2187,10.0,8.0,2.0,11.0,163.0,0.0,34.0,554.0,1.0,38.0,35.0,6.0,7.0,16.0,55.0,63.0,37.0,20.0,19.0,21.0,15.0,150.0,108.0,162.0,4.0,17.0,31.0,51.0,44.0,3.0
2236,7.0,0.0,2.0,1.0,318.0,49.0,10.0,206.0,4.0,81.0,54.0,230.0,6.0,9.0,11.0,5.0,88.0,34.0,37.0,86.0,20.0,22.0,16.0,915.0,8.0,33.0,173.0,135.0,543.0,31.0
2285,13.0,20.0,0.0,15.0,92.0,39.0,12.0,25.0,24.0,50.0,17.0,172.0,4.0,5.0,21.0,9.0,74.0,90.0,33.0,158.0,29.0,43.0,28.0,469.0,6.0,16.0,325.0,83.0,162.0,11.0
2334,1.0,12.0,7.0,9.0,90.0,18.0,16.0,575.0,20.0,39.0,6.0,4.0,50.0,0.0,30.0,3.0,42.0,287.0,38.0,2526.0,27.0,71.0,2.0,241.0,14.0,52.0,66.0,25.0,112.0,62.0
2383,4.0,3.0,0.0,16.0,97.0,17.0,12.0,102.0,18.0,33.0,66.0,9.0,62.0,330.0,7.0,1.0,37.0,31.0,2.0,57.0,8.0,30.0,6.0,1643.0,28.0,11.0,182.0,277.0,15687.0,19.0
2432,0.0,24.0,3.0,39.0,62.0,7.0,4.0,141.0,14.0,45.0,13.0,202.0,445.0,6.0,8.0,5.0,9.0,29.0,11.0,87.0,90.0,32.0,20.0,391.0,25.0,2.0,36.0,102.0,1369.0,19.0
2481,9.0,7.0,10.0,6.0,130.0,158.0,54.0,269.0,15.0,133.0,8.0,103.0,2.0,0.0,36.0,14717.0,1.0,12.0,14.0,26.0,16.0,84.0,18612.0,11.0,32.0,19.0,30.0,29.0,56.0,24.0
2530,15.0,3.0,7.0,5.0,14.0,36.0,52.0,6.0,10.0,1.0,8.0,228.0,2.0,0.0,62.0,718.0,4.0,9.0,91.0,56.0,113.0,89.0,1001.0,20.0,35.0,11.0,26.0,16.0,13.0,90.0
2579,20.0,8.0,18.0,1.0,4.0,40.0,5.0,14.0,28.0,16.0,15.0,19.0,29.0,0.0,6.0,33.0,3.0,109.0,30.0,25.0,45.0,7.0,34.0,43.0,96.0,32.0,162.0,73.0,158.0,118.0
