,C-Raf_pS338,MIG-6,VAV1,CDK1,Beclin,YAP_pS127,Rb_pS807_S811,Src_pY416,SHP-2_pY542,TIGAR,beta-Catenin,HSP70,beta-Catenin_pT41_S45,4E-BP1_pT70,PEA15,Src,IGFBP2,Akt,Caspase-7_cleavedD198,Fibronectin,RAD51,p38_pT180_Y182,PKC-alpha,MSH6,TTF1,4E-BP1,EGFR,Annexin_VII,VHL,alpha-Catenin
3434,0.0,2.0,3.0,22.0,86.0,32.0,8.0,69.0,14.0,37.0,57.0,10.0,110.0,33.0,16.0,64.0,6.0,18.0,1.0,7.0,19.0,54.0,26.0,4.0,72.0,91.0,21.0,25.0,42.0,92.0
3483,0.0,8.0,3.0,4.0,45.0,42.0,14.0,33.0,22.0,5.0,34.0,2.0,27.0,86.0,81.0,123.0,68.0,11.0,17.0,6.0,41.0,57.0,9.0,1.0,23.0,135.0,15.0,98.0,58.0,60.0
3532,0.0,1.0,9.0,10.0,16.0,120.0,5.0,2.0,71.0,3.0,52.0,7.0,99.0,50.0,4.0,21.0,93.0,48.0,15.0,55.0,43.0,125.0,124.0,36.0,6.0,19.0,75.0,37.0,38.0,118.0
3581,0.0,2.0,3.0,8.0,4.0,27.0,62.0,1.0,28.0,18.0,90.0,10.0,17.0,51.0,5.0,31.0,50.0,16.0,125.0,58.0,14.0,35.0,29.0,30.0,56.0,9.0,26.0,34.0,11.0,20.0
3630,0.0,24.0,2.0,16.0,19.0,1.0,62.0,25.0,27.0,7.0,18.0,38.0,72.0,11.0,10.0,71.0,37.0,14.0,20.0,34.0,54.0,15.0,50.0,17.0,43.0,52.0,35.0,45.0,4.0,115.0
3679,5.0,0.0,1.0,12.0,38.0,18.0,32.0,4.0,25.0,2.0,41.0,6.0,101.0,110.0,31.0,51.0,13.0,33.0,17.0,7.0,9.0,35.0,14.0,106.0,142.0,127.0,42.0,84.0,3.0,69.0
3728,0.0,3.0,1.0,24.0,21.0,37.0,31.0,4.0,82.0,9.0,69.0,13.0,68.0,72.0,41.0,49.0,33.0,19.0,35.0,11.0,93.0,29.0,85.0,8.0,23.0,62.0,61.0,28.0,109.0,50.0
3777,2.0,5.0,3.0,1.0,33.0,4.0,13.0,7.0,38.0,0.0,44.0,11.0,12.0,125.0,39.0,42.0,54.0,20.0,8.0,9.0,83.0,10.0,78.0,19.0,68.0,102.0,15.0,64.0,47.0,98.0
3826,0.0,1.0,4.0,11.0,9.0,2.0,97.0,3.0,48.0,12.0,21.0,17.0,137.0,14.0,56.0,146.0,10.0,15.0,6.0,24.0,32.0,75.0,83.0,13.0,59.0,93.0,38.0,22.0,35.0,71.0
3875,1.0,0.0,9.0,8.0,3.0,2.0,30.0,25.0,84.0,15.0,59.0,124.0,16.0,40.0,112.0,37.0,12.0,5.0,76.0,14.0,89.0,18.0,4.0,10.0,135.0,64.0,83.0,19.0,23.0,51.0
3924,3.0,18.0,8.0,13.0,1.0,10.0,45.0,23.0,24.0,16.0,65.0,14.0,54.0,5.0,6.0,7.0,20.0,2.0,0.0,136.0,88.0,38.0,27.0,40.0,19.0,12.0,67.0,91.0,112.0,126.0
