,HLA-DRB6_AMP,HLA-DRB1_AMP,FBXL7_DEL,HLA-DRB5_AMP,ZBTB20_AMP,LGALS9C_DEL,SIRPB1_AMP,DUSP22_DEL,LOC100506776_DEL,HDHD1_DEL,HLA-DQB1_AMP,MSTO2P_AMP,DAP3_AMP,GSTT1_AMP,SORD_AMP,LOC391322_AMP,KIF26B_DEL,RBFOX1_DEL,ADCY8_DEL,SLC2A9_DEL,NSFP1_DEL,RABGAP1L_DEL,GSTTP2_AMP,ODF4_DEL,USP32P2_DEL,TAG_DEL,UNC13C_MUT,HERC2P2_AMP,BCAS1_AMP,LRRK1_MUT
1108,5.0,4.0,0.0,36.0,3.0,1.0,2.0,65.0,97.0,19.0,18.0,37.0,38.0,114.0,9.0,115.0,20.0,10.0,176.0,8.0,14.0,15.0,185.0,101.0,6.0,21.0,54.0,186.0,147.0,105.0
1157,0.0,1.0,2.0,20.0,8.0,3.0,6.0,72.0,24.0,23.0,14.0,16.0,15.0,4.0,85.0,5.0,33.0,32.0,59.0,19.0,28.0,52.0,10.0,30.0,11.0,18.0,34.0,131.0,120.0,135.0
1206,0.0,1.0,2.0,14.0,31.0,3.0,20.0,4.0,72.0,25.0,23.0,9.0,10.0,16.0,13.0,17.0,85.0,32.0,99.0,11.0,8.0,5.0,27.0,15.0,34.0,28.0,26.0,201.0,105.0,162.0
1255,0.0,1.0,2.0,22.0,4.0,3.0,59.0,5.0,70.0,144.0,8.0,33.0,34.0,11.0,112.0,12.0,39.0,68.0,58.0,31.0,21.0,159.0,19.0,51.0,6.0,86.0,69.0,36.0,61.0,283.0
1304,4.0,3.0,1.0,89.0,0.0,2.0,13.0,115.0,19.0,18.0,11.0,5.0,6.0,54.0,145.0,55.0,24.0,29.0,101.0,80.0,76.0,12.0,82.0,16.0,9.0,106.0,32.0,292.0,94.0,163.0
1353,0.0,1.0,2.0,16.0,7.0,3.0,4.0,42.0,30.0,15.0,10.0,6.0,5.0,33.0,232.0,34.0,25.0,11.0,86.0,12.0,21.0,14.0,35.0,19.0,9.0,26.0,63.0,502.0,83.0,131.0
1402,0.0,1.0,2.0,3.0,25.0,8.0,4.0,34.0,21.0,65.0,130.0,5.0,6.0,18.0,15033.0,19.0,52.0,11.0,196.0,22.0,9.0,42.0,24.0,12.0,37.0,13.0,35.0,1561.0,49.0,109.0
1451,1.0,0.0,8.0,22.0,2.0,3.0,28.0,19.0,5.0,35.0,4.0,10.0,11.0,24.0,4579.0,25.0,20.0,39.0,31.0,79.0,14.0,92.0,48.0,29.0,7.0,113.0,23.0,6.0,34.0,169.0
1500,0.0,2.0,97.0,14.0,1.0,64.0,13.0,4939.0,22.0,31.0,39.0,11.0,12.0,4.0,8.0,5.0,17.0,50.0,21.0,96.0,35.0,9.0,6.0,15.0,132.0,51.0,42.0,38.0,19.0,20.0
1549,0.0,6.0,14.0,19.0,2.0,44.0,22.0,113.0,1.0,16.0,24.0,9.0,8.0,3.0,146.0,4.0,11.0,106.0,23.0,101.0,31.0,7.0,5.0,13.0,90.0,21.0,49.0,1604.0,27.0,39.0
1598,0.0,1.0,18.0,5.0,2.0,35.0,16.0,65.0,4.0,21.0,20.0,14.0,13.0,6.0,705.0,7.0,26.0,53.0,10.0,63.0,31.0,3.0,8.0,19.0,81.0,108.0,23.0,145.0,38.0,106.0
1647,0.0,1.0,50.0,2.0,8.0,13.0,49.0,42.0,3.0,21.0,195.0,4.0,5.0,15.0,313.0,16.0,26.0,99.0,7.0,104.0,224.0,25.0,20.0,73.0,9.0,111.0,48.0,14.0,22.0,17.0
1696,0.0,1.0,12.0,2.0,13.0,88.0,20.0,98.0,30.0,4.0,8.0,9.0,10.0,15.0,21.0,14.0,17.0,82.0,23.0,43.0,59.0,3.0,18.0,5.0,267.0,27.0,19.0,243.0,37.0,48.0
1745,1.0,6.0,23.0,3.0,5.0,11.0,0.0,199.0,90.0,9.0,33.0,8.0,7.0,24.0,14.0,25.0,4.0,55.0,18.0,40.0,94.0,2.0,29.0,19.0,20.0,38.0,114.0,2775.0,56.0,34.0
