,BRAF_MUT,KRAS.G12_13_MUT,KRAS_MUT,BRAF.V600E_MUT,BRAF.MC_MUT,NRAS_MUT,PAXIP1_MUT,OR2T11_AMP,KANK1_AMP,FAM153C_AMP,MAST2_MUT,FRMPD2P1_AMP,GSTM1_DEL,TNK2_MUT,ZDHHC11_AMP,ATP13A5_MUT,OR2T10_AMP,FAM74A2_DEL,MITF_AMP,MIR548AI_DEL,RASA3_AMP,OR51A4_DEL,MIR4635_AMP,ALPK2_MUT,INHBA_MUT,PRKCE_DEL,ANKS1B_DEL,UNC13C_MUT,LOC284344_DEL,TP53_MUT
2825,2.0,0.0,1.0,7.0,4.0,16.0,3.0,71.0,9.0,35.0,5.0,45.0,2811.0,1560.0,192.0,183.0,775.0,66.0,34.0,75.0,19.0,135.0,16471.0,152.0,16604.0,12697.0,115.0,1161.0,12.0,68.0
2874,0.0,1.0,6.0,3.0,7.0,2.0,5.0,12.0,13.0,50.0,145.0,1203.0,722.0,144.0,24.0,210.0,132.0,98.0,21.0,2462.0,135.0,18.0,33.0,26.0,16604.0,596.0,29.0,325.0,3560.0,47.0
2923,0.0,1.0,2.0,3.0,11.0,5.0,1275.0,832.0,117.0,493.0,162.0,23976.0,171.0,180.0,137.0,359.0,1268.0,3298.0,668.0,20918.0,474.0,4658.0,147.0,132.0,1087.0,669.0,12940.0,3347.0,206.0,1452.0
2972,0.0,1.0,3.0,2.0,7.0,8.0,4.0,5.0,36.0,43.0,66.0,31.0,1049.0,2664.0,23.0,719.0,131.0,2422.0,174.0,17.0,548.0,47.0,67.0,140.0,105.0,12415.0,104.0,16559.0,135.0,301.0
3021,0.0,1.0,3.0,19.0,15.0,16.0,5.0,14.0,4.0,9.0,2.0,746.0,7.0,456.0,363.0,560.0,170.0,1336.0,96.0,105.0,16614.0,21.0,23717.0,221.0,722.0,985.0,1752.0,969.0,3156.0,235.0
3070,0.0,2.0,4.0,1.0,3.0,141.0,9.0,24.0,10.0,112.0,15.0,6.0,69.0,19.0,762.0,28.0,18346.0,9095.0,7.0,70.0,64.0,30.0,469.0,76.0,45.0,101.0,12917.0,16580.0,29.0,144.0
3119,0.0,2.0,3.0,1.0,8.0,5.0,9.0,7.0,6.0,43.0,36.0,160.0,326.0,121.0,144.0,44.0,16518.0,623.0,39.0,82.0,80.0,10.0,178.0,57.0,1339.0,11012.0,508.0,1135.0,76.0,1149.0
3168,0.0,1.0,3.0,6.0,2.0,5.0,66.0,7.0,44.0,579.0,10.0,180.0,47.0,9875.0,119.0,709.0,99.0,1214.0,70.0,19.0,49.0,384.0,16778.0,12.0,244.0,30.0,130.0,201.0,51.0,254.0
3217,0.0,1.0,4.0,42.0,7.0,6.0,23.0,3.0,15.0,21.0,20.0,2.0,197.0,72.0,41.0,8.0,25.0,296.0,16.0,60.0,1209.0,61.0,235.0,40.0,70.0,13132.0,562.0,92.0,85.0,48.0
3266,0.0,1.0,11.0,7.0,23.0,4.0,3.0,2.0,833.0,27.0,115.0,1001.0,5.0,514.0,25.0,39.0,24.0,510.0,31.0,1127.0,731.0,5252.0,132.0,34.0,105.0,110.0,597.0,218.0,438.0,1363.0
3315,0.0,1.0,2.0,3.0,10.0,279.0,4.0,23.0,1313.0,583.0,15.0,7.0,21.0,299.0,579.0,56.0,18346.0,12199.0,5.0,8.0,99.0,455.0,35.0,16793.0,24.0,147.0,61.0,1797.0,13.0,2790.0
3364,0.0,1.0,8.0,3.0,15.0,5.0,21.0,2.0,87.0,625.0,4.0,6.0,10.0,9666.0,817.0,6600.0,9.0,12204.0,135.0,81.0,14.0,214.0,40.0,52.0,60.0,10947.0,16.0,1649.0,24.0,204.0
3413,0.0,10.0,2.0,4.0,3.0,6.0,17.0,1.0,279.0,15.0,5.0,59.0,7.0,19.0,639.0,12.0,11.0,584.0,8.0,36.0,44.0,148.0,16431.0,78.0,281.0,1791.0,794.0,99.0,90.0,2078.0
3462,0.0,3.0,2.0,1.0,4.0,20.0,938.0,24.0,28.0,23.0,16867.0,1294.0,3727.0,9.0,23445.0,34.0,27.0,81.0,68.0,19081.0,219.0,5.0,92.0,101.0,1016.0,865.0,482.0,10.0,3561.0,17109.0
3511,0.0,3.0,2.0,1.0,4.0,5.0,28.0,12.0,19.0,10.0,7.0,6.0,66.0,34.0,25.0,181.0,274.0,966.0,174.0,110.0,1754.0,11.0,16529.0,14.0,16631.0,856.0,435.0,67.0,765.0,663.0
3560,0.0,6.0,4.0,1.0,2.0,5.0,281.0,18334.0,18.0,12.0,668.0,302.0,288.0,7.0,26.0,83.0,18336.0,311.0,99.0,315.0,22.0,16.0,38.0,13.0,907.0,14.0,200.0,124.0,726.0,140.0
3609,0.0,2.0,1.0,3.0,16.0,9.0,61.0,62.0,54.0,20.0,1318.0,142.0,59.0,8.0,39.0,103.0,248.0,41.0,84.0,406.0,36.0,15.0,16456.0,96.0,562.0,91.0,735.0,99.0,13.0,361.0
3658,1.0,2.0,0.0,4.0,3.0,63.0,242.0,3398.0,1472.0,21872.0,34.0,13.0,16.0,16760.0,271.0,69.0,37.0,340.0,629.0,39.0,41.0,894.0,17.0,96.0,956.0,20.0,1353.0,16555.0,279.0,1202.0
3707,0.0,2.0,1.0,3.0,4.0,5.0,528.0,142.0,22.0,88.0,15.0,17.0,76.0,42.0,21.0,342.0,2265.0,67.0,32.0,156.0,9.0,52.0,6.0,83.0,352.0,8.0,159.0,2035.0,332.0,135.0
3756,0.0,4.0,14.0,3.0,6.0,440.0,7.0,66.0,10.0,12.0,11.0,244.0,8.0,43.0,52.0,16602.0,1973.0,322.0,14631.0,54.0,107.0,1.0,85.0,5.0,16599.0,18.0,228.0,1007.0,196.0,975.0
