,NDN,AC026407.1,ANGPTL2,HGF,AC016710.1,POLR2J3,CLDN11,S100A4,GSTT1,MB21D1,MAGEA1,RP11-834C11.4,CAMK1D,ALKBH3,DNAJA4,LUM,SCARA3,HSD17B11,RP3-467L1.4,SPTBN2,AC068134.10,VSTM2L,KLHL3,CTD-3224K15.3,LHX8,LINC00942,TTC31,ZNF334,RP11-318M2.2,SLFN13
2899,0.0,1.0,7.0,56.0,93.0,12.0,2.0,6.0,5.0,40.0,118.0,36.0,44.0,20.0,9.0,196.0,42.0,80.0,25.0,10.0,11.0,3.0,311.0,16.0,38.0,270.0,95.0,4.0,14.0,19.0
2948,0.0,202.0,21.0,14.0,10.0,2.0,7.0,5.0,339.0,83.0,18.0,24.0,1.0,8.0,54.0,23.0,4.0,266.0,13.0,77.0,62.0,148.0,220.0,25.0,378.0,49.0,324.0,201.0,150.0,835.0
2997,9.0,281.0,38.0,3.0,143.0,17.0,0.0,2.0,138.0,16.0,5.0,10.0,4.0,33.0,620.0,23.0,15.0,35.0,29.0,84.0,201.0,27.0,28.0,13.0,12.0,14.0,252.0,472.0,456.0,1.0
3046,0.0,5.0,16.0,14.0,13.0,6.0,39.0,3.0,29.0,60.0,2.0,26.0,4.0,22.0,332.0,171.0,21.0,11.0,92.0,82.0,294.0,9.0,302.0,15.0,75.0,7.0,185.0,28.0,41.0,50.0
3095,0.0,25.0,8.0,3.0,12.0,17.0,174.0,37.0,9.0,6.0,112.0,5.0,2.0,19.0,28.0,15.0,13.0,51.0,7.0,49.0,89.0,24.0,57.0,14.0,41.0,1.0,100.0,77.0,42.0,4.0
3144,0.0,13.0,29.0,11.0,8.0,16.0,2.0,1.0,3.0,85.0,26.0,7.0,5.0,31.0,57.0,27.0,18.0,141.0,54.0,65.0,9.0,25.0,14.0,23.0,40.0,6.0,295.0,96.0,202.0,10.0
3193,0.0,30.0,14.0,4.0,6.0,2.0,115.0,56.0,22.0,177.0,40.0,7.0,15.0,21.0,237.0,13.0,8.0,38.0,18.0,69.0,63.0,34.0,73.0,9.0,23.0,17.0,257.0,486.0,79.0,224.0
3242,4.0,86.0,24.0,3.0,6.0,11.0,97.0,42.0,2.0,81.0,155.0,80.0,13.0,12.0,73.0,49.0,51.0,120.0,30.0,16.0,64.0,10.0,65.0,28.0,17.0,0.0,355.0,20.0,92.0,55.0
3291,0.0,8.0,10.0,4.0,52.0,6.0,7.0,74.0,42.0,36.0,25.0,9.0,3.0,2.0,85.0,1.0,11.0,89.0,48.0,121.0,28.0,5.0,276.0,41.0,72.0,27.0,444.0,139.0,143.0,26.0
3340,0.0,31.0,16.0,3.0,6.0,5.0,1.0,27.0,12.0,384.0,23.0,15.0,9.0,11.0,63.0,39.0,13.0,146.0,20.0,56.0,54.0,18.0,320.0,35.0,84.0,2.0,237.0,349.0,77.0,4.0
