,XAGE1E,CCND2,GPX3,STEAP1B,MAGEA1,CGREF1,C1orf233,NDN,GUSB,LEPREL4,KCNK15,CKB,LINC00942,TNFSF12,IGSF3,NT5E,HMGA2,RP11-197K6.1,CA8,RP11-90B9.2,FAM109B,PHACTR2,PCDHA11,SLC2A3,DUSP23,PAPSS2,KCNIP2-AS1,PLCD1,CTB-60B18.10,ZIM2
989,1.0,0.0,5.0,12.0,3.0,10.0,7.0,77.0,72.0,163.0,123.0,4.0,91.0,2.0,112.0,67.0,74.0,11.0,9.0,19.0,43.0,22.0,58.0,360.0,453.0,32.0,62.0,207.0,84.0,36.0
1038,0.0,3.0,7.0,31.0,1.0,4.0,17.0,2.0,9.0,48.0,119.0,35.0,70.0,20.0,176.0,6.0,10.0,38.0,18.0,77.0,288.0,14.0,36.0,74.0,59.0,126.0,152.0,398.0,24.0,145.0
1087,1.0,0.0,8.0,3.0,49.0,22.0,19.0,179.0,102.0,98.0,23.0,192.0,20.0,5.0,44.0,160.0,39.0,70.0,93.0,85.0,33.0,73.0,133.0,50.0,16.0,51.0,34.0,125.0,9.0,226.0
1136,7.0,1.0,0.0,30.0,14.0,10.0,130.0,159.0,9.0,115.0,17.0,62.0,6.0,3.0,144.0,75.0,15.0,221.0,60.0,54.0,2.0,91.0,428.0,306.0,124.0,64.0,92.0,125.0,25.0,52.0
1185,0.0,2.0,66.0,34.0,1.0,5.0,78.0,51.0,76.0,110.0,26.0,6.0,90.0,3.0,31.0,12.0,396.0,4.0,157.0,108.0,295.0,43.0,232.0,104.0,23.0,11.0,764.0,346.0,97.0,58.0
1234,0.0,3.0,5.0,6.0,16.0,27.0,4.0,70.0,103.0,378.0,9.0,19.0,17.0,2.0,258.0,22.0,12.0,21.0,7.0,20.0,68.0,71.0,216.0,87.0,193.0,32.0,120.0,125.0,104.0,73.0
1283,2.0,4.0,3.0,0.0,5.0,1.0,68.0,36.0,92.0,166.0,30.0,12.0,38.0,69.0,70.0,9.0,17.0,77.0,83.0,46.0,18.0,15.0,106.0,253.0,37.0,26.0,50.0,59.0,138.0,56.0
1332,3.0,0.0,1.0,18.0,29.0,2.0,8.0,13.0,43.0,261.0,23.0,25.0,14.0,7.0,99.0,53.0,28.0,5.0,12.0,31.0,9.0,11.0,150.0,50.0,40.0,19.0,243.0,79.0,80.0,87.0
1381,0.0,2.0,9.0,215.0,17.0,126.0,26.0,175.0,15.0,92.0,45.0,49.0,21.0,1.0,40.0,19.0,70.0,69.0,363.0,20.0,22.0,220.0,39.0,163.0,71.0,59.0,120.0,111.0,232.0,67.0
1430,0.0,1.0,3.0,2.0,14.0,10.0,9.0,27.0,39.0,180.0,5.0,24.0,18.0,11.0,52.0,81.0,16.0,68.0,288.0,63.0,141.0,17.0,50.0,143.0,7.0,12.0,401.0,126.0,437.0,599.0
1479,0.0,7.0,4.0,32.0,5.0,44.0,23.0,24.0,3.0,10.0,21.0,42.0,14.0,45.0,55.0,71.0,51.0,67.0,358.0,39.0,167.0,49.0,6.0,12.0,28.0,2754.0,29.0,254.0,22.0,9.0
1528,0.0,1.0,23.0,19.0,3.0,4.0,49.0,51.0,5.0,9.0,38.0,33.0,13.0,21.0,22.0,46.0,170.0,196.0,85.0,52.0,292.0,298.0,18.0,11.0,124.0,822.0,82.0,591.0,36.0,787.0
1577,0.0,3.0,1.0,15.0,13.0,27.0,99.0,134.0,4.0,7.0,73.0,70.0,14.0,44.0,29.0,50.0,84.0,146.0,265.0,24.0,41.0,283.0,72.0,107.0,51.0,435.0,79.0,69.0,8.0,47.0
