,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,BONE,SKIN,SOFT_TISSUE,THYROID,BREAST,PROSTATE,BILIARY,SALIVARY,ENDOMETRIUM,OVARY,PLEURA,AERODIGESTIVE,LIVER,KIDNEY,PANCREAS,URINARY,NERVOUS,OESOPHAGUS,LUNG
3032,0.0,1.0,8.0,9.0,3.0,5.0,6.0,4.0,2.0,7.0,10.0,13.0,14.0,11.0,22.0,15.0,16.0,17.0,18.0,12.0,19.0,20.0,21.0
3081,3.0,4.0,0.0,1.0,5.0,2.0,6.0,8.0,9.0,7.0,10.0,12.0,13.0,17.0,16.0,19.0,14.0,15.0,18.0,11.0,20.0,21.0,22.0
3130,1.0,2.0,3.0,5.0,9.0,7.0,8.0,6.0,4.0,0.0,11.0,12.0,10.0,15.0,13.0,17.0,21.0,14.0,16.0,19.0,18.0,20.0,22.0
3179,0.0,1.0,2.0,3.0,4.0,5.0,11.0,8.0,7.0,6.0,10.0,9.0,12.0,17.0,16.0,19.0,14.0,15.0,18.0,21.0,20.0,22.0,13.0
3228,1.0,2.0,3.0,5.0,6.0,8.0,9.0,7.0,4.0,0.0,10.0,12.0,16.0,11.0,15.0,18.0,13.0,14.0,17.0,20.0,19.0,21.0,22.0
3277,3.0,4.0,0.0,1.0,5.0,2.0,11.0,7.0,8.0,6.0,10.0,13.0,9.0,12.0,16.0,18.0,15.0,17.0,14.0,20.0,19.0,21.0,22.0
3326,0.0,1.0,2.0,3.0,5.0,4.0,8.0,7.0,10.0,6.0,11.0,12.0,14.0,17.0,13.0,9.0,21.0,15.0,16.0,19.0,18.0,20.0,22.0
3375,1.0,2.0,3.0,5.0,6.0,8.0,9.0,7.0,4.0,0.0,10.0,12.0,16.0,11.0,15.0,18.0,13.0,14.0,17.0,20.0,19.0,21.0,22.0
3424,0.0,1.0,2.0,3.0,4.0,5.0,7.0,11.0,6.0,8.0,10.0,12.0,15.0,18.0,14.0,9.0,13.0,16.0,17.0,20.0,19.0,21.0,22.0
3473,0.0,1.0,2.0,4.0,8.0,6.0,7.0,5.0,10.0,9.0,12.0,13.0,11.0,3.0,16.0,15.0,21.0,17.0,18.0,14.0,19.0,20.0,22.0
3522,0.0,1.0,2.0,6.0,3.0,7.0,4.0,8.0,15.0,9.0,10.0,11.0,14.0,5.0,22.0,17.0,12.0,13.0,16.0,19.0,18.0,20.0,21.0
3571,0.0,1.0,2.0,8.0,6.0,9.0,5.0,4.0,3.0,10.0,12.0,13.0,11.0,7.0,16.0,14.0,20.0,22.0,17.0,15.0,18.0,19.0,21.0
3620,0.0,1.0,2.0,3.0,7.0,4.0,5.0,8.0,6.0,9.0,10.0,12.0,16.0,11.0,15.0,18.0,13.0,14.0,17.0,20.0,19.0,21.0,22.0
3669,3.0,4.0,5.0,1.0,8.0,2.0,6.0,7.0,10.0,9.0,11.0,12.0,15.0,0.0,14.0,17.0,21.0,13.0,16.0,19.0,18.0,20.0,22.0
3718,1.0,2.0,3.0,5.0,9.0,7.0,8.0,6.0,10.0,0.0,11.0,12.0,14.0,4.0,13.0,17.0,21.0,15.0,16.0,19.0,18.0,20.0,22.0
3767,0.0,1.0,2.0,4.0,5.0,6.0,11.0,7.0,13.0,8.0,10.0,9.0,12.0,3.0,19.0,21.0,17.0,18.0,20.0,15.0,14.0,22.0,16.0
3816,0.0,1.0,2.0,4.0,8.0,6.0,7.0,5.0,11.0,9.0,12.0,13.0,15.0,3.0,14.0,10.0,21.0,17.0,16.0,19.0,18.0,20.0,22.0
3865,0.0,1.0,2.0,3.0,6.0,4.0,5.0,9.0,11.0,22.0,7.0,10.0,12.0,8.0,21.0,13.0,18.0,19.0,14.0,17.0,16.0,20.0,15.0
3914,3.0,4.0,0.0,1.0,5.0,11.0,2.0,7.0,9.0,8.0,10.0,13.0,14.0,6.0,16.0,19.0,15.0,17.0,18.0,12.0,20.0,21.0,22.0
3963,0.0,1.0,2.0,7.0,9.0,6.0,8.0,5.0,3.0,10.0,12.0,13.0,4.0,16.0,11.0,14.0,20.0,22.0,17.0,15.0,18.0,19.0,21.0
4012,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0,11.0,14.0,15.0,13.0,22.0,12.0,21.0,16.0,18.0,17.0,19.0,20.0
4061,0.0,1.0,2.0,3.0,5.0,4.0,6.0,8.0,7.0,9.0,10.0,11.0,14.0,15.0,13.0,22.0,12.0,21.0,16.0,18.0,17.0,19.0,20.0
4110,0.0,1.0,3.0,2.0,6.0,4.0,5.0,7.0,13.0,14.0,8.0,10.0,20.0,18.0,15.0,22.0,16.0,17.0,12.0,9.0,19.0,11.0,21.0
4159,0.0,1.0,2.0,3.0,4.0,5.0,6.0,11.0,7.0,8.0,10.0,9.0,14.0,15.0,13.0,19.0,12.0,17.0,18.0,21.0,20.0,22.0,16.0
