,hsa-miR-1977,hsa-miR-378,hsa-miR-766,hsa-miR-31,hsa-miR-214,hsa-miR-29c,hsa-miR-590-5p,hsa-miR-199b-5p,hsa-miR-620,hsa-miR-1296,hsa-miR-1262,hsa-miR-130a,hsa-miR-1308,hsa-miR-196b,hsa-miR-542-5p,hsa-miR-616,hsa-miR-563,hsa-miR-509-5p,kshv-miR-K12-3,hsa-miR-935,hsa-miR-764,hsv1-miR-H7,hsa-miR-645,hsa-miR-609,hsa-miR-744,hsa-miR-578,hsa-miR-147b,hsa-miR-34c-5p,hsa-miR-581,hsa-miR-142-5p
1632,1.0,5.0,3.0,9.0,13.0,10.0,7.0,0.0,4.0,22.0,12.0,15.0,16.0,21.0,2.0,26.0,17.0,128.0,50.0,29.0,25.0,19.0,8.0,20.0,14.0,41.0,57.0,11.0,67.0,36.0
1681,0.0,17.0,3.0,20.0,56.0,4.0,6.0,31.0,5.0,51.0,1.0,15.0,8.0,33.0,9.0,43.0,30.0,70.0,16.0,52.0,14.0,18.0,12.0,10.0,88.0,75.0,54.0,11.0,32.0,26.0
1730,0.0,6.0,2.0,5.0,3.0,34.0,8.0,11.0,1.0,160.0,12.0,35.0,30.0,122.0,15.0,42.0,23.0,31.0,14.0,136.0,16.0,24.0,38.0,7.0,94.0,148.0,19.0,25.0,18.0,27.0
1779,0.0,14.0,9.0,6.0,12.0,22.0,8.0,39.0,13.0,53.0,3.0,87.0,7.0,31.0,15.0,55.0,255.0,91.0,17.0,50.0,24.0,35.0,26.0,4.0,46.0,73.0,67.0,28.0,137.0,85.0
1828,0.0,4.0,13.0,28.0,5.0,18.0,14.0,10.0,3.0,9.0,8.0,34.0,6.0,7.0,2.0,57.0,1.0,15.0,16.0,38.0,26.0,36.0,17.0,31.0,21.0,142.0,41.0,19.0,37.0,25.0
1877,0.0,11.0,2.0,7.0,23.0,1.0,8.0,17.0,13.0,6.0,16.0,42.0,43.0,24.0,3.0,28.0,20.0,14.0,26.0,109.0,63.0,41.0,5.0,68.0,149.0,101.0,45.0,39.0,79.0,92.0
1926,0.0,12.0,13.0,47.0,35.0,6.0,1.0,72.0,3.0,36.0,5.0,14.0,9.0,10.0,18.0,58.0,16.0,138.0,4.0,45.0,8.0,2.0,76.0,7.0,112.0,214.0,86.0,29.0,28.0,34.0
1975,0.0,13.0,5.0,1.0,2.0,60.0,19.0,28.0,29.0,15.0,74.0,22.0,40.0,14.0,55.0,27.0,10.0,3.0,59.0,61.0,95.0,43.0,25.0,11.0,42.0,56.0,21.0,35.0,30.0,120.0
2024,0.0,4.0,19.0,1.0,3.0,63.0,70.0,21.0,12.0,9.0,49.0,13.0,33.0,111.0,34.0,18.0,11.0,8.0,35.0,24.0,48.0,61.0,54.0,22.0,67.0,32.0,6.0,2.0,17.0,187.0
2073,0.0,25.0,7.0,2.0,4.0,20.0,11.0,22.0,6.0,21.0,56.0,34.0,3.0,5.0,10.0,44.0,1.0,33.0,32.0,84.0,8.0,35.0,28.0,43.0,59.0,50.0,47.0,24.0,14.0,119.0
2122,0.0,9.0,4.0,3.0,1.0,18.0,94.0,17.0,35.0,8.0,31.0,40.0,62.0,44.0,22.0,11.0,5.0,2.0,70.0,73.0,21.0,12.0,50.0,19.0,57.0,71.0,30.0,7.0,10.0,148.0
2171,0.0,3.0,8.0,9.0,4.0,21.0,12.0,26.0,7.0,10.0,31.0,35.0,1.0,6.0,15.0,17.0,43.0,11.0,145.0,48.0,187.0,102.0,113.0,44.0,41.0,78.0,13.0,19.0,94.0,70.0
2220,0.0,8.0,15.0,4.0,2.0,47.0,18.0,24.0,16.0,6.0,32.0,10.0,44.0,11.0,34.0,7.0,1.0,3.0,63.0,57.0,68.0,49.0,30.0,22.0,39.0,20.0,23.0,27.0,13.0,141.0
2269,0.0,3.0,12.0,34.0,6.0,35.0,17.0,4.0,21.0,13.0,24.0,55.0,5.0,2.0,61.0,10.0,1.0,9.0,27.0,18.0,22.0,16.0,36.0,23.0,8.0,38.0,43.0,32.0,14.0,62.0
2318,0.0,71.0,12.0,2.0,4.0,80.0,33.0,3.0,13.0,11.0,118.0,22.0,26.0,8.0,7.0,17.0,14.0,27.0,45.0,43.0,57.0,51.0,24.0,93.0,5.0,1.0,40.0,6.0,21.0,130.0
2367,0.0,10.0,6.0,23.0,11.0,56.0,49.0,3.0,82.0,4.0,69.0,58.0,41.0,29.0,14.0,17.0,1.0,35.0,104.0,36.0,119.0,163.0,5.0,18.0,44.0,60.0,43.0,8.0,15.0,279.0
2416,0.0,16.0,10.0,20.0,13.0,35.0,98.0,22.0,71.0,6.0,32.0,2.0,48.0,5.0,24.0,4.0,1.0,14.0,28.0,25.0,29.0,49.0,97.0,33.0,36.0,66.0,11.0,9.0,17.0,81.0
2465,1.0,20.0,40.0,3.0,9.0,0.0,7.0,32.0,84.0,10.0,46.0,18.0,47.0,25.0,12.0,76.0,2.0,17.0,21.0,38.0,4.0,110.0,19.0,30.0,258.0,5.0,99.0,66.0,15.0,6.0
