,LPA_AMP,OR2T11_AMP,CDC73_AMP,ZNF705G_AMP,LOC100506776_DEL,MUC20_AMP,MSTO2P_AMP,DAP3_AMP,HLA-H_DEL,OR2T10_AMP,SIRPB1_AMP,GALNTL6_DEL,HLA-DQB1_DEL,HCG4B_DEL,MLIP_DEL,HERC2P2_AMP,CES1P1_DEL,LCE3C_DEL,PCCB_DEL,CES1_AMP,KIAA1217_DEL,TAG_DEL,SMARCA2_DEL,ARL17A_DEL,USP17L1P_AMP,MIR570_AMP,LOC348120_AMP,NBEAP1_AMP,HEATR4_AMP,FAM106CP_AMP
520,1.0,3.0,4.0,2.0,5.0,24.0,17.0,16.0,9.0,6.0,21.0,28.0,66.0,29.0,0.0,48.0,19.0,8.0,32.0,109.0,38.0,59.0,14.0,1781.0,7.0,34.0,741.0,82.0,31.0,45.0
569,0.0,8.0,2.0,6.0,7.0,17.0,11.0,12.0,10.0,26.0,3.0,4.0,204.0,24.0,13.0,5.0,1.0,19.0,21.0,69.0,198.0,9.0,18.0,38.0,14.0,61.0,50.0,36.0,212.0,30.0
618,0.0,9.0,1.0,10.0,6.0,59.0,5.0,4.0,3.0,19.0,8.0,7.0,24.0,29.0,13.0,2.0,53.0,26.0,12.0,33.0,543.0,60.0,14.0,628.0,21.0,312.0,22.0,35.0,16.0,110.0
667,0.0,8.0,9.0,2.0,6.0,23.0,5.0,4.0,1.0,22.0,7.0,10.0,115.0,17.0,16.0,3.0,18.0,14.0,91.0,44.0,27.0,25.0,13.0,90.0,15.0,30.0,405.0,905.0,76.0,47.0
716,0.0,4.0,1.0,5.0,2.0,34.0,6.0,7.0,3.0,17.0,9.0,10.0,42.0,14.0,8.0,15.0,11.0,19.0,20.0,30.0,38.0,45.0,18.0,216.0,12.0,130.0,135.0,33.0,36.0,25.0
765,0.0,6.0,3.0,5.0,8.0,51.0,12.0,13.0,2.0,24.0,9.0,1.0,203.0,15.0,4.0,10.0,32.0,35.0,11.0,21.0,264.0,28.0,16.0,409.0,20.0,236.0,90.0,96.0,33.0,31.0
814,0.0,1.0,5.0,4.0,3.0,9.0,11.0,12.0,7.0,6.0,2.0,13.0,29.0,19.0,26.0,86.0,10.0,83.0,23.0,38.0,104.0,742.0,82.0,9934.0,8.0,17.0,18.0,44.0,90.0,62.0
863,0.0,8.0,1.0,3.0,5.0,18.0,16.0,15.0,9.0,19.0,7.0,2.0,21.0,46.0,20.0,6.0,10.0,4.0,14.0,53.0,49.0,45.0,62.0,32.0,13.0,58.0,27.0,25.0,23.0,31.0
912,1.0,0.0,3.0,5.0,2.0,9.0,12.0,11.0,6.0,4.0,17.0,8.0,35.0,22.0,28.0,13.0,46.0,73.0,69.0,52.0,645.0,15.0,7.0,335.0,14.0,40.0,101.0,88.0,33.0,26.0
961,0.0,14.0,3.0,1.0,5.0,57.0,8.0,7.0,6.0,47.0,13.0,2.0,179.0,53.0,56.0,42.0,4.0,17.0,22.0,26.0,21.0,264.0,12.0,4107.0,20.0,415.0,986.0,223.0,29.0,192.0
1010,0.0,4.0,1.0,10.0,7.0,6.0,2.0,3.0,5.0,8.0,11.0,14.0,27.0,9.0,16.0,13.0,21.0,20.0,19.0,17.0,68.0,49.0,67.0,32.0,58.0,18.0,36.0,23.0,57.0,25.0
1059,2.0,4.0,0.0,3.0,12.0,35.0,5.0,6.0,10.0,15.0,8.0,1.0,49.0,7.0,17.0,20.0,9.0,11.0,42.0,28.0,22.0,50.0,43.0,23.0,18.0,182.0,39.0,26.0,48.0,113.0
