,ebv-miR-BART8,hsa-miR-548d-3p,hsa-miR-10a,hsa-miR-384,hsa-miR-512-3p,hsa-miR-661,hsa-miR-1183,hsa-miR-22,hcmv-miR-UL148D,hsa-miR-133b,hsa-miR-545,ebv-miR-BART19-5p,hsa-miR-140-5p,hsa-miR-1294,hsa-miR-616,hsa-miR-103,hsa-miR-340,hsa-miR-148a,hsa-miR-1978,hsa-miR-21,hsa-miR-563,hsa-miR-766,hsa-miR-412,ebv-miR-BART18-3p,hsa-miR-1975,hsa-miR-96,hsv2-miR-H4-5p,hsa-miR-1259,hsa-miR-1299,hsa-miR-890
3939,24.0,0.0,62.0,23.0,39.0,311.0,454.0,33.0,5.0,145.0,366.0,111.0,94.0,115.0,182.0,60.0,54.0,82.0,49.0,91.0,1.0,59.0,28.0,29.0,75.0,266.0,66.0,106.0,465.0,104.0
3988,20.0,1.0,459.0,6.0,64.0,297.0,56.0,594.0,14.0,135.0,0.0,71.0,60.0,40.0,35.0,92.0,24.0,379.0,70.0,112.0,95.0,84.0,111.0,76.0,68.0,101.0,261.0,147.0,102.0,171.0
4037,41.0,84.0,17.0,613.0,1.0,309.0,38.0,594.0,151.0,124.0,54.0,251.0,65.0,134.0,15.0,3.0,80.0,68.0,60.0,8.0,63.0,130.0,527.0,147.0,83.0,148.0,278.0,494.0,135.0,71.0
4086,3.0,22.0,341.0,27.0,31.0,47.0,24.0,460.0,15.0,72.0,124.0,345.0,13.0,96.0,60.0,36.0,45.0,435.0,37.0,40.0,0.0,343.0,147.0,140.0,139.0,136.0,330.0,25.0,161.0,61.0
4135,4.0,9.0,27.0,2.0,106.0,18.0,170.0,591.0,98.0,161.0,29.0,121.0,168.0,78.0,113.0,146.0,95.0,96.0,79.0,76.0,109.0,103.0,47.0,22.0,118.0,120.0,232.0,491.0,56.0,51.0
4184,8.0,0.0,9.0,105.0,132.0,313.0,26.0,1.0,15.0,104.0,5.0,78.0,43.0,47.0,11.0,93.0,74.0,389.0,48.0,31.0,6.0,33.0,564.0,162.0,97.0,108.0,286.0,92.0,57.0,137.0
4233,4.0,10.0,6.0,12.0,53.0,307.0,78.0,98.0,266.0,71.0,303.0,243.0,99.0,72.0,179.0,460.0,100.0,143.0,47.0,54.0,29.0,11.0,597.0,141.0,70.0,258.0,275.0,23.0,468.0,0.0
4282,10.0,545.0,304.0,85.0,37.0,342.0,72.0,413.0,63.0,135.0,59.0,278.0,119.0,68.0,19.0,295.0,65.0,36.0,131.0,5.0,18.0,323.0,624.0,57.0,43.0,322.0,303.0,3.0,2.0,15.0
4331,7.0,0.0,6.0,16.0,558.0,302.0,451.0,3.0,33.0,117.0,184.0,246.0,78.0,469.0,13.0,41.0,26.0,372.0,34.0,29.0,137.0,75.0,2.0,100.0,51.0,260.0,277.0,44.0,72.0,9.0
4380,16.0,5.0,116.0,3.0,13.0,302.0,27.0,590.0,45.0,108.0,35.0,248.0,33.0,125.0,190.0,95.0,122.0,378.0,55.0,63.0,1.0,19.0,524.0,138.0,75.0,261.0,279.0,492.0,107.0,47.0
4429,2.0,7.0,11.0,527.0,30.0,320.0,78.0,61.0,39.0,154.0,21.0,261.0,382.0,84.0,184.0,456.0,113.0,29.0,60.0,67.0,217.0,358.0,524.0,88.0,53.0,273.0,287.0,85.0,44.0,77.0
4478,3.0,5.0,24.0,527.0,10.0,64.0,41.0,50.0,63.0,55.0,9.0,48.0,124.0,473.0,102.0,51.0,614.0,44.0,117.0,409.0,47.0,42.0,77.0,26.0,103.0,150.0,80.0,37.0,70.0,144.0
4527,21.0,2.0,8.0,11.0,132.0,17.0,70.0,45.0,46.0,74.0,3.0,114.0,110.0,141.0,178.0,18.0,629.0,26.0,43.0,154.0,225.0,123.0,81.0,15.0,412.0,259.0,276.0,494.0,44.0,125.0
4576,10.0,1.0,3.0,22.0,0.0,284.0,15.0,96.0,24.0,68.0,269.0,356.0,21.0,93.0,72.0,50.0,123.0,69.0,47.0,410.0,85.0,120.0,600.0,38.0,140.0,130.0,263.0,494.0,33.0,129.0
4625,4.0,12.0,2.0,124.0,44.0,52.0,453.0,120.0,57.0,132.0,42.0,72.0,32.0,115.0,71.0,3.0,615.0,61.0,45.0,43.0,36.0,7.0,5.0,139.0,414.0,84.0,284.0,27.0,37.0,151.0
4674,6.0,20.0,17.0,70.0,23.0,304.0,34.0,73.0,21.0,62.0,179.0,243.0,385.0,133.0,78.0,43.0,130.0,379.0,72.0,88.0,75.0,92.0,99.0,246.0,142.0,103.0,27.0,18.0,9.0,338.0
4723,5.0,2.0,17.0,4.0,36.0,26.0,12.0,101.0,43.0,93.0,173.0,99.0,383.0,90.0,135.0,114.0,614.0,11.0,38.0,63.0,202.0,69.0,523.0,67.0,413.0,102.0,73.0,493.0,83.0,118.0
4772,4.0,0.0,128.0,33.0,557.0,40.0,61.0,52.0,43.0,139.0,203.0,80.0,385.0,90.0,19.0,12.0,36.0,27.0,60.0,56.0,22.0,55.0,100.0,127.0,170.0,119.0,116.0,493.0,18.0,164.0
4821,5.0,7.0,455.0,564.0,60.0,32.0,14.0,1.0,190.0,110.0,9.0,319.0,386.0,92.0,30.0,158.0,123.0,53.0,77.0,65.0,21.0,24.0,69.0,136.0,82.0,99.0,109.0,493.0,27.0,103.0
4870,8.0,5.0,14.0,564.0,15.0,99.0,453.0,61.0,23.0,86.0,317.0,113.0,24.0,28.0,177.0,458.0,38.0,383.0,47.0,108.0,112.0,94.0,102.0,27.0,111.0,129.0,51.0,466.0,469.0,124.0
