,hsa-miR-1287,hsa-miR-223,hsa-miR-188-3p,hsa-miR-224,hsa-miR-96,hsa-miR-136,hsa-miR-205,hsa-miR-563,hsa-miR-200a,ebv-miR-BART12,hsa-miR-665,hsa-miR-1978,hsa-miR-320b,hsa-miR-1266,hsa-miR-195,hsa-miR-204,hsa-miR-335,hsa-miR-103,hsa-miR-548d-3p,hsa-miR-1973,hsa-miR-592,hsa-miR-508-3p,hsa-miR-27b,hsa-miR-149,hsa-miR-320c,hsa-miR-591,hsa-miR-140-5p,hsa-miR-507,hsa-miR-654-5p,hsa-miR-215
3497,7.0,20.0,0.0,2.0,9.0,15.0,1.0,21.0,6.0,14.0,13.0,54.0,198.0,4.0,56.0,43.0,129.0,74.0,48.0,83.0,16.0,42.0,52.0,28.0,81.0,92.0,160.0,53.0,472.0,61.0
3546,14.0,4.0,16.0,19.0,0.0,61.0,3.0,11.0,7.0,13.0,38.0,2.0,85.0,80.0,6.0,50.0,556.0,22.0,47.0,59.0,46.0,132.0,39.0,25.0,207.0,33.0,1.0,268.0,48.0,10.0
3595,41.0,8.0,6.0,1.0,2.0,10.0,0.0,5.0,37.0,7.0,21.0,13.0,316.0,4.0,46.0,3.0,90.0,89.0,104.0,20.0,28.0,399.0,60.0,9.0,369.0,11.0,74.0,81.0,210.0,26.0
3644,50.0,39.0,23.0,0.0,3.0,13.0,1.0,8.0,2.0,7.0,4.0,73.0,67.0,104.0,328.0,15.0,37.0,20.0,28.0,337.0,60.0,101.0,96.0,249.0,85.0,156.0,5.0,155.0,168.0,230.0
3693,18.0,16.0,6.0,4.0,3.0,15.0,1.0,14.0,2.0,26.0,0.0,9.0,60.0,13.0,46.0,19.0,243.0,48.0,29.0,316.0,8.0,23.0,54.0,90.0,159.0,385.0,69.0,40.0,61.0,27.0
3742,13.0,6.0,4.0,1.0,0.0,32.0,2.0,55.0,352.0,5.0,200.0,15.0,44.0,8.0,3.0,20.0,24.0,404.0,298.0,239.0,59.0,128.0,72.0,7.0,64.0,49.0,27.0,12.0,183.0,35.0
3791,23.0,2.0,15.0,1.0,6.0,0.0,5.0,4.0,58.0,44.0,13.0,51.0,262.0,16.0,19.0,3.0,254.0,47.0,78.0,46.0,208.0,137.0,153.0,10.0,126.0,71.0,7.0,21.0,203.0,41.0
3840,18.0,4.0,7.0,8.0,3.0,26.0,0.0,19.0,17.0,53.0,6.0,15.0,16.0,5.0,33.0,38.0,49.0,55.0,302.0,10.0,77.0,2.0,32.0,137.0,473.0,218.0,1.0,9.0,283.0,83.0
3889,2.0,1.0,3.0,11.0,18.0,22.0,19.0,8.0,7.0,0.0,6.0,63.0,231.0,293.0,75.0,28.0,23.0,27.0,262.0,120.0,44.0,165.0,544.0,30.0,250.0,15.0,9.0,24.0,214.0,14.0
3938,2.0,21.0,6.0,3.0,31.0,5.0,0.0,47.0,4.0,139.0,16.0,15.0,19.0,114.0,73.0,10.0,8.0,160.0,35.0,596.0,142.0,22.0,17.0,59.0,9.0,226.0,12.0,230.0,67.0,464.0
3987,35.0,26.0,12.0,3.0,2.0,24.0,0.0,25.0,1.0,20.0,307.0,88.0,169.0,19.0,66.0,55.0,7.0,11.0,65.0,33.0,16.0,5.0,154.0,31.0,117.0,417.0,486.0,14.0,32.0,37.0
4036,0.0,8.0,3.0,12.0,2.0,6.0,4.0,47.0,1.0,163.0,36.0,49.0,191.0,38.0,75.0,10.0,363.0,82.0,9.0,65.0,32.0,158.0,186.0,135.0,68.0,190.0,16.0,188.0,117.0,184.0
