,Shc_pY317,RAD51,EGFR,C-Raf_pS338,p38_pT180_Y182,Notch1,SHP-2_pY542,P-Cadherin,HER2_pY1248,Annexin 1,PKC-delta_pS664,Syk,EGFR_pY1068,4E-BP1,Gab2,PRDX1,Smac,c-Myc,CDK1,Cyclin_D1,CD31,VAV1,HER2,MEK1_pS217_S221,MYH11,Chk2,AMPK_pT172,FoxM1,Bap1 c-4,FOXO3a
3825,0.0,3.0,14.0,4.0,21.0,22.0,2.0,10.0,8.0,29.0,30.0,12.0,17.0,9.0,16.0,34.0,35.0,23.0,11.0,110.0,24.0,37.0,6.0,18.0,25.0,85.0,112.0,13.0,15.0,129.0
3874,7.0,3.0,10.0,18.0,0.0,9.0,14.0,4.0,8.0,16.0,20.0,19.0,1.0,6.0,23.0,68.0,60.0,28.0,29.0,27.0,85.0,12.0,2.0,26.0,22.0,81.0,86.0,17.0,11.0,118.0
3923,0.0,4.0,8.0,2.0,5.0,7.0,10.0,18.0,25.0,11.0,33.0,16.0,15.0,22.0,32.0,9.0,28.0,21.0,92.0,29.0,12.0,35.0,17.0,23.0,3.0,1.0,27.0,20.0,85.0,13.0
3972,0.0,2.0,12.0,3.0,9.0,1.0,24.0,5.0,6.0,15.0,30.0,18.0,22.0,16.0,36.0,11.0,41.0,20.0,14.0,44.0,21.0,23.0,7.0,29.0,4.0,10.0,38.0,27.0,19.0,43.0
4021,2.0,0.0,16.0,1.0,7.0,3.0,13.0,6.0,21.0,15.0,10.0,24.0,18.0,9.0,12.0,14.0,31.0,11.0,22.0,38.0,87.0,26.0,23.0,19.0,8.0,4.0,25.0,20.0,17.0,30.0
4070,0.0,1.0,9.0,4.0,8.0,11.0,15.0,2.0,21.0,13.0,17.0,14.0,26.0,5.0,18.0,19.0,35.0,16.0,23.0,28.0,7.0,59.0,20.0,29.0,3.0,6.0,31.0,10.0,27.0,24.0
4119,1.0,0.0,28.0,5.0,2.0,4.0,10.0,13.0,18.0,8.0,22.0,9.0,32.0,17.0,15.0,14.0,24.0,26.0,93.0,86.0,30.0,12.0,16.0,34.0,3.0,6.0,20.0,23.0,29.0,35.0
4168,1.0,0.0,14.0,9.0,2.0,4.0,10.0,12.0,8.0,18.0,20.0,7.0,3.0,30.0,13.0,11.0,37.0,98.0,22.0,31.0,27.0,55.0,5.0,32.0,29.0,25.0,86.0,24.0,23.0,121.0
4217,2.0,0.0,7.0,9.0,8.0,5.0,10.0,4.0,30.0,3.0,14.0,64.0,32.0,13.0,11.0,25.0,18.0,22.0,29.0,23.0,6.0,21.0,27.0,35.0,1.0,16.0,15.0,19.0,34.0,124.0
4266,1.0,3.0,14.0,2.0,0.0,25.0,4.0,11.0,18.0,5.0,12.0,9.0,23.0,10.0,20.0,13.0,17.0,6.0,37.0,110.0,35.0,27.0,16.0,26.0,21.0,29.0,19.0,15.0,28.0,30.0
4315,0.0,1.0,12.0,2.0,4.0,5.0,9.0,14.0,11.0,3.0,34.0,23.0,13.0,15.0,10.0,8.0,7.0,22.0,87.0,19.0,16.0,29.0,25.0,30.0,6.0,17.0,101.0,18.0,31.0,117.0
4364,0.0,2.0,11.0,3.0,1.0,26.0,7.0,12.0,14.0,6.0,16.0,15.0,20.0,9.0,17.0,28.0,19.0,13.0,30.0,33.0,25.0,32.0,21.0,31.0,4.0,5.0,102.0,10.0,35.0,22.0
4413,0.0,6.0,7.0,4.0,11.0,9.0,8.0,15.0,2.0,3.0,14.0,16.0,25.0,10.0,119.0,38.0,23.0,96.0,90.0,84.0,36.0,17.0,27.0,56.0,26.0,28.0,20.0,39.0,40.0,123.0
4462,0.0,11.0,1.0,15.0,38.0,6.0,5.0,21.0,14.0,3.0,13.0,4.0,9.0,2.0,31.0,12.0,28.0,83.0,23.0,111.0,20.0,22.0,27.0,43.0,35.0,17.0,106.0,16.0,32.0,117.0
4511,0.0,1.0,13.0,4.0,24.0,6.0,2.0,16.0,11.0,3.0,69.0,5.0,36.0,12.0,122.0,9.0,18.0,22.0,10.0,110.0,17.0,19.0,114.0,25.0,32.0,7.0,35.0,127.0,105.0,126.0
4560,0.0,3.0,4.0,2.0,7.0,17.0,13.0,24.0,8.0,1.0,34.0,12.0,9.0,15.0,10.0,6.0,20.0,28.0,19.0,98.0,16.0,21.0,122.0,41.0,46.0,5.0,31.0,133.0,30.0,129.0
4609,0.0,1.0,17.0,19.0,20.0,50.0,9.0,16.0,3.0,4.0,13.0,12.0,21.0,22.0,29.0,11.0,31.0,27.0,5.0,129.0,15.0,24.0,25.0,41.0,28.0,8.0,102.0,125.0,111.0,128.0
4658,0.0,20.0,9.0,1.0,29.0,11.0,3.0,31.0,4.0,6.0,77.0,2.0,17.0,28.0,21.0,18.0,22.0,114.0,25.0,115.0,30.0,14.0,15.0,39.0,26.0,5.0,13.0,16.0,23.0,126.0
4707,0.0,1.0,12.0,9.0,27.0,2.0,11.0,32.0,6.0,10.0,28.0,8.0,30.0,3.0,14.0,7.0,26.0,106.0,19.0,113.0,21.0,13.0,20.0,48.0,46.0,5.0,23.0,120.0,29.0,119.0
4756,0.0,6.0,4.0,3.0,23.0,7.0,12.0,8.0,11.0,2.0,26.0,9.0,10.0,15.0,14.0,63.0,22.0,81.0,19.0,103.0,27.0,5.0,37.0,51.0,18.0,17.0,34.0,123.0,29.0,122.0
4805,0.0,5.0,10.0,3.0,21.0,13.0,6.0,12.0,2.0,1.0,40.0,20.0,9.0,7.0,115.0,22.0,65.0,91.0,8.0,83.0,27.0,25.0,16.0,55.0,11.0,4.0,39.0,121.0,24.0,28.0
4854,0.0,1.0,15.0,2.0,5.0,8.0,6.0,19.0,4.0,3.0,26.0,16.0,29.0,14.0,33.0,7.0,24.0,89.0,38.0,127.0,13.0,36.0,22.0,43.0,25.0,9.0,31.0,123.0,102.0,120.0
