,hsa-miR-31,hsa-miR-22,hsa-miR-574-5p,hsa-miR-199b-5p,hsa-miR-149,hsa-miR-142-5p,hsa-miR-210,hsa-miR-21,hsa-miR-130a,hsa-miR-1302,hcmv-miR-US5-1,hsa-miR-150,hsa-miR-27b,hsa-miR-96,hsa-miR-30a,hsa-miR-205,hsa-miR-592,hsa-miR-766,hsa-miR-200a,hsa-miR-151-3p,hsa-miR-147b,hsa-miR-193b,hsa-miR-219-2-3p,hsa-let-7e,hsa-miR-890,hsa-miR-363,hsa-miR-1256,hsa-let-7c,ebv-miR-BART19-5p,hsa-miR-548a-3p
2611,0.0,6.0,14.0,44.0,3.0,20.0,10.0,2.0,18.0,5.0,65.0,4.0,28.0,411.0,38.0,47.0,24.0,16.0,144.0,25.0,111.0,9.0,76.0,67.0,36.0,432.0,23.0,58.0,7.0,22.0
2660,0.0,20.0,29.0,81.0,2.0,23.0,11.0,1.0,26.0,16.0,42.0,7.0,15.0,46.0,13.0,17.0,91.0,35.0,12.0,55.0,67.0,4.0,5.0,80.0,37.0,25.0,290.0,77.0,8.0,62.0
2709,2.0,6.0,11.0,8.0,3.0,33.0,1.0,14.0,4.0,0.0,23.0,17.0,42.0,87.0,90.0,34.0,24.0,57.0,36.0,21.0,29.0,46.0,329.0,106.0,45.0,256.0,367.0,55.0,62.0,31.0
2758,4.0,16.0,48.0,68.0,3.0,5.0,35.0,0.0,31.0,7.0,77.0,84.0,1.0,87.0,11.0,6.0,26.0,10.0,2.0,366.0,19.0,231.0,9.0,174.0,160.0,150.0,92.0,12.0,187.0,198.0
2807,1.0,7.0,8.0,4.0,27.0,10.0,32.0,3.0,40.0,2.0,371.0,5.0,43.0,28.0,39.0,73.0,48.0,6.0,0.0,131.0,18.0,50.0,118.0,47.0,33.0,483.0,12.0,233.0,95.0,9.0
2856,2.0,10.0,9.0,20.0,162.0,8.0,17.0,16.0,4.0,0.0,56.0,22.0,166.0,55.0,11.0,62.0,5.0,3.0,1.0,35.0,45.0,6.0,75.0,7.0,249.0,109.0,21.0,15.0,102.0,37.0
2905,1.0,6.0,26.0,7.0,31.0,5.0,13.0,0.0,65.0,24.0,8.0,33.0,11.0,16.0,55.0,9.0,2.0,30.0,3.0,323.0,228.0,17.0,377.0,22.0,20.0,76.0,36.0,10.0,101.0,70.0
2954,7.0,18.0,11.0,8.0,89.0,0.0,12.0,6.0,1.0,10.0,16.0,25.0,4.0,3.0,2.0,5.0,180.0,38.0,295.0,76.0,234.0,282.0,19.0,15.0,53.0,13.0,22.0,145.0,293.0,50.0
3003,0.0,2.0,16.0,34.0,49.0,5.0,23.0,1.0,9.0,14.0,138.0,79.0,8.0,3.0,4.0,15.0,78.0,6.0,25.0,68.0,87.0,117.0,70.0,86.0,149.0,56.0,45.0,41.0,18.0,71.0
3052,0.0,6.0,11.0,7.0,14.0,1.0,21.0,9.0,5.0,60.0,16.0,22.0,83.0,3.0,2.0,4.0,31.0,34.0,103.0,27.0,24.0,123.0,26.0,35.0,111.0,29.0,51.0,12.0,325.0,54.0
3101,0.0,2.0,3.0,4.0,18.0,11.0,6.0,5.0,10.0,9.0,15.0,86.0,73.0,1.0,12.0,8.0,214.0,32.0,14.0,7.0,84.0,17.0,286.0,50.0,48.0,13.0,82.0,170.0,16.0,319.0
3150,0.0,10.0,8.0,5.0,26.0,1.0,17.0,18.0,12.0,20.0,6.0,28.0,4.0,2.0,7.0,40.0,9.0,84.0,484.0,23.0,24.0,66.0,591.0,124.0,27.0,32.0,29.0,11.0,315.0,386.0
3199,0.0,4.0,5.0,143.0,32.0,16.0,10.0,8.0,13.0,217.0,37.0,25.0,19.0,22.0,11.0,46.0,47.0,456.0,72.0,7.0,9.0,55.0,28.0,43.0,14.0,1.0,181.0,12.0,21.0,186.0
3248,8.0,9.0,6.0,3.0,7.0,0.0,4.0,27.0,17.0,20.0,10.0,36.0,37.0,5.0,15.0,2.0,74.0,16.0,19.0,45.0,79.0,52.0,150.0,47.0,38.0,32.0,123.0,14.0,64.0,11.0
3297,0.0,9.0,2.0,6.0,1.0,3.0,20.0,21.0,8.0,247.0,15.0,33.0,12.0,5.0,10.0,4.0,48.0,94.0,17.0,7.0,34.0,14.0,152.0,23.0,47.0,31.0,112.0,61.0,365.0,89.0
3346,2.0,3.0,7.0,4.0,5.0,0.0,6.0,96.0,9.0,27.0,14.0,23.0,10.0,1.0,8.0,33.0,31.0,102.0,53.0,16.0,26.0,15.0,288.0,86.0,42.0,37.0,107.0,41.0,30.0,104.0
3395,1.0,19.0,2.0,18.0,3.0,0.0,25.0,15.0,4.0,20.0,6.0,88.0,17.0,5.0,7.0,36.0,9.0,208.0,86.0,31.0,575.0,225.0,172.0,53.0,63.0,116.0,10.0,23.0,52.0,97.0
3444,22.0,30.0,0.0,16.0,29.0,15.0,9.0,3.0,237.0,8.0,10.0,63.0,1.0,171.0,26.0,2.0,33.0,476.0,28.0,160.0,92.0,11.0,300.0,164.0,52.0,354.0,115.0,274.0,57.0,36.0
3493,7.0,22.0,24.0,31.0,30.0,3.0,52.0,130.0,21.0,6.0,44.0,16.0,17.0,108.0,184.0,8.0,32.0,1.0,0.0,174.0,263.0,14.0,26.0,487.0,186.0,248.0,152.0,183.0,10.0,15.0
3542,0.0,150.0,63.0,19.0,18.0,1.0,27.0,70.0,120.0,186.0,4.0,9.0,7.0,28.0,354.0,151.0,77.0,199.0,2.0,158.0,6.0,270.0,152.0,220.0,164.0,525.0,79.0,262.0,285.0,8.0
3591,14.0,66.0,16.0,28.0,32.0,0.0,3.0,17.0,21.0,13.0,19.0,23.0,10.0,76.0,26.0,31.0,39.0,119.0,4.0,70.0,65.0,36.0,160.0,51.0,24.0,166.0,7.0,46.0,11.0,5.0
3640,109.0,19.0,10.0,13.0,0.0,2.0,101.0,80.0,213.0,267.0,51.0,156.0,31.0,15.0,76.0,9.0,1.0,29.0,4.0,6.0,88.0,38.0,95.0,28.0,23.0,491.0,32.0,62.0,7.0,17.0
