,ZBTB20_AMP,GBP3_DEL,ADAM6_AMP,SIRPB1_AMP,BRAF_MUT,GSTT1_AMP,CFHR1_AMP,LOC391322_AMP,KIAA1217_DEL,CFHR3_AMP,KIAA0125_AMP,CNTNAP3B_DEL,USP32P2_DEL,DOCK10_AMP,OR51A2_DEL,FAM75A6_DEL,TPTE_DEL,NSF_AMP,SLC25A37_DEL,TTTY22_DEL,UGT2B28_DEL,DDT_DEL,FAM21A_DEL,CADM2_DEL,GSTTP1_DEL,NRG3_DEL,HERC2P2_AMP,LCE1D_AMP,ARL17A_DEL,LGALS9C_DEL
1940,3.0,0.0,25.0,5.0,1.0,282.0,2.0,283.0,17.0,6.0,41.0,4.0,19.0,45.0,61.0,7.0,31.0,28.0,35.0,11.0,8.0,30.0,277.0,24.0,37.0,154.0,10.0,13.0,140.0,69.0
1989,1.0,3.0,5.0,0.0,10.0,8.0,12.0,9.0,7.0,18.0,4.0,13.0,2.0,39.0,172.0,14.0,30.0,11.0,41.0,155.0,34.0,51.0,46.0,15.0,421.0,32.0,23.0,50.0,61.0,26.0
2038,24.0,13.0,3.0,34.0,11.0,1.0,150.0,0.0,19.0,156.0,2.0,10.0,6.0,124.0,30.0,9.0,4.0,60.0,12.0,90.0,36.0,39.0,140.0,22.0,65.0,53.0,37.0,41.0,56.0,35.0
2087,2.0,1.0,23.0,4.0,9.0,14.0,7.0,13.0,6.0,21.0,18.0,15.0,12.0,22.0,3.0,16.0,35.0,5.0,43.0,37.0,85.0,20.0,369.0,8.0,33.0,40.0,19.0,80.0,24.0,41.0
2136,5.0,9.0,1.0,0.0,4.0,12.0,52.0,13.0,6.0,93.0,2.0,26.0,17.0,11.0,84.0,25.0,3.0,14.0,30.0,37.0,50.0,53.0,57.0,55.0,754.0,24.0,8.0,67.0,7.0,42.0
2185,4.0,6.0,32.0,17.0,15.0,12.0,8.0,13.0,2.0,10.0,31.0,22.0,5.0,16.0,111.0,23.0,63.0,35.0,28.0,18.0,14.0,24.0,62.0,360.0,19.0,137.0,33.0,43.0,9.0,3.0
2234,3.0,4.0,1.0,10.0,5.0,8.0,54.0,7.0,2.0,85.0,0.0,25.0,12.0,29.0,36.0,24.0,9.0,70.0,31.0,66.0,39.0,45.0,23.0,19.0,65.0,51.0,6.0,81.0,18.0,42.0
2283,1.0,4.0,2.0,5.0,9.0,6.0,19.0,7.0,15.0,50.0,3.0,27.0,8.0,58.0,43.0,28.0,18.0,21.0,31.0,51.0,61.0,71.0,207.0,24.0,1427.0,13.0,11.0,25.0,33.0,30.0
2332,3.0,19.0,7.0,1.0,4.0,12.0,283.0,11.0,5.0,220.0,14.0,101.0,0.0,15.0,35.0,100.0,2.0,17.0,49.0,18.0,185.0,29.0,13.0,9.0,92.0,8.0,146.0,51.0,58.0,10.0
2381,65.0,5.0,8.0,1.0,7.0,15.0,137.0,14.0,0.0,40.0,3.0,78.0,2.0,31.0,185.0,82.0,10.0,22.0,149.0,217.0,169.0,27.0,39.0,35.0,42.0,55.0,11.0,73.0,37.0,6.0
