,hsa-miR-147b,hsa-miR-222,hsa-miR-205,hsa-miR-135b,hsa-miR-216a,hsa-miR-615-3p,hsa-miR-517b,hsa-miR-30c,hsa-miR-497,hsa-miR-662,hsa-miR-153,hsa-miR-432,hsa-miR-1259,hsa-miR-510,hsa-miR-448,hsa-miR-548a-3p,hsa-miR-450b-3p,hsa-miR-200a,hsa-miR-196b,hsa-miR-631,ebv-miR-BART18-3p,hsa-miR-219-2-3p,hsa-miR-296-5p,hsa-miR-1279,hsa-miR-1277,hsa-miR-1254,ebv-miR-BART7,kshv-miR-K12-4-3p,hsa-miR-10b,hsa-miR-520a-5p
2714,1.0,49.0,16.0,387.0,51.0,34.0,125.0,48.0,20.0,73.0,42.0,521.0,10.0,162.0,86.0,107.0,158.0,22.0,415.0,79.0,98.0,92.0,119.0,94.0,108.0,465.0,148.0,66.0,44.0,104.0
2763,369.0,578.0,117.0,138.0,23.0,50.0,561.0,25.0,14.0,139.0,363.0,146.0,32.0,553.0,84.0,93.0,38.0,42.0,76.0,308.0,63.0,19.0,571.0,87.0,56.0,80.0,73.0,65.0,62.0,131.0
2812,378.0,29.0,2.0,17.0,33.0,7.0,45.0,67.0,14.0,128.0,15.0,50.0,52.0,82.0,127.0,117.0,84.0,83.0,102.0,110.0,324.0,13.0,100.0,78.0,66.0,133.0,153.0,42.0,19.0,546.0
2861,17.0,73.0,47.0,1.0,129.0,59.0,556.0,41.0,29.0,2.0,382.0,68.0,500.0,564.0,528.0,64.0,58.0,134.0,39.0,4.0,32.0,52.0,69.0,154.0,501.0,53.0,107.0,118.0,43.0,94.0
2910,0.0,33.0,7.0,394.0,70.0,62.0,25.0,39.0,42.0,153.0,378.0,99.0,495.0,75.0,47.0,97.0,92.0,58.0,32.0,9.0,250.0,23.0,24.0,163.0,68.0,106.0,72.0,276.0,460.0,57.0
2959,378.0,10.0,50.0,60.0,46.0,53.0,35.0,122.0,531.0,92.0,69.0,121.0,90.0,86.0,514.0,39.0,36.0,118.0,119.0,63.0,41.0,47.0,7.0,38.0,34.0,13.0,134.0,133.0,151.0,111.0
3008,381.0,17.0,5.0,392.0,36.0,171.0,19.0,58.0,501.0,126.0,21.0,61.0,81.0,97.0,78.0,66.0,98.0,89.0,60.0,330.0,27.0,46.0,571.0,30.0,11.0,91.0,148.0,55.0,28.0,546.0
3057,1.0,10.0,14.0,27.0,16.0,180.0,7.0,19.0,72.0,29.0,43.0,123.0,79.0,37.0,512.0,66.0,47.0,80.0,95.0,46.0,245.0,591.0,578.0,58.0,60.0,53.0,118.0,136.0,109.0,538.0
3106,376.0,3.0,9.0,31.0,24.0,26.0,10.0,628.0,528.0,75.0,372.0,34.0,57.0,35.0,516.0,56.0,63.0,407.0,126.0,323.0,14.0,589.0,129.0,96.0,48.0,69.0,145.0,87.0,455.0,150.0
3155,372.0,8.0,20.0,121.0,43.0,66.0,16.0,55.0,529.0,116.0,399.0,35.0,50.0,107.0,106.0,40.0,48.0,39.0,9.0,318.0,30.0,0.0,103.0,117.0,25.0,115.0,133.0,58.0,15.0,72.0
3204,384.0,16.0,27.0,132.0,24.0,143.0,49.0,60.0,508.0,20.0,379.0,50.0,498.0,135.0,18.0,138.0,23.0,102.0,126.0,78.0,66.0,82.0,89.0,42.0,10.0,34.0,119.0,71.0,461.0,550.0
3253,378.0,1.0,94.0,387.0,30.0,18.0,14.0,13.0,501.0,119.0,58.0,80.0,108.0,114.0,81.0,96.0,56.0,102.0,25.0,330.0,250.0,67.0,577.0,40.0,24.0,52.0,109.0,70.0,5.0,155.0
3302,382.0,4.0,33.0,0.0,16.0,79.0,2.0,109.0,500.0,75.0,377.0,121.0,59.0,85.0,522.0,116.0,77.0,106.0,50.0,336.0,315.0,593.0,578.0,42.0,487.0,135.0,123.0,37.0,9.0,137.0
3351,375.0,0.0,33.0,387.0,29.0,31.0,14.0,19.0,528.0,15.0,37.0,21.0,464.0,38.0,5.0,55.0,514.0,20.0,411.0,104.0,72.0,585.0,127.0,64.0,74.0,433.0,119.0,69.0,455.0,86.0
3400,373.0,88.0,16.0,385.0,49.0,17.0,46.0,20.0,21.0,41.0,367.0,26.0,79.0,80.0,519.0,116.0,515.0,100.0,53.0,324.0,34.0,586.0,111.0,60.0,42.0,61.0,85.0,51.0,28.0,107.0
3449,6.0,2.0,15.0,42.0,14.0,36.0,25.0,627.0,43.0,26.0,37.0,19.0,492.0,68.0,516.0,115.0,77.0,155.0,94.0,41.0,241.0,21.0,570.0,114.0,52.0,464.0,81.0,100.0,87.0,125.0
3498,7.0,43.0,20.0,406.0,46.0,16.0,8.0,56.0,106.0,6.0,475.0,114.0,76.0,101.0,628.0,81.0,116.0,503.0,26.0,29.0,15.0,102.0,24.0,525.0,522.0,30.0,121.0,119.0,150.0,54.0
3547,25.0,44.0,50.0,28.0,48.0,19.0,63.0,34.0,21.0,95.0,377.0,528.0,18.0,139.0,526.0,106.0,166.0,14.0,417.0,360.0,30.0,22.0,577.0,485.0,487.0,66.0,81.0,134.0,85.0,69.0
3596,0.0,17.0,21.0,154.0,33.0,52.0,39.0,139.0,506.0,76.0,64.0,63.0,69.0,100.0,60.0,104.0,48.0,169.0,88.0,82.0,46.0,62.0,89.0,483.0,484.0,466.0,109.0,128.0,119.0,96.0
3645,15.0,3.0,22.0,44.0,20.0,101.0,27.0,72.0,36.0,305.0,95.0,517.0,78.0,70.0,94.0,98.0,50.0,150.0,411.0,348.0,41.0,30.0,76.0,155.0,124.0,45.0,82.0,54.0,156.0,116.0
3694,0.0,46.0,16.0,9.0,73.0,63.0,44.0,570.0,119.0,12.0,57.0,49.0,14.0,52.0,113.0,47.0,59.0,107.0,420.0,334.0,62.0,48.0,168.0,491.0,492.0,19.0,82.0,71.0,108.0,83.0
