,TNFRSF1B,C14orf37,LMCD1,RP11-875O11.1,ARID3A,TFAP2A,MRPS31P5,RP6-109B7.3,RGL4,KIF2A,SYNC,RABGEF1,SEC14L2,PPIC,MTMR14,FLI1,KAL1,SLC39A7,SLC10A7,GLB1L2,RP11-537E18.1,KCNIP3,C16orf54,COX5BP6,RP11-227D13.2,RP11-483F11.7,FAM189A2,GALNT18,GLUL,RP11-1069G10.2
4127,27.0,3.0,69.0,19215.0,2.0,46.0,6363.0,7.0,9.0,19.0,18.0,4.0,31.0,13.0,76.0,66.0,85.0,59.0,33.0,143.0,1366.0,16946.0,8.0,77.0,170.0,19877.0,23.0,5383.0,10.0,82.0
4176,196.0,59.0,0.0,10.0,46.0,32.0,7086.0,2.0,16.0,75.0,524.0,42.0,47.0,81.0,85.0,80.0,101.0,77.0,34.0,657.0,17023.0,112.0,275.0,206.0,167.0,294.0,18442.0,797.0,235.0,728.0
4225,2.0,4.0,0.0,19219.0,30.0,137.0,5902.0,34.0,26.0,5.0,318.0,11.0,56.0,143.0,202.0,194.0,85.0,98.0,37.0,113.0,17064.0,96.0,130.0,310.0,17.0,1.0,23.0,1426.0,1492.0,48.0
4274,33.0,390.0,11.0,19217.0,7.0,122.0,7072.0,14.0,9139.0,21527.0,123.0,3.0,16.0,96.0,85.0,15.0,231.0,117.0,63.0,1284.0,95.0,16956.0,52.0,6929.0,184.0,19884.0,18433.0,4610.0,101.0,198.0
4323,89.0,550.0,10.0,200.0,59.0,22.0,6826.0,151.0,60.0,7.0,421.0,5.0,31.0,46.0,69.0,155.0,121.0,58.0,14428.0,7114.0,21.0,2799.0,111.0,322.0,57.0,19433.0,18325.0,4324.0,246.0,500.0
4372,0.0,2.0,4.0,19129.0,34.0,21.0,31.0,42.0,33.0,79.0,16545.0,1.0,6.0,99.0,74.0,81.0,11.0,47.0,63.0,333.0,17008.0,2885.0,64.0,317.0,250.0,3.0,18417.0,18.0,141.0,14.0
4421,15.0,9.0,2.0,17.0,33.0,96.0,37.0,136.0,11689.0,10.0,287.0,41.0,173.0,233.0,81.0,204.0,10812.0,21031.0,118.0,427.0,24.0,16998.0,62.0,187.0,467.0,1.0,182.0,450.0,8.0,32.0
4470,4.0,2.0,0.0,3.0,174.0,51.0,6.0,79.0,80.0,68.0,25.0,17.0,9220.0,126.0,34.0,31.0,9621.0,21034.0,93.0,67.0,17021.0,1.0,20.0,205.0,243.0,29.0,18422.0,554.0,27.0,4288.0
4519,334.0,13.0,0.0,21.0,135.0,90.0,65.0,89.0,134.0,36.0,22.0,26.0,23.0,22003.0,102.0,301.0,9566.0,21099.0,14506.0,122.0,38.0,6.0,10684.0,79.0,312.0,2.0,2432.0,3395.0,54.0,1626.0
4568,6.0,245.0,0.0,2.0,95.0,185.0,38.0,300.0,257.0,21645.0,267.0,560.0,199.0,165.0,19.0,142.0,136.0,81.0,135.0,3.0,113.0,60.0,155.0,68.0,598.0,45.0,88.0,41.0,12.0,2523.0
4617,4.0,2.0,0.0,6.0,141.0,32.0,99.0,405.0,9233.0,53.0,195.0,373.0,9313.0,257.0,384.0,137.0,9622.0,21058.0,136.0,4668.0,258.0,14.0,294.0,83.0,401.0,57.0,983.0,614.0,18.0,473.0
4666,8.0,1.0,28.0,10.0,222.0,374.0,19.0,26.0,319.0,13.0,219.0,23.0,9251.0,21902.0,27.0,449.0,141.0,215.0,313.0,5705.0,42.0,64.0,73.0,390.0,1005.0,5.0,102.0,743.0,93.0,4515.0
4715,68.0,14.0,1.0,2.0,78.0,84.0,35.0,34.0,110.0,83.0,267.0,55.0,9214.0,137.0,82.0,24.0,187.0,95.0,14524.0,20.0,3.0,61.0,97.0,172.0,57.0,13.0,4.0,141.0,200.0,4281.0
4764,7.0,187.0,0.0,17.0,51.0,10.0,1.0,9508.0,95.0,63.0,36.0,160.0,9270.0,159.0,49.0,99.0,119.0,56.0,14549.0,54.0,113.0,5.0,30.0,128.0,3509.0,28.0,12.0,320.0,71.0,21.0
4813,17.0,3.0,1.0,19137.0,14.0,204.0,35.0,5.0,163.0,44.0,16566.0,52.0,9277.0,687.0,115.0,386.0,45.0,155.0,14479.0,201.0,387.0,37.0,122.0,443.0,821.0,11.0,166.0,15.0,36.0,124.0
4862,8.0,1.0,2.0,10.0,65.0,6.0,124.0,9.0,36.0,28.0,95.0,650.0,87.0,51.0,89.0,78.0,94.0,21053.0,33.0,112.0,16.0,17005.0,45.0,50.0,229.0,72.0,12.0,14.0,97.0,113.0
