,Caspase-7_cleavedD198,Chk1,MSH6,GAPDH,Stathmin,Lck,PTEN,RAD51,PDCD4,Notch1,4E-BP1,Beclin,Src_pY416,MDMX_MDM4(BetIHC-00108),Caveolin-1,p53,FRA1,Smad4,Chk1_pS345,EGFR,PKC-pan_BetaII_pS660,GSK3-alpha-beta,PEA15_pS116,p70S6K_pT389,GSK3-alpha-beta_pS21_S9,eEF2,TAZ,4E-BP1_pT37_T46,PKC-alpha,Rb_pS807_S811
491,0.0,3.0,2.0,8.0,15.0,5.0,7.0,1.0,12.0,11.0,28.0,6.0,36.0,14.0,4.0,9.0,13.0,20.0,29.0,22.0,46.0,47.0,60.0,23.0,24.0,17.0,33.0,69.0,16.0,66.0
540,1.0,3.0,2.0,5.0,7.0,15.0,8.0,4.0,14.0,0.0,12.0,6.0,30.0,24.0,11.0,13.0,17.0,19.0,18.0,38.0,20.0,28.0,46.0,63.0,29.0,10.0,32.0,56.0,21.0,72.0
589,3.0,1.0,5.0,7.0,9.0,10.0,15.0,6.0,12.0,0.0,35.0,2.0,21.0,24.0,4.0,8.0,36.0,16.0,42.0,20.0,14.0,22.0,27.0,54.0,23.0,13.0,47.0,60.0,18.0,69.0
638,0.0,7.0,2.0,4.0,3.0,6.0,22.0,8.0,24.0,1.0,13.0,5.0,31.0,17.0,23.0,19.0,11.0,32.0,20.0,37.0,36.0,14.0,29.0,70.0,30.0,9.0,16.0,53.0,38.0,96.0
687,2.0,1.0,0.0,16.0,7.0,19.0,6.0,3.0,13.0,4.0,35.0,9.0,92.0,10.0,26.0,79.0,8.0,36.0,12.0,28.0,38.0,29.0,30.0,54.0,31.0,17.0,40.0,70.0,32.0,74.0
736,0.0,2.0,7.0,6.0,11.0,19.0,3.0,1.0,5.0,12.0,25.0,4.0,36.0,67.0,17.0,10.0,37.0,23.0,20.0,26.0,32.0,35.0,89.0,21.0,18.0,40.0,54.0,78.0,41.0,38.0
785,1.0,8.0,0.0,12.0,3.0,18.0,4.0,17.0,9.0,11.0,16.0,6.0,25.0,52.0,5.0,2.0,73.0,24.0,13.0,7.0,60.0,74.0,108.0,26.0,42.0,20.0,116.0,36.0,37.0,23.0
834,3.0,2.0,7.0,14.0,26.0,22.0,4.0,5.0,18.0,1.0,24.0,6.0,31.0,12.0,13.0,8.0,11.0,10.0,28.0,37.0,76.0,25.0,27.0,29.0,21.0,0.0,36.0,57.0,19.0,86.0
883,2.0,0.0,3.0,1.0,15.0,18.0,11.0,8.0,29.0,6.0,35.0,19.0,104.0,4.0,77.0,10.0,33.0,5.0,31.0,69.0,12.0,7.0,65.0,23.0,26.0,28.0,40.0,62.0,43.0,96.0
932,9.0,4.0,1.0,8.0,10.0,7.0,39.0,5.0,0.0,13.0,20.0,3.0,6.0,55.0,11.0,29.0,12.0,2.0,27.0,97.0,23.0,34.0,57.0,45.0,36.0,18.0,53.0,47.0,77.0,122.0
981,7.0,2.0,9.0,6.0,4.0,3.0,1.0,0.0,30.0,8.0,18.0,5.0,12.0,26.0,10.0,58.0,14.0,25.0,21.0,31.0,51.0,15.0,29.0,17.0,46.0,20.0,44.0,62.0,65.0,45.0
1030,7.0,9.0,17.0,18.0,15.0,3.0,1.0,14.0,12.0,0.0,4.0,40.0,34.0,5.0,2.0,51.0,22.0,25.0,19.0,79.0,112.0,13.0,6.0,82.0,33.0,11.0,71.0,16.0,53.0,68.0
1079,2.0,6.0,1.0,9.0,10.0,0.0,5.0,24.0,33.0,8.0,3.0,4.0,23.0,44.0,21.0,25.0,14.0,36.0,27.0,35.0,56.0,20.0,7.0,18.0,65.0,64.0,28.0,32.0,72.0,46.0
1128,1.0,4.0,0.0,13.0,3.0,2.0,10.0,6.0,5.0,9.0,14.0,8.0,16.0,21.0,7.0,15.0,18.0,43.0,11.0,23.0,24.0,36.0,35.0,37.0,42.0,41.0,19.0,28.0,99.0,12.0
1177,1.0,4.0,13.0,7.0,17.0,0.0,45.0,9.0,56.0,10.0,2.0,3.0,6.0,32.0,5.0,35.0,11.0,40.0,26.0,33.0,25.0,43.0,18.0,41.0,34.0,16.0,19.0,31.0,67.0,27.0
1226,14.0,1.0,4.0,0.0,9.0,5.0,3.0,7.0,25.0,2.0,19.0,6.0,11.0,85.0,17.0,8.0,50.0,15.0,28.0,26.0,29.0,35.0,27.0,46.0,51.0,12.0,13.0,53.0,58.0,36.0
1275,1.0,0.0,9.0,11.0,3.0,7.0,5.0,4.0,6.0,2.0,12.0,10.0,15.0,19.0,13.0,63.0,52.0,29.0,20.0,22.0,28.0,24.0,17.0,39.0,70.0,36.0,16.0,38.0,33.0,42.0
