,hsa-miR-105,hsa-miR-1248,hsa-miR-34a,hsa-miR-541,hsa-miR-148a,hsa-miR-888,hsa-miR-206,hsa-miR-1236,hsa-miR-26a,hsa-miR-136,hsa-miR-223,hsa-miR-616,hsa-miR-877,hsa-miR-142-5p,hsa-miR-1262,hsa-miR-1256,hsa-miR-190,hsa-miR-652,hsa-miR-609,hsa-miR-323-5p,hsa-miR-513a-3p,hsa-miR-553,hsa-miR-623,hsa-miR-143,hsa-miR-375,hsa-miR-550,hsa-miR-412,hsa-miR-924,hsa-miR-103,hsa-miR-1297
4376,5.0,1.0,6.0,4.0,0.0,9.0,30.0,25.0,90.0,3.0,31.0,20.0,17.0,14.0,34.0,2.0,44.0,27.0,86.0,29.0,50.0,97.0,49.0,48.0,13.0,198.0,45.0,55.0,35.0,37.0
4425,9.0,2.0,12.0,3.0,5.0,4.0,1.0,99.0,112.0,7.0,38.0,16.0,21.0,41.0,18.0,17.0,0.0,42.0,85.0,10.0,49.0,23.0,20.0,13.0,104.0,35.0,62.0,19.0,52.0,44.0
4474,16.0,2.0,5.0,32.0,1.0,0.0,9.0,104.0,45.0,46.0,7.0,30.0,86.0,14.0,3.0,24.0,12.0,15.0,11.0,51.0,59.0,17.0,102.0,8.0,36.0,43.0,136.0,167.0,25.0,131.0
4523,15.0,1.0,2.0,28.0,7.0,0.0,3.0,95.0,17.0,11.0,128.0,8.0,20.0,24.0,22.0,135.0,9.0,45.0,55.0,4.0,58.0,33.0,18.0,6.0,75.0,26.0,66.0,5.0,21.0,30.0
4572,31.0,0.0,9.0,17.0,4.0,2.0,1.0,27.0,14.0,5.0,42.0,37.0,13.0,68.0,15.0,131.0,20.0,19.0,52.0,10.0,33.0,18.0,32.0,16.0,144.0,24.0,104.0,11.0,12.0,22.0
4621,15.0,2.0,7.0,21.0,3.0,1.0,0.0,17.0,4.0,10.0,26.0,23.0,5.0,74.0,9.0,62.0,24.0,28.0,8.0,27.0,36.0,55.0,66.0,13.0,60.0,73.0,77.0,39.0,14.0,22.0
4670,17.0,9.0,15.0,16.0,7.0,2.0,1.0,45.0,5.0,12.0,18.0,6.0,31.0,68.0,14.0,21.0,13.0,4.0,37.0,54.0,33.0,25.0,44.0,8.0,198.0,34.0,121.0,53.0,19.0,69.0
4719,21.0,4.0,0.0,24.0,2.0,5.0,3.0,15.0,14.0,1.0,6.0,28.0,20.0,107.0,8.0,85.0,22.0,17.0,12.0,7.0,32.0,33.0,16.0,19.0,69.0,27.0,63.0,49.0,41.0,23.0
4768,18.0,8.0,5.0,14.0,12.0,0.0,10.0,6.0,4.0,20.0,21.0,2.0,9.0,117.0,39.0,89.0,34.0,22.0,1.0,16.0,76.0,37.0,45.0,11.0,110.0,67.0,35.0,56.0,62.0,23.0
4817,14.0,5.0,16.0,11.0,25.0,3.0,10.0,37.0,24.0,4.0,15.0,29.0,0.0,121.0,23.0,30.0,2.0,20.0,124.0,26.0,33.0,22.0,83.0,13.0,75.0,9.0,155.0,21.0,17.0,45.0
4866,16.0,3.0,4.0,52.0,14.0,0.0,2.0,28.0,20.0,15.0,11.0,13.0,5.0,27.0,40.0,62.0,12.0,19.0,8.0,60.0,29.0,59.0,23.0,7.0,34.0,39.0,85.0,25.0,18.0,55.0
