,CORO2A,TSTD1,C1orf186,SLFN13,FZD6,AKR1E2,SYTL1,ZBED6CL,PLAGL1,ZNF185,OCIAD2,GALNT14,CASP10,PRSS16,MLK4,HNF1B,RAB3D,RP11-390F4.3,ADRB2,STXBP2,ELOVL7,RP11-973H7.3,XDH,ZDHHC12,EVPL,TNK1,TBC1D2,B3GNT4,S100A2,DENND2C
3930,3.0,0.0,1.0,72.0,17.0,2.0,47.0,5.0,18.0,6.0,36.0,73.0,27.0,7.0,33.0,19.0,21.0,9.0,39.0,14.0,45.0,4.0,38.0,162.0,30.0,11.0,101.0,76.0,12.0,22.0
3979,10.0,0.0,9.0,19.0,4.0,3.0,40.0,17.0,2.0,23.0,14.0,77.0,21.0,1.0,28.0,115.0,42.0,30.0,33.0,16.0,54.0,56.0,35.0,70.0,8.0,13.0,45.0,205.0,20.0,22.0
4028,1.0,0.0,2.0,30.0,5.0,9.0,31.0,12.0,67.0,7.0,20.0,21.0,25.0,23.0,40.0,37.0,68.0,57.0,27.0,22.0,29.0,14.0,13.0,74.0,79.0,6.0,75.0,56.0,3.0,83.0
4077,1.0,0.0,4.0,3.0,2.0,13.0,84.0,14.0,66.0,11.0,43.0,61.0,36.0,7.0,38.0,76.0,109.0,64.0,18.0,15.0,22.0,9.0,34.0,71.0,44.0,19.0,45.0,89.0,26.0,29.0
4126,4.0,0.0,2.0,16.0,3.0,1.0,87.0,18.0,14.0,13.0,35.0,10.0,38.0,17.0,29.0,68.0,78.0,49.0,42.0,32.0,25.0,6.0,43.0,105.0,19.0,26.0,220.0,36.0,40.0,9.0
4175,4.0,0.0,11.0,3.0,6.0,1.0,36.0,7.0,25.0,9.0,23.0,83.0,50.0,51.0,48.0,33.0,95.0,12.0,2.0,24.0,28.0,10.0,17.0,42.0,18.0,16.0,45.0,120.0,22.0,20.0
4224,6.0,0.0,14.0,2.0,5.0,27.0,69.0,1.0,23.0,26.0,139.0,146.0,9.0,8.0,33.0,10.0,85.0,38.0,25.0,7.0,3.0,12.0,242.0,58.0,13.0,16.0,52.0,57.0,74.0,28.0
4273,1.0,0.0,2.0,3.0,6.0,10.0,92.0,5.0,78.0,4.0,89.0,8.0,42.0,23.0,12.0,21.0,54.0,73.0,11.0,14.0,20.0,9.0,60.0,34.0,28.0,39.0,46.0,69.0,27.0,52.0
4322,1.0,0.0,2.0,27.0,4.0,34.0,82.0,8.0,71.0,26.0,29.0,6.0,36.0,9.0,14.0,10.0,73.0,75.0,46.0,58.0,15.0,20.0,41.0,21.0,28.0,12.0,74.0,166.0,5.0,138.0
4371,1.0,0.0,6.0,2.0,40.0,3.0,69.0,7.0,97.0,5.0,23.0,26.0,29.0,33.0,49.0,41.0,31.0,19.0,18.0,10.0,15.0,16.0,38.0,43.0,20.0,24.0,48.0,68.0,8.0,52.0
4420,0.0,2.0,13.0,4.0,23.0,1.0,14.0,12.0,22.0,9.0,8.0,3.0,29.0,10.0,46.0,42.0,19.0,230.0,31.0,15.0,30.0,100.0,34.0,193.0,25.0,55.0,16.0,60.0,11.0,124.0
4469,0.0,2.0,23.0,6.0,1.0,15.0,28.0,3.0,24.0,47.0,13.0,19.0,8.0,14.0,18.0,43.0,22.0,72.0,9.0,4.0,35.0,94.0,509.0,101.0,249.0,45.0,10.0,70.0,29.0,123.0
4518,0.0,5.0,10.0,1.0,8.0,3.0,49.0,2.0,20.0,9.0,12.0,51.0,13.0,17.0,6.0,24.0,14.0,30.0,43.0,28.0,53.0,151.0,110.0,97.0,50.0,69.0,27.0,60.0,7.0,165.0
4567,0.0,13.0,5.0,1.0,2.0,3.0,12.0,7.0,38.0,35.0,24.0,9.0,58.0,14.0,15.0,23.0,34.0,565.0,6.0,32.0,43.0,117.0,22.0,157.0,143.0,60.0,16.0,64.0,57.0,199.0
4616,1.0,4.0,3.0,0.0,9.0,13.0,10.0,11.0,15.0,21.0,8.0,6.0,42.0,32.0,22.0,29.0,81.0,140.0,24.0,20.0,33.0,152.0,12.0,131.0,67.0,39.0,23.0,41.0,5.0,90.0
4665,0.0,9.0,3.0,2.0,8.0,71.0,24.0,1.0,29.0,20.0,16.0,5.0,19.0,41.0,23.0,28.0,15.0,75.0,25.0,27.0,39.0,186.0,42.0,61.0,48.0,125.0,22.0,53.0,4.0,191.0
4714,0.0,4.0,5.0,2.0,6.0,25.0,8.0,3.0,32.0,14.0,11.0,27.0,17.0,28.0,21.0,12.0,58.0,31.0,7.0,77.0,13.0,73.0,64.0,142.0,55.0,26.0,23.0,37.0,10.0,223.0
4763,0.0,5.0,13.0,11.0,8.0,4.0,10.0,6.0,15.0,96.0,12.0,3.0,21.0,25.0,30.0,27.0,28.0,162.0,79.0,17.0,49.0,52.0,168.0,169.0,62.0,63.0,19.0,54.0,18.0,215.0
4812,0.0,6.0,4.0,14.0,3.0,5.0,11.0,19.0,2.0,28.0,9.0,1.0,38.0,8.0,29.0,36.0,25.0,122.0,35.0,24.0,17.0,117.0,56.0,162.0,93.0,52.0,23.0,62.0,16.0,99.0
4861,0.0,5.0,2.0,1.0,4.0,14.0,38.0,6.0,262.0,11.0,12.0,7.0,15.0,21.0,49.0,8.0,36.0,144.0,66.0,46.0,9.0,74.0,41.0,75.0,146.0,37.0,10.0,83.0,19.0,97.0
