,MAP2K4_DEL,POU5F1B_AMP,PRODH_DEL,CCL3L3_DEL,GRM5_DEL,MYH8_DEL,FAM21A_DEL,ANKRD36_AMP,BMPR2_AMP,FAM66D_DEL,NRXN3_DEL,ATR_MUT,LOC339166_DEL,DNAJC24_DEL,AMY2A_DEL,PPFIBP1_AMP,LOC284344_DEL,SIRPB1_AMP,DOCK10_AMP,SMARCA4_MUT,PRR5-ARHGAP8_DEL,LRP1B_DEL,ANKS1B_DEL,TAG_DEL,BTNL3_DEL,MGAM_DEL,FAM86B1_DEL,KIAA1217_DEL,CDKN2B-AS1_DEL,ASAH2_DEL
2336,11.0,45.0,36.0,7.0,4.0,21.0,18.0,8.0,74.0,44.0,104.0,31.0,654.0,141.0,67.0,103.0,98.0,75.0,41.0,49.0,26.0,185.0,132.0,94.0,93.0,42.0,50.0,109.0,38.0,118.0
2385,11.0,4.0,10.0,135.0,2.0,2143.0,41.0,61.0,85.0,101.0,111.0,16453.0,715.0,72.0,56.0,17.0,84.0,182.0,87.0,65.0,19.0,178.0,124.0,144.0,60.0,31.0,54.0,114.0,154.0,168.0
2434,42.0,73.0,45.0,82.0,11.0,2.0,2949.0,80.0,29.0,57.0,85.0,16454.0,115.0,50.0,21.0,13.0,92.0,110.0,66.0,32.0,53.0,31.0,11584.0,121.0,142.0,100.0,8971.0,135.0,189.0,129.0
2483,5.0,22268.0,102.0,117.0,11.0,97.0,23.0,71.0,83.0,57.0,34.0,16451.0,618.0,64.0,1580.0,35.0,21.0,76.0,56.0,16570.0,93.0,94.0,104.0,66.0,132.0,8849.0,3.0,133.0,58.0,70.0
2532,49.0,0.0,23.0,30.0,3.0,2135.0,21.0,74.0,62.0,90.0,57.0,97.0,661.0,72.0,1561.0,7.0,39.0,162.0,107.0,51.0,9686.0,173.0,11574.0,102.0,129.0,8848.0,15.0,154.0,89.0,83.0
2581,5.0,22265.0,41.0,7.0,2.0,113.0,40.0,23.0,23869.0,109.0,51.0,16443.0,56.0,96.0,1520.0,34.0,53.0,76.0,74.0,16563.0,135.0,77.0,99.0,114.0,81.0,78.0,14.0,124.0,49.0,83.0
2630,27.0,22267.0,23.0,31.0,273.0,5.0,15.0,28.0,150.0,60.0,7723.0,16449.0,581.0,65.0,1577.0,11.0,29.0,148.0,62.0,16569.0,9679.0,153.0,166.0,92.0,121.0,8847.0,52.0,138.0,53.0,135.0
2679,8.0,0.0,33.0,13.0,14.0,142.0,60.0,42.0,63.0,164.0,7720.0,16445.0,30.0,34.0,1574.0,24.0,59.0,69.0,52.0,16564.0,92.0,10267.0,97.0,119.0,83.0,8842.0,1.0,112.0,18663.0,136.0
2728,10894.0,0.0,43.0,1767.0,6.0,21.0,15.0,51.0,153.0,172.0,34.0,29.0,590.0,161.0,17.0,30.0,4.0,105.0,21432.0,16545.0,20.0,72.0,57.0,84.0,89.0,8847.0,42.0,134.0,193.0,113.0
2777,46.0,22264.0,29.0,1743.0,20.0,26.0,64.0,50.0,113.0,73.0,83.0,18.0,592.0,94.0,5.0,6.0,164.0,57.0,82.0,52.0,58.0,67.0,135.0,112.0,81.0,125.0,42.0,136.0,189.0,181.0
2826,68.0,22274.0,55.0,50.0,1.0,16.0,60.0,42.0,23901.0,20661.0,117.0,16448.0,637.0,114.0,1579.0,19322.0,113.0,51.0,120.0,16567.0,132.0,159.0,88.0,129.0,116.0,8849.0,41.0,157.0,96.0,119.0
2875,10902.0,22271.0,21.0,30.0,95.0,2114.0,22.0,120.0,85.0,108.0,35.0,41.0,74.0,81.0,1441.0,12.0,32.0,106.0,21412.0,16549.0,38.0,143.0,110.0,71.0,127.0,8846.0,8.0,105.0,141.0,100.0
2924,33.0,22262.0,44.0,22.0,251.0,2129.0,8.0,61.0,98.0,50.0,46.0,16446.0,584.0,105.0,1545.0,51.0,47.0,101.0,92.0,16565.0,39.0,32.0,80.0,77.0,151.0,8841.0,110.0,134.0,48.0,102.0
2973,10902.0,140.0,14.0,1768.0,217.0,51.0,37.0,18.0,26.0,167.0,39.0,71.0,27.0,73.0,48.0,19297.0,54.0,58.0,84.0,16570.0,9684.0,34.0,56.0,121.0,172.0,8849.0,8953.0,109.0,57.0,100.0
3022,10905.0,22290.0,25.0,135.0,111.0,2166.0,57.0,21.0,63.0,66.0,71.0,77.0,17.0,131.0,74.0,19325.0,61.0,120.0,149.0,47.0,124.0,147.0,118.0,103.0,4081.0,60.0,8959.0,99.0,140.0,84.0
3071,10927.0,22329.0,27.0,34.0,87.0,2129.0,41.0,24.0,52.0,29.0,7729.0,16453.0,16.0,80.0,95.0,35.0,84.0,93.0,21422.0,28.0,112.0,48.0,110.0,85.0,134.0,8831.0,8995.0,71.0,68.0,141.0
3120,10907.0,132.0,42.0,1773.0,248.0,5.0,54.0,40.0,52.0,33.0,68.0,29.0,649.0,81.0,1579.0,35.0,73.0,159.0,41.0,16.0,95.0,89.0,71.0,113.0,77.0,8850.0,8971.0,150.0,174.0,109.0
3169,10907.0,14.0,23.0,26.0,7.0,130.0,32.0,66.0,19.0,179.0,7726.0,16480.0,83.0,48.0,60.0,33.0,49.0,53.0,21418.0,16548.0,9691.0,71.0,94.0,95.0,88.0,8848.0,8969.0,132.0,157.0,119.0
3218,10904.0,22266.0,17.0,24.0,202.0,66.0,33.0,46.0,98.0,2.0,7.0,82.0,55.0,64.0,1574.0,19284.0,60.0,179.0,86.0,16550.0,78.0,96.0,101.0,105.0,133.0,8845.0,8966.0,87.0,30.0,124.0
3267,10903.0,22272.0,12.0,1766.0,294.0,86.0,58.0,19.0,40.0,62.0,7727.0,16445.0,4.0,44.0,55.0,19296.0,54.0,38.0,103.0,71.0,9682.0,21.0,109.0,111.0,97.0,8827.0,8991.0,87.0,37.0,150.0
3316,10906.0,22275.0,17.0,39.0,291.0,0.0,16.0,30.0,99.0,62.0,15.0,16451.0,27.0,87.0,58.0,48.0,40.0,134.0,84.0,16551.0,32.0,127.0,72.0,77.0,188.0,5.0,12.0,61.0,139.0,104.0
