,hsa-miR-142-5p,hsa-miR-223,hsa-miR-205,hsa-miR-199b-5p,hsa-miR-21,hsa-miR-31,hsa-miR-210,hsa-let-7e,hsa-miR-22,hsa-miR-147b,hsa-miR-200a,hsa-miR-1302,hsa-miR-27b,hsa-miR-130a,hsa-miR-30a,hsa-miR-574-5p,hsa-miR-224,hsa-miR-151-3p,hsa-miR-219-2-3p,hsa-miR-135b,hsa-miR-766,hsa-miR-592,hsa-miR-193b,hsa-let-7i,hsa-miR-193a-5p,kshv-miR-K12-4-3p,hsa-miR-149,hsa-miR-96,hsa-miR-518f,hcmv-miR-UL148D
3399,0.0,1.0,26.0,4.0,10.0,9.0,215.0,2.0,6.0,5.0,11.0,7.0,12.0,3.0,8.0,20.0,15.0,252.0,72.0,138.0,34.0,361.0,191.0,14.0,22.0,46.0,29.0,24.0,60.0,104.0
3448,1.0,0.0,2.0,4.0,5.0,6.0,9.0,20.0,433.0,12.0,18.0,7.0,3.0,48.0,17.0,113.0,8.0,16.0,29.0,34.0,10.0,24.0,65.0,138.0,118.0,13.0,179.0,579.0,141.0,15.0
3497,0.0,1.0,3.0,2.0,40.0,4.0,6.0,17.0,410.0,37.0,14.0,7.0,5.0,446.0,110.0,15.0,10.0,24.0,69.0,401.0,19.0,28.0,30.0,20.0,43.0,9.0,45.0,21.0,13.0,25.0
3546,1.0,2.0,4.0,3.0,33.0,11.0,5.0,357.0,332.0,16.0,7.0,8.0,0.0,136.0,312.0,185.0,6.0,60.0,35.0,10.0,106.0,58.0,66.0,313.0,158.0,40.0,479.0,26.0,42.0,20.0
3595,0.0,2.0,4.0,5.0,7.0,9.0,1.0,69.0,13.0,21.0,10.0,19.0,3.0,44.0,31.0,43.0,6.0,133.0,23.0,77.0,20.0,25.0,61.0,102.0,12.0,8.0,130.0,14.0,22.0,59.0
3644,0.0,1.0,5.0,4.0,7.0,49.0,2.0,96.0,13.0,10.0,99.0,8.0,6.0,58.0,84.0,26.0,77.0,55.0,65.0,615.0,11.0,3.0,23.0,175.0,85.0,14.0,78.0,12.0,73.0,17.0
3693,0.0,1.0,7.0,12.0,65.0,8.0,9.0,17.0,22.0,15.0,3.0,2.0,4.0,13.0,147.0,99.0,6.0,31.0,43.0,23.0,10.0,14.0,24.0,56.0,5.0,19.0,18.0,16.0,62.0,49.0
3742,0.0,3.0,2.0,1.0,38.0,5.0,14.0,298.0,34.0,19.0,11.0,7.0,8.0,16.0,78.0,33.0,9.0,25.0,100.0,13.0,26.0,24.0,17.0,394.0,23.0,22.0,258.0,31.0,6.0,4.0
3791,0.0,2.0,7.0,11.0,43.0,8.0,5.0,66.0,204.0,13.0,10.0,4.0,1.0,51.0,182.0,9.0,16.0,61.0,20.0,113.0,3.0,136.0,158.0,64.0,220.0,318.0,195.0,25.0,6.0,38.0
3840,0.0,1.0,6.0,4.0,10.0,3.0,27.0,22.0,61.0,12.0,14.0,11.0,2.0,35.0,8.0,53.0,64.0,16.0,118.0,19.0,9.0,59.0,155.0,144.0,38.0,48.0,43.0,7.0,13.0,26.0
3889,0.0,1.0,3.0,6.0,34.0,7.0,13.0,2.0,15.0,23.0,32.0,8.0,10.0,12.0,124.0,11.0,14.0,18.0,99.0,71.0,5.0,16.0,164.0,65.0,61.0,160.0,79.0,57.0,4.0,114.0
3938,0.0,2.0,85.0,5.0,13.0,4.0,12.0,1.0,7.0,11.0,35.0,29.0,44.0,18.0,16.0,9.0,8.0,14.0,60.0,161.0,55.0,86.0,254.0,25.0,212.0,102.0,39.0,423.0,84.0,157.0
3987,0.0,2.0,33.0,3.0,1.0,8.0,73.0,5.0,11.0,83.0,6.0,119.0,17.0,13.0,20.0,9.0,27.0,101.0,80.0,7.0,22.0,57.0,39.0,77.0,84.0,10.0,508.0,35.0,202.0,272.0
4036,0.0,1.0,4.0,2.0,50.0,3.0,5.0,14.0,33.0,41.0,42.0,101.0,8.0,120.0,73.0,9.0,65.0,156.0,48.0,58.0,163.0,34.0,146.0,64.0,84.0,29.0,26.0,433.0,21.0,7.0
4085,0.0,2.0,11.0,3.0,5.0,10.0,12.0,7.0,1.0,16.0,19.0,23.0,56.0,9.0,181.0,53.0,34.0,39.0,13.0,129.0,6.0,14.0,49.0,103.0,42.0,84.0,212.0,18.0,90.0,92.0
4134,0.0,1.0,13.0,7.0,3.0,36.0,6.0,15.0,10.0,26.0,33.0,5.0,9.0,2.0,41.0,4.0,71.0,12.0,64.0,28.0,30.0,8.0,18.0,242.0,50.0,51.0,27.0,69.0,173.0,124.0
4183,0.0,2.0,3.0,1.0,5.0,4.0,69.0,12.0,11.0,24.0,29.0,10.0,64.0,13.0,8.0,7.0,6.0,16.0,206.0,9.0,45.0,48.0,56.0,264.0,21.0,14.0,235.0,223.0,19.0,171.0
4232,0.0,1.0,18.0,3.0,10.0,22.0,49.0,12.0,2.0,111.0,40.0,7.0,8.0,13.0,21.0,4.0,43.0,19.0,114.0,41.0,27.0,44.0,35.0,14.0,5.0,101.0,282.0,26.0,60.0,366.0
4281,0.0,1.0,14.0,4.0,8.0,15.0,3.0,6.0,9.0,11.0,130.0,45.0,43.0,2.0,5.0,7.0,185.0,81.0,190.0,344.0,36.0,17.0,105.0,16.0,47.0,295.0,62.0,67.0,35.0,25.0
4330,0.0,1.0,7.0,36.0,2.0,3.0,59.0,4.0,5.0,12.0,14.0,10.0,67.0,22.0,15.0,20.0,27.0,77.0,32.0,53.0,26.0,21.0,34.0,9.0,47.0,6.0,437.0,141.0,178.0,8.0
4379,0.0,2.0,18.0,1.0,3.0,12.0,7.0,19.0,28.0,10.0,25.0,29.0,9.0,36.0,23.0,52.0,6.0,4.0,5.0,21.0,69.0,13.0,15.0,37.0,207.0,8.0,107.0,16.0,42.0,70.0
