,hsa-miR-190,hsa-miR-584,hsa-miR-1307,hsa-miR-142-5p,hsa-miR-548b-5p,hsa-miR-574-5p,hsa-miR-143,kshv-miR-K12-10a+kshv-miR-K12-10b,hsa-miR-1908,hsa-miR-384,hsa-miR-1976,ebv-miR-BART13,hsa-miR-1271,hsa-miR-548q,hsa-miR-606,hsa-miR-668,hsa-miR-1308,hsa-miR-1227,hsa-miR-423-3p,hsa-miR-567,hsa-miR-625,hsa-miR-628-5p,hsa-miR-562,hsa-miR-361-3p,hsa-miR-1291,hsa-miR-330-3p,hsa-miR-886-5p,ebv-miR-BART20-5p,hsa-miR-139-5p,hsv1-miR-H2-5p
995,2.0,22.0,57.0,11.0,0.0,62.0,26.0,6.0,14.0,83.0,16.0,21.0,17.0,86.0,8.0,46.0,1.0,23.0,52.0,3.0,33.0,66.0,10.0,78.0,5.0,84.0,4.0,28.0,88.0,7.0
1044,4.0,24.0,45.0,47.0,0.0,5.0,11.0,21.0,22.0,121.0,39.0,25.0,15.0,83.0,74.0,72.0,2.0,73.0,60.0,69.0,16.0,27.0,30.0,26.0,46.0,50.0,9.0,28.0,75.0,102.0
1093,4.0,8.0,9.0,2.0,12.0,3.0,0.0,41.0,1.0,31.0,61.0,68.0,11.0,189.0,49.0,121.0,112.0,7.0,53.0,6.0,14.0,74.0,40.0,72.0,26.0,37.0,10.0,24.0,182.0,62.0
1142,9.0,3.0,35.0,2.0,1.0,14.0,60.0,48.0,6.0,34.0,124.0,12.0,7.0,18.0,39.0,104.0,5.0,11.0,8.0,16.0,29.0,228.0,24.0,28.0,13.0,15.0,0.0,21.0,27.0,51.0
1191,4.0,22.0,2.0,11.0,16.0,18.0,34.0,21.0,3.0,9.0,10.0,25.0,0.0,109.0,24.0,15.0,1.0,6.0,28.0,67.0,14.0,59.0,26.0,70.0,39.0,35.0,55.0,13.0,42.0,62.0
1240,1.0,2.0,17.0,28.0,0.0,77.0,6.0,70.0,16.0,91.0,144.0,4.0,47.0,58.0,99.0,162.0,11.0,33.0,26.0,40.0,14.0,114.0,21.0,20.0,48.0,50.0,49.0,25.0,3.0,53.0
1289,14.0,19.0,16.0,3.0,0.0,5.0,10.0,56.0,31.0,22.0,17.0,34.0,27.0,37.0,99.0,94.0,32.0,4.0,11.0,13.0,29.0,12.0,1.0,24.0,46.0,78.0,2.0,9.0,23.0,39.0
1338,0.0,1.0,4.0,26.0,2.0,10.0,113.0,6.0,7.0,64.0,51.0,41.0,22.0,27.0,66.0,29.0,16.0,18.0,8.0,61.0,5.0,132.0,15.0,9.0,14.0,62.0,3.0,74.0,55.0,13.0
1387,0.0,4.0,1.0,7.0,17.0,2.0,36.0,37.0,3.0,115.0,26.0,28.0,18.0,260.0,8.0,49.0,24.0,35.0,40.0,64.0,20.0,76.0,16.0,42.0,11.0,120.0,12.0,111.0,31.0,177.0
1436,0.0,5.0,7.0,17.0,2.0,18.0,11.0,55.0,6.0,81.0,69.0,28.0,4.0,203.0,10.0,53.0,21.0,9.0,27.0,15.0,8.0,40.0,3.0,46.0,33.0,92.0,1.0,24.0,43.0,64.0
1485,0.0,2.0,1.0,10.0,5.0,16.0,12.0,20.0,6.0,4.0,13.0,19.0,78.0,11.0,15.0,86.0,125.0,8.0,38.0,3.0,39.0,14.0,36.0,45.0,18.0,134.0,101.0,24.0,17.0,68.0
1534,0.0,7.0,20.0,9.0,15.0,30.0,11.0,5.0,23.0,4.0,63.0,64.0,62.0,8.0,48.0,42.0,44.0,54.0,37.0,2.0,3.0,67.0,69.0,18.0,39.0,118.0,27.0,110.0,12.0,209.0
1583,12.0,1.0,7.0,0.0,63.0,9.0,21.0,41.0,74.0,13.0,44.0,40.0,91.0,2.0,18.0,154.0,113.0,19.0,147.0,79.0,49.0,23.0,42.0,35.0,101.0,119.0,82.0,48.0,17.0,137.0
1632,2.0,0.0,4.0,5.0,25.0,30.0,10.0,22.0,8.0,3.0,31.0,90.0,61.0,62.0,9.0,79.0,43.0,6.0,19.0,1.0,13.0,24.0,45.0,36.0,14.0,135.0,252.0,21.0,68.0,82.0
1681,2.0,1.0,5.0,4.0,54.0,31.0,13.0,28.0,19.0,6.0,120.0,14.0,73.0,18.0,49.0,27.0,273.0,0.0,105.0,8.0,146.0,10.0,40.0,75.0,65.0,81.0,16.0,11.0,90.0,62.0
1730,0.0,1.0,13.0,14.0,31.0,4.0,34.0,6.0,8.0,2.0,7.0,53.0,73.0,3.0,23.0,15.0,16.0,12.0,19.0,20.0,9.0,25.0,44.0,67.0,68.0,115.0,47.0,86.0,77.0,175.0
1779,3.0,5.0,16.0,49.0,0.0,12.0,2.0,28.0,140.0,13.0,71.0,69.0,36.0,6.0,73.0,81.0,58.0,139.0,97.0,104.0,86.0,1.0,47.0,38.0,20.0,30.0,163.0,17.0,8.0,101.0
1828,0.0,15.0,1.0,55.0,179.0,25.0,36.0,12.0,9.0,2.0,45.0,27.0,22.0,109.0,13.0,3.0,82.0,40.0,20.0,4.0,8.0,16.0,5.0,52.0,28.0,128.0,121.0,7.0,33.0,181.0
1877,1.0,4.0,0.0,5.0,38.0,45.0,2.0,64.0,58.0,6.0,24.0,25.0,21.0,23.0,117.0,40.0,132.0,10.0,17.0,8.0,16.0,13.0,7.0,71.0,70.0,84.0,81.0,35.0,31.0,136.0
