,IFI27,PRICKLE1,SULF2,PREX2,PLAGL1,GSTT1,CALB1,RP11-98I9.4,KCNK1,PTPN13,PRTFDC1,IQCA1,ZNF69,SYTL1,KRT6A,KCTD14,AC016683.6,MBOAT1,RP11-390F4.3,LAMB3,FRYL,MFAP5,EMID1,S100A2,RP11-73M18.7,RP11-259P15.1,ZNF334,RP11-477N3.1,DZIP1,FAM83A
3930,0.0,1.0,4.0,36.0,8.0,2.0,5.0,3.0,17.0,11.0,25.0,19.0,34.0,96.0,64.0,27.0,24.0,92.0,77.0,39.0,29.0,21.0,56.0,115.0,199.0,42.0,62.0,15.0,177.0,30.0
3979,1.0,2.0,181.0,6.0,0.0,8.0,14.0,48.0,11.0,19.0,7.0,164.0,36.0,33.0,31.0,98.0,4.0,100.0,34.0,46.0,15.0,18.0,111.0,41.0,120.0,17.0,446.0,13.0,444.0,12.0
4028,1.0,2.0,8.0,6.0,0.0,4.0,3.0,20.0,7.0,15.0,14.0,5.0,23.0,40.0,28.0,86.0,26.0,284.0,54.0,91.0,49.0,27.0,12.0,150.0,436.0,13.0,95.0,129.0,82.0,11.0
4077,0.0,5.0,59.0,10.0,6.0,178.0,52.0,13.0,4.0,48.0,250.0,18.0,287.0,3.0,88.0,96.0,26.0,17.0,32.0,9.0,22.0,147.0,11.0,21.0,169.0,111.0,67.0,2.0,50.0,16.0
4126,0.0,4.0,55.0,2.0,6.0,11.0,36.0,3.0,65.0,48.0,22.0,7.0,49.0,141.0,44.0,25.0,1.0,101.0,9.0,82.0,10.0,42.0,72.0,89.0,290.0,13.0,294.0,14.0,94.0,207.0
4175,0.0,2.0,8.0,1.0,3.0,29.0,83.0,4.0,21.0,82.0,73.0,7.0,78.0,5.0,9.0,63.0,49.0,408.0,20.0,84.0,14.0,22.0,25.0,16.0,38.0,66.0,31.0,75.0,434.0,115.0
4224,1.0,4.0,2.0,10.0,15.0,0.0,36.0,6.0,13.0,27.0,17.0,14.0,66.0,26.0,92.0,248.0,12.0,540.0,9.0,99.0,105.0,34.0,75.0,200.0,260.0,46.0,80.0,18.0,60.0,11.0
4273,1.0,3.0,0.0,9.0,2.0,7.0,11.0,17.0,15.0,38.0,493.0,57.0,43.0,14.0,28.0,25.0,5.0,114.0,22.0,110.0,10.0,32.0,18.0,34.0,337.0,8.0,140.0,20.0,163.0,4.0
4322,2.0,1.0,8.0,3.0,17.0,0.0,5.0,9.0,10.0,53.0,67.0,22.0,121.0,41.0,13.0,23.0,4.0,99.0,28.0,73.0,12.0,19.0,54.0,16.0,138.0,15.0,104.0,33.0,47.0,14.0
4371,0.0,3.0,4.0,2.0,6.0,1.0,9.0,14.0,11.0,40.0,13.0,15.0,273.0,53.0,33.0,21.0,206.0,30.0,8.0,50.0,25.0,20.0,7.0,27.0,160.0,63.0,120.0,65.0,70.0,312.0
4420,3.0,7.0,22.0,6.0,1.0,0.0,5.0,4.0,17.0,38.0,14.0,27.0,16.0,32.0,64.0,2.0,91.0,13.0,12.0,59.0,51.0,30.0,49.0,216.0,15.0,11.0,19.0,34.0,63.0,161.0
4469,0.0,68.0,284.0,13.0,3.0,1.0,7.0,9.0,38.0,87.0,12.0,15.0,8.0,26.0,19.0,2.0,39.0,29.0,4.0,60.0,27.0,10.0,61.0,229.0,36.0,22.0,25.0,195.0,59.0,134.0
4518,2.0,9.0,4.0,6.0,3.0,0.0,11.0,12.0,10.0,236.0,39.0,1.0,7.0,27.0,18.0,16.0,26.0,86.0,14.0,119.0,40.0,23.0,160.0,183.0,60.0,5.0,8.0,74.0,85.0,78.0
4567,11.0,8.0,5.0,6.0,0.0,1.0,2.0,4.0,31.0,10.0,45.0,48.0,19.0,33.0,25.0,12.0,68.0,42.0,21.0,142.0,15.0,9.0,219.0,79.0,23.0,3.0,32.0,24.0,291.0,141.0
4616,6.0,22.0,3.0,4.0,2.0,0.0,5.0,9.0,12.0,116.0,14.0,17.0,68.0,26.0,85.0,1.0,11.0,30.0,7.0,48.0,28.0,36.0,103.0,213.0,21.0,23.0,29.0,142.0,221.0,198.0
4665,3.0,20.0,7.0,0.0,5.0,2.0,8.0,18.0,11.0,137.0,35.0,17.0,19.0,15.0,37.0,6.0,63.0,33.0,31.0,50.0,62.0,10.0,34.0,143.0,82.0,1.0,4.0,121.0,9.0,29.0
4714,10.0,15.0,16.0,3.0,1.0,0.0,4.0,6.0,30.0,65.0,14.0,2.0,21.0,29.0,51.0,7.0,49.0,46.0,9.0,191.0,43.0,12.0,322.0,38.0,5.0,20.0,8.0,13.0,153.0,103.0
4763,7.0,22.0,3.0,6.0,1.0,0.0,5.0,17.0,57.0,26.0,8.0,24.0,2.0,35.0,21.0,4.0,10.0,20.0,9.0,44.0,80.0,12.0,11.0,816.0,16.0,60.0,37.0,138.0,359.0,66.0
4812,6.0,11.0,7.0,1.0,5.0,0.0,4.0,12.0,13.0,32.0,15.0,9.0,26.0,37.0,36.0,2.0,378.0,31.0,8.0,19.0,66.0,29.0,282.0,30.0,28.0,39.0,27.0,18.0,154.0,1517.0
4861,2.0,13.0,20.0,4.0,1.0,0.0,5.0,22.0,23.0,59.0,3.0,10.0,12.0,37.0,90.0,6.0,75.0,51.0,14.0,24.0,62.0,7.0,58.0,56.0,25.0,17.0,9.0,15.0,188.0,36.0
