,ZBTB20_AMP,LOC340357_DEL,BRAF_MUT,SFMBT1_AMP,CFHR3_AMP,GBP3_DEL,NRAS_MUT,NSF_AMP,KIAA1217_DEL,SLC25A37_DEL,CFHR1_AMP,SIRPB1_AMP,ATM_MUT,GSTTP1_DEL,TXNRD1_DEL,EID3_DEL,OR51A2_DEL,GSTT1_AMP,LOC391322_AMP,LOC100506776_DEL,DOCK10_AMP,TTTY22_DEL,TPTE_DEL,IRF8_DEL,NRG3_DEL,KRT16P2_DEL,LRRC37A2_AMP,MYH11_MUT,NSFP1_AMP,DDT_DEL
1893,0.0,33.0,5.0,7.0,147.0,1.0,4.0,28.0,21.0,14.0,58.0,43.0,8.0,42.0,96.0,95.0,131.0,823.0,824.0,40.0,30.0,49.0,17.0,16.0,36.0,429.0,68.0,29.0,99.0,85.0
1942,1.0,41.0,0.0,31.0,7.0,2.0,15.0,14.0,20.0,16.0,8.0,3.0,25.0,13.0,81.0,82.0,121.0,1357.0,1358.0,5.0,85.0,6.0,36.0,32.0,94.0,407.0,34.0,126.0,37.0,61.0
1991,2.0,4.0,6.0,13.0,16.0,11.0,12.0,3.0,1.0,55.0,5.0,0.0,22.0,138.0,39.0,40.0,1276.0,9.0,10.0,36.0,96.0,459.0,158.0,71.0,15.0,34.0,18.0,236.0,17.0,49.0
2040,24.0,7.0,13.0,14.0,507.0,20.0,26.0,27.0,18.0,3.0,524.0,51.0,56.0,45.0,5.0,6.0,35.0,0.0,1.0,22.0,250.0,88.0,25.0,53.0,42.0,99.0,46.0,325.0,54.0,62.0
2089,9.0,10.0,15.0,14.0,36.0,2.0,12.0,0.0,6.0,21.0,22.0,18.0,384.0,42.0,8.0,7.0,5.0,25.0,26.0,92.0,38.0,55.0,62.0,83.0,19.0,84.0,3.0,72.0,4.0,23.0
2138,17.0,14.0,0.0,1.0,62.0,16.0,28.0,2.0,24.0,44.0,54.0,3.0,29.0,243.0,4.0,5.0,468.0,37.0,38.0,217.0,20.0,69.0,6.0,30.0,27.0,13.0,8.0,49.0,10.0,48.0
2187,2.0,1.0,9.0,35.0,10.0,36.0,33.0,3.0,0.0,13.0,19.0,22.0,26.0,11.0,5.0,4.0,68.0,7.0,8.0,58.0,23.0,29.0,67.0,28.0,149.0,175.0,14.0,55.0,17.0,21.0
2236,0.0,16.0,1.0,4.0,132.0,8.0,44.0,68.0,2.0,12.0,94.0,31.0,32.0,33.0,10.0,9.0,124.0,7.0,6.0,71.0,45.0,119.0,11.0,25.0,27.0,46.0,150.0,130.0,171.0,51.0
2285,0.0,9.0,2.0,15.0,64.0,16.0,4.0,8.0,17.0,30.0,26.0,18.0,53.0,1208.0,7.0,6.0,63.0,11.0,12.0,41.0,109.0,55.0,48.0,25.0,5.0,71.0,19.0,127.0,22.0,123.0
2334,0.0,6.0,2.0,28.0,129.0,78.0,8.0,3.0,9.0,59.0,156.0,7.0,16.0,53.0,39.0,40.0,41.0,26.0,27.0,64.0,32.0,21.0,11.0,33.0,1.0,198.0,15.0,264.0,17.0,76.0
