,hsa-miR-584,hsa-miR-921,hsa-miR-137,hsa-miR-155,hsa-miR-105,hsa-miR-330-3p,hsa-miR-642,hsa-miR-1293,hsa-miR-223,hsa-miR-491-3p,hsa-miR-1321,hsa-miR-142-5p,hsa-miR-1245,hsa-miR-448,hsa-miR-934,hsa-miR-103,hsa-miR-541,hsa-miR-888,hsa-miR-556-3p,hsa-miR-630,hsa-miR-601,hsa-miR-762,hsa-miR-301b,hsa-miR-148b,hsa-miR-924,hsa-miR-181c,hsa-miR-1226,hsa-miR-383,kshv-miR-K12-2,hsa-miR-143
996,0.0,1.0,2.0,7.0,10.0,24.0,46.0,32.0,9.0,56.0,31.0,19.0,26.0,38.0,5.0,23.0,3.0,8.0,16.0,14.0,18.0,43.0,49.0,30.0,17.0,81.0,34.0,87.0,6.0,13.0
1045,0.0,1.0,4.0,12.0,3.0,10.0,13.0,39.0,16.0,20.0,9.0,2.0,5.0,43.0,25.0,7.0,6.0,11.0,18.0,56.0,27.0,33.0,47.0,14.0,17.0,40.0,31.0,77.0,21.0,29.0
1094,0.0,2.0,1.0,6.0,17.0,8.0,24.0,23.0,4.0,22.0,10.0,20.0,11.0,3.0,12.0,7.0,26.0,13.0,18.0,16.0,5.0,50.0,106.0,30.0,87.0,33.0,19.0,43.0,51.0,54.0
1143,1.0,0.0,21.0,19.0,3.0,37.0,9.0,17.0,14.0,147.0,67.0,12.0,10.0,25.0,113.0,13.0,6.0,33.0,4.0,11.0,29.0,26.0,85.0,79.0,20.0,24.0,18.0,53.0,2.0,40.0
1192,0.0,1.0,11.0,14.0,25.0,41.0,10.0,20.0,35.0,16.0,27.0,44.0,3.0,2.0,5.0,50.0,4.0,48.0,34.0,13.0,7.0,9.0,68.0,26.0,150.0,17.0,22.0,127.0,15.0,92.0
1241,0.0,1.0,5.0,13.0,12.0,49.0,40.0,8.0,23.0,26.0,29.0,4.0,2.0,22.0,7.0,16.0,6.0,10.0,21.0,45.0,3.0,55.0,51.0,39.0,52.0,9.0,31.0,28.0,15.0,33.0
1290,0.0,2.0,1.0,12.0,20.0,38.0,48.0,3.0,9.0,80.0,15.0,8.0,14.0,49.0,4.0,16.0,10.0,55.0,11.0,24.0,7.0,75.0,27.0,30.0,47.0,28.0,46.0,58.0,5.0,65.0
1339,0.0,1.0,2.0,4.0,12.0,22.0,8.0,15.0,18.0,17.0,7.0,57.0,3.0,10.0,5.0,43.0,6.0,45.0,14.0,21.0,19.0,11.0,104.0,39.0,41.0,52.0,66.0,78.0,16.0,26.0
1388,2.0,3.0,0.0,5.0,1.0,14.0,41.0,49.0,6.0,32.0,40.0,8.0,11.0,9.0,62.0,12.0,13.0,109.0,4.0,31.0,10.0,19.0,76.0,124.0,34.0,33.0,61.0,83.0,7.0,15.0
1437,0.0,3.0,2.0,7.0,9.0,15.0,60.0,6.0,33.0,12.0,1.0,17.0,23.0,5.0,8.0,28.0,4.0,18.0,19.0,24.0,41.0,44.0,29.0,45.0,13.0,32.0,132.0,68.0,10.0,26.0
1486,2.0,5.0,35.0,3.0,0.0,7.0,25.0,100.0,30.0,1.0,8.0,15.0,39.0,40.0,22.0,32.0,51.0,47.0,6.0,17.0,70.0,11.0,57.0,12.0,64.0,13.0,53.0,29.0,107.0,45.0
1535,0.0,15.0,16.0,2.0,5.0,10.0,3.0,27.0,23.0,13.0,14.0,99.0,4.0,1.0,36.0,9.0,20.0,70.0,19.0,17.0,18.0,6.0,58.0,35.0,11.0,22.0,7.0,37.0,120.0,28.0
1584,0.0,4.0,21.0,22.0,2.0,9.0,47.0,23.0,28.0,10.0,7.0,16.0,43.0,3.0,8.0,42.0,19.0,128.0,1.0,6.0,25.0,12.0,49.0,13.0,18.0,35.0,88.0,11.0,39.0,44.0
1633,0.0,3.0,2.0,10.0,4.0,34.0,12.0,8.0,19.0,121.0,1.0,37.0,29.0,18.0,25.0,5.0,23.0,150.0,15.0,13.0,26.0,59.0,45.0,17.0,65.0,24.0,42.0,7.0,31.0,275.0
1682,0.0,1.0,7.0,3.0,2.0,9.0,29.0,32.0,55.0,11.0,4.0,42.0,43.0,6.0,14.0,24.0,64.0,47.0,5.0,8.0,26.0,12.0,16.0,27.0,35.0,39.0,68.0,13.0,62.0,36.0
1731,1.0,0.0,13.0,9.0,5.0,8.0,40.0,72.0,20.0,42.0,2.0,38.0,12.0,3.0,31.0,83.0,17.0,52.0,16.0,19.0,55.0,24.0,34.0,4.0,30.0,44.0,6.0,32.0,43.0,11.0
1780,2.0,1.0,14.0,9.0,0.0,6.0,34.0,24.0,15.0,11.0,3.0,28.0,37.0,29.0,105.0,21.0,54.0,30.0,18.0,12.0,106.0,22.0,58.0,20.0,35.0,4.0,13.0,25.0,163.0,40.0
1829,1.0,3.0,14.0,5.0,0.0,4.0,10.0,170.0,13.0,24.0,9.0,12.0,29.0,63.0,21.0,27.0,51.0,115.0,11.0,19.0,2.0,7.0,39.0,34.0,6.0,28.0,37.0,15.0,66.0,26.0
1878,1.0,19.0,9.0,2.0,0.0,40.0,39.0,61.0,26.0,12.0,37.0,11.0,48.0,16.0,10.0,7.0,82.0,4.0,46.0,3.0,36.0,6.0,21.0,17.0,28.0,18.0,33.0,8.0,125.0,55.0
1927,0.0,1.0,22.0,5.0,2.0,8.0,6.0,144.0,16.0,38.0,17.0,130.0,101.0,25.0,24.0,29.0,7.0,15.0,4.0,9.0,20.0,12.0,89.0,27.0,32.0,18.0,14.0,21.0,171.0,60.0
1976,0.0,7.0,5.0,31.0,4.0,6.0,11.0,45.0,8.0,16.0,15.0,13.0,2.0,9.0,22.0,35.0,32.0,12.0,21.0,54.0,3.0,27.0,25.0,10.0,17.0,89.0,18.0,61.0,46.0,69.0
2025,0.0,1.0,97.0,7.0,15.0,9.0,25.0,8.0,5.0,54.0,17.0,21.0,2.0,16.0,18.0,53.0,10.0,27.0,20.0,30.0,13.0,6.0,31.0,52.0,19.0,94.0,11.0,34.0,14.0,22.0
2074,0.0,3.0,32.0,6.0,26.0,1.0,4.0,2.0,7.0,50.0,31.0,28.0,35.0,13.0,11.0,49.0,54.0,14.0,16.0,167.0,51.0,30.0,23.0,86.0,9.0,33.0,85.0,60.0,22.0,48.0
2123,0.0,4.0,30.0,12.0,18.0,9.0,54.0,1.0,32.0,63.0,21.0,19.0,5.0,3.0,14.0,41.0,27.0,10.0,6.0,77.0,43.0,38.0,39.0,20.0,7.0,67.0,31.0,52.0,8.0,88.0
2172,1.0,0.0,27.0,50.0,3.0,2.0,6.0,5.0,13.0,21.0,33.0,7.0,14.0,9.0,17.0,52.0,11.0,10.0,15.0,37.0,19.0,16.0,47.0,93.0,26.0,35.0,12.0,32.0,4.0,22.0
2221,1.0,9.0,4.0,10.0,0.0,2.0,26.0,29.0,39.0,41.0,37.0,6.0,5.0,14.0,8.0,23.0,48.0,15.0,34.0,21.0,3.0,7.0,28.0,139.0,11.0,33.0,19.0,38.0,17.0,45.0
2270,2.0,0.0,1.0,11.0,3.0,5.0,15.0,43.0,10.0,7.0,30.0,63.0,4.0,8.0,6.0,118.0,17.0,22.0,9.0,55.0,19.0,21.0,32.0,27.0,37.0,35.0,28.0,82.0,20.0,38.0
2319,0.0,3.0,17.0,30.0,6.0,1.0,7.0,14.0,26.0,12.0,52.0,4.0,13.0,10.0,20.0,79.0,24.0,19.0,16.0,50.0,25.0,9.0,93.0,59.0,8.0,44.0,22.0,34.0,2.0,53.0
2368,0.0,2.0,1.0,8.0,3.0,5.0,17.0,15.0,13.0,35.0,28.0,22.0,14.0,38.0,75.0,39.0,60.0,20.0,66.0,43.0,16.0,4.0,21.0,54.0,12.0,40.0,11.0,65.0,10.0,42.0
2417,0.0,2.0,20.0,8.0,7.0,16.0,3.0,4.0,6.0,24.0,28.0,21.0,18.0,11.0,9.0,15.0,1.0,35.0,37.0,168.0,19.0,13.0,36.0,85.0,32.0,26.0,22.0,67.0,38.0,49.0
2466,0.0,17.0,48.0,5.0,3.0,2.0,11.0,7.0,1.0,4.0,88.0,27.0,13.0,32.0,24.0,39.0,9.0,6.0,89.0,25.0,16.0,12.0,15.0,41.0,18.0,50.0,37.0,29.0,104.0,14.0
2515,0.0,5.0,11.0,2.0,7.0,8.0,77.0,20.0,6.0,9.0,12.0,28.0,19.0,4.0,23.0,3.0,1.0,15.0,17.0,24.0,10.0,13.0,35.0,80.0,25.0,72.0,74.0,54.0,52.0,21.0
2564,0.0,4.0,17.0,9.0,16.0,1.0,87.0,12.0,5.0,13.0,58.0,10.0,33.0,25.0,52.0,32.0,2.0,3.0,95.0,31.0,22.0,14.0,21.0,7.0,15.0,101.0,78.0,42.0,63.0,19.0
2613,0.0,14.0,35.0,4.0,1.0,2.0,45.0,3.0,6.0,22.0,60.0,9.0,78.0,33.0,34.0,13.0,27.0,21.0,65.0,31.0,47.0,20.0,19.0,17.0,5.0,37.0,53.0,29.0,61.0,39.0
2662,0.0,2.0,10.0,1.0,14.0,54.0,37.0,9.0,7.0,6.0,16.0,19.0,44.0,27.0,147.0,11.0,40.0,3.0,45.0,5.0,23.0,20.0,25.0,28.0,12.0,57.0,38.0,35.0,50.0,64.0
2711,0.0,20.0,29.0,2.0,7.0,13.0,31.0,19.0,21.0,9.0,96.0,4.0,11.0,5.0,33.0,18.0,32.0,8.0,66.0,3.0,22.0,45.0,14.0,27.0,1.0,122.0,67.0,50.0,59.0,37.0
