,OR2T2_AMP,WNK1_MUT,PRB1_AMP,ESPNP_DEL,RNF103-CHMP3_DEL,OR4F21_DEL,GALNT13_DEL,OBSCN_MUT,POU5F1B_AMP,CNTNAP3B_AMP,NBPF4_DEL,OR2T35_AMP,GSTT1_AMP,EP300_MUT,UNC13C_DEL,CFHR3_AMP,CNTN5_DEL,BRAF_MUT,TP53_MUT,EYS_DEL,RPTOR_AMP,UGT2B28_DEL,LINC00221_AMP,CFHR1_AMP,IL1RAPL1_DEL,KCNIP4_AMP,DOCK10_AMP,ARHGAP22_DEL,SIGLEC14_DEL,PKHD1_MUT
3561,13724.0,66.0,60.0,3.0,71.0,52.0,3995.0,70.0,22274.0,84.0,3853.0,17.0,53.0,14.0,2354.0,104.0,10418.0,38.0,141.0,102.0,64.0,163.0,14484.0,81.0,4164.0,19175.0,25.0,12107.0,18677.0,16513.0
3610,22.0,98.0,48.0,26.0,151.0,51.0,4002.0,119.0,22329.0,123.0,3827.0,35.0,20.0,60.0,2367.0,27.0,10423.0,63.0,186.0,149.0,153.0,183.0,4.0,111.0,142.0,145.0,21423.0,40.0,162.0,16515.0
3659,38.0,40.0,27.0,1329.0,82.0,61.0,3987.0,69.0,90.0,22740.0,3812.0,11.0,175.0,74.0,2314.0,196.0,10405.0,165.0,60.0,67.0,117.0,9352.0,14465.0,77.0,4167.0,133.0,51.0,96.0,4.0,160.0
3708,102.0,16534.0,19.0,1352.0,51.0,36.0,79.0,109.0,22338.0,89.0,33.0,13718.0,90.0,16209.0,2333.0,108.0,119.0,16567.0,112.0,85.0,96.0,57.0,25.0,131.0,116.0,130.0,98.0,122.0,18685.0,88.0
3757,13725.0,16549.0,82.0,1327.0,38.0,18.0,3986.0,55.0,24.0,20.0,3832.0,13732.0,115.0,16207.0,2332.0,91.0,50.0,81.0,166.0,94.0,21507.0,174.0,14484.0,75.0,4167.0,124.0,37.0,40.0,150.0,16509.0
3806,13721.0,16534.0,9.0,2.0,126.0,23.0,3981.0,69.0,6.0,22737.0,44.0,12.0,81.0,37.0,2328.0,100.0,31.0,41.0,117.0,91.0,58.0,152.0,14505.0,190.0,84.0,19175.0,71.0,39.0,18679.0,16514.0
3855,13734.0,83.0,75.0,1373.0,25.0,34.0,3999.0,129.0,45.0,22741.0,63.0,13721.0,72.0,16210.0,2360.0,143.0,86.0,22.0,120.0,99.0,54.0,74.0,14472.0,71.0,4181.0,207.0,17.0,12111.0,92.0,121.0
3904,34.0,95.0,58.0,62.0,63.0,47.0,32.0,35.0,18.0,22734.0,7.0,13733.0,38.0,152.0,2359.0,64.0,10418.0,16569.0,61.0,0.0,68.0,106.0,137.0,118.0,4169.0,103.0,46.0,12115.0,94.0,116.0
3953,43.0,139.0,66.0,17.0,122.0,103.0,40.0,46.0,73.0,22742.0,70.0,13723.0,161.0,16213.0,2350.0,222.0,26.0,16572.0,98.0,77.0,143.0,49.0,14470.0,120.0,4183.0,94.0,176.0,12110.0,107.0,173.0
4002,18.0,16535.0,12.0,38.0,20874.0,41.0,73.0,96.0,61.0,81.0,72.0,13734.0,65.0,112.0,71.0,18025.0,55.0,24.0,50.0,68.0,60.0,109.0,14486.0,215.0,4048.0,84.0,170.0,12100.0,89.0,165.0
