,hsa-miR-30e,hsa-miR-205,hsa-miR-216a,hsa-miR-28-3p,hsa-miR-9,hsa-miR-1975,hsa-miR-486-3p,hsa-miR-329,hsa-miR-200a,hsa-miR-604,hsa-miR-1261,hsa-miR-148a,hsa-miR-302b,hsa-miR-512-3p,hsa-miR-938,hcmv-miR-UL148D,hsa-miR-503,hsa-miR-99a,hsa-miR-507,hsa-miR-1245,hsa-miR-609,hsa-miR-383,hsa-miR-558,hsa-miR-518d-3p,hsa-miR-671-3p,hsa-miR-1180,hsa-miR-520a-5p,hsa-miR-30c,hsa-miR-934,hsa-miR-631
3890,67.0,23.0,10.0,29.0,13.0,86.0,122.0,48.0,483.0,55.0,5.0,364.0,89.0,15.0,75.0,6.0,26.0,98.0,33.0,53.0,71.0,63.0,114.0,91.0,80.0,448.0,97.0,620.0,289.0,21.0
3939,14.0,23.0,13.0,21.0,76.0,399.0,37.0,28.0,0.0,49.0,483.0,367.0,67.0,44.0,58.0,32.0,38.0,111.0,552.0,113.0,119.0,50.0,102.0,66.0,129.0,128.0,20.0,88.0,16.0,74.0
3988,3.0,8.0,13.0,43.0,52.0,31.0,39.0,26.0,409.0,76.0,494.0,132.0,571.0,557.0,86.0,282.0,143.0,61.0,531.0,104.0,123.0,118.0,74.0,153.0,146.0,22.0,55.0,568.0,299.0,69.0
4037,7.0,8.0,19.0,43.0,62.0,49.0,503.0,76.0,399.0,47.0,485.0,111.0,140.0,10.0,139.0,294.0,63.0,105.0,81.0,90.0,80.0,526.0,107.0,106.0,115.0,451.0,101.0,9.0,147.0,54.0
4086,5.0,25.0,14.0,105.0,34.0,47.0,104.0,108.0,36.0,124.0,487.0,368.0,116.0,62.0,261.0,267.0,107.0,98.0,120.0,432.0,68.0,525.0,43.0,139.0,52.0,90.0,8.0,45.0,92.0,24.0
4135,8.0,21.0,20.0,26.0,39.0,49.0,42.0,85.0,125.0,98.0,485.0,111.0,595.0,45.0,137.0,15.0,48.0,67.0,70.0,465.0,80.0,527.0,100.0,103.0,130.0,450.0,544.0,598.0,81.0,59.0
4184,1.0,3.0,21.0,75.0,55.0,65.0,100.0,74.0,408.0,33.0,495.0,114.0,47.0,95.0,72.0,242.0,34.0,84.0,160.0,70.0,132.0,526.0,93.0,77.0,133.0,79.0,39.0,31.0,110.0,122.0
4233,15.0,5.0,24.0,38.0,59.0,14.0,55.0,64.0,142.0,205.0,493.0,375.0,568.0,122.0,57.0,9.0,137.0,161.0,501.0,112.0,83.0,75.0,119.0,70.0,136.0,128.0,0.0,97.0,104.0,114.0
4282,33.0,8.0,32.0,91.0,39.0,3.0,109.0,58.0,69.0,72.0,488.0,98.0,595.0,90.0,120.0,40.0,114.0,94.0,126.0,461.0,115.0,61.0,95.0,97.0,154.0,451.0,59.0,598.0,131.0,75.0
4331,7.0,15.0,12.0,26.0,52.0,410.0,67.0,45.0,11.0,180.0,493.0,93.0,6.0,44.0,71.0,286.0,17.0,59.0,88.0,48.0,172.0,95.0,119.0,140.0,29.0,128.0,77.0,595.0,125.0,90.0
