,C22:6 LPE,C16:0 LPE,cis/trans-hydroxyproline,alpha-glycerophosphate,uracil,C22:6 LPC,asparagine,hexoses (HILIC neg),leucine,1-methylnicotinamide,glutamine,C34:4 PC,inositol,pantothenate,2-deoxyadenosine,uridine,taurodeoxycholate,C36:1 DAG,niacinamide,oxalate,pyroglutamic acid,dCMP,valerylcarnitine,N-carbamoyl-beta-alanine,beta-alanine,DHAP/glyceraldehyde 3P,GABA,serotonin,alpha-glycerophosphocholine,inosine
3647,9.0,1.0,4.0,0.0,2.0,11.0,8.0,14.0,41.0,30.0,5.0,10.0,3.0,25.0,15.0,62.0,6.0,7.0,19.0,24.0,51.0,23.0,26.0,21.0,16.0,42.0,47.0,40.0,43.0,29.0
3696,4.0,0.0,2.0,16.0,3.0,10.0,13.0,9.0,21.0,37.0,5.0,14.0,7.0,25.0,1.0,31.0,15.0,11.0,6.0,20.0,22.0,48.0,12.0,53.0,43.0,42.0,19.0,23.0,36.0,18.0
3745,0.0,11.0,13.0,3.0,2.0,1.0,6.0,4.0,15.0,12.0,14.0,10.0,9.0,30.0,5.0,60.0,29.0,21.0,7.0,40.0,8.0,45.0,18.0,20.0,19.0,27.0,36.0,28.0,54.0,48.0
3794,2.0,3.0,1.0,0.0,26.0,23.0,22.0,19.0,13.0,8.0,35.0,15.0,4.0,16.0,37.0,9.0,25.0,18.0,12.0,45.0,28.0,60.0,7.0,52.0,44.0,11.0,33.0,5.0,48.0,42.0
3843,1.0,2.0,0.0,3.0,18.0,5.0,8.0,10.0,15.0,19.0,20.0,6.0,9.0,33.0,43.0,48.0,11.0,14.0,4.0,61.0,30.0,23.0,40.0,16.0,21.0,41.0,22.0,12.0,54.0,26.0
3892,4.0,0.0,2.0,1.0,9.0,7.0,3.0,5.0,34.0,12.0,6.0,11.0,19.0,10.0,8.0,44.0,21.0,28.0,59.0,51.0,40.0,23.0,47.0,17.0,20.0,15.0,16.0,24.0,45.0,46.0
3941,8.0,0.0,1.0,7.0,3.0,2.0,5.0,19.0,10.0,55.0,6.0,4.0,45.0,39.0,21.0,11.0,33.0,24.0,28.0,25.0,12.0,9.0,16.0,36.0,61.0,14.0,56.0,47.0,34.0,38.0
3990,5.0,1.0,4.0,7.0,0.0,2.0,3.0,12.0,28.0,30.0,14.0,8.0,53.0,13.0,10.0,20.0,22.0,57.0,62.0,11.0,26.0,31.0,23.0,38.0,33.0,39.0,44.0,24.0,25.0,15.0
4039,34.0,3.0,8.0,4.0,1.0,2.0,12.0,33.0,5.0,0.0,9.0,26.0,30.0,18.0,7.0,13.0,22.0,36.0,38.0,11.0,54.0,6.0,29.0,47.0,27.0,28.0,10.0,31.0,49.0,16.0
4088,37.0,2.0,5.0,3.0,1.0,17.0,9.0,7.0,10.0,8.0,0.0,4.0,38.0,36.0,42.0,20.0,41.0,14.0,30.0,63.0,24.0,23.0,19.0,58.0,64.0,28.0,22.0,13.0,29.0,6.0
4137,26.0,1.0,18.0,2.0,5.0,11.0,9.0,49.0,8.0,0.0,6.0,16.0,30.0,7.0,3.0,4.0,41.0,53.0,50.0,10.0,60.0,14.0,34.0,64.0,42.0,19.0,29.0,46.0,33.0,13.0
4186,3.0,1.0,10.0,2.0,7.0,5.0,16.0,18.0,15.0,0.0,13.0,4.0,14.0,9.0,47.0,6.0,30.0,20.0,31.0,17.0,27.0,12.0,26.0,32.0,51.0,8.0,40.0,50.0,56.0,33.0
4235,6.0,7.0,14.0,2.0,4.0,0.0,8.0,13.0,12.0,24.0,27.0,39.0,11.0,42.0,3.0,1.0,10.0,21.0,40.0,53.0,35.0,20.0,5.0,19.0,32.0,44.0,31.0,41.0,23.0,16.0
4284,6.0,5.0,1.0,8.0,2.0,3.0,0.0,17.0,24.0,23.0,7.0,13.0,30.0,20.0,4.0,9.0,29.0,42.0,41.0,32.0,49.0,11.0,12.0,14.0,60.0,50.0,27.0,22.0,35.0,25.0
4333,5.0,10.0,11.0,8.0,3.0,6.0,2.0,0.0,7.0,4.0,1.0,13.0,41.0,44.0,15.0,9.0,33.0,26.0,25.0,30.0,49.0,35.0,18.0,32.0,62.0,37.0,14.0,55.0,19.0,23.0
4382,2.0,0.0,17.0,20.0,8.0,1.0,6.0,22.0,11.0,4.0,12.0,3.0,27.0,25.0,9.0,10.0,5.0,15.0,49.0,43.0,66.0,13.0,19.0,30.0,59.0,21.0,35.0,58.0,18.0,14.0
4431,4.0,1.0,0.0,3.0,2.0,7.0,8.0,24.0,10.0,6.0,27.0,11.0,5.0,13.0,58.0,30.0,15.0,29.0,18.0,12.0,21.0,35.0,17.0,33.0,23.0,62.0,28.0,61.0,16.0,36.0
4480,3.0,15.0,4.0,13.0,1.0,16.0,0.0,6.0,12.0,8.0,11.0,14.0,5.0,50.0,21.0,29.0,19.0,35.0,34.0,7.0,36.0,2.0,9.0,56.0,39.0,27.0,33.0,32.0,55.0,59.0
4529,3.0,0.0,2.0,4.0,1.0,16.0,18.0,45.0,13.0,11.0,27.0,6.0,15.0,39.0,20.0,17.0,28.0,10.0,5.0,14.0,22.0,53.0,8.0,9.0,50.0,44.0,43.0,19.0,12.0,26.0
4578,8.0,3.0,0.0,4.0,2.0,1.0,10.0,7.0,9.0,33.0,17.0,13.0,6.0,44.0,42.0,21.0,19.0,37.0,12.0,5.0,36.0,11.0,20.0,23.0,18.0,47.0,39.0,28.0,15.0,24.0
4627,2.0,0.0,4.0,7.0,5.0,1.0,42.0,8.0,12.0,3.0,36.0,15.0,6.0,18.0,40.0,44.0,10.0,14.0,31.0,11.0,21.0,9.0,33.0,29.0,45.0,52.0,61.0,50.0,22.0,16.0
4676,3.0,2.0,7.0,16.0,0.0,15.0,18.0,5.0,4.0,11.0,1.0,14.0,10.0,53.0,40.0,9.0,27.0,13.0,6.0,17.0,29.0,19.0,12.0,45.0,35.0,22.0,65.0,23.0,37.0,54.0
4725,16.0,1.0,6.0,3.0,0.0,4.0,10.0,24.0,2.0,14.0,5.0,19.0,13.0,61.0,36.0,22.0,27.0,18.0,11.0,7.0,29.0,63.0,15.0,9.0,46.0,34.0,57.0,12.0,28.0,17.0
4774,0.0,2.0,5.0,4.0,1.0,7.0,20.0,21.0,3.0,13.0,41.0,12.0,9.0,24.0,15.0,46.0,11.0,36.0,10.0,6.0,26.0,19.0,30.0,8.0,54.0,38.0,32.0,17.0,58.0,34.0
4823,0.0,3.0,5.0,10.0,1.0,2.0,12.0,19.0,4.0,9.0,13.0,16.0,25.0,6.0,21.0,38.0,11.0,29.0,15.0,35.0,24.0,40.0,22.0,18.0,7.0,41.0,45.0,23.0,26.0,33.0
4872,2.0,5.0,9.0,23.0,6.0,10.0,7.0,1.0,8.0,11.0,3.0,4.0,14.0,15.0,13.0,49.0,16.0,26.0,12.0,29.0,0.0,24.0,43.0,39.0,27.0,52.0,22.0,34.0,47.0,28.0
