,hsa-miR-142-5p,hsa-miR-216a,hsa-miR-223,hsa-let-7e,hsa-miR-210,hsa-miR-24,hsa-miR-135b,hsa-miR-22,hsa-miR-21,hsa-miR-890,hsa-miR-130a,hsa-miR-151-3p,hsa-miR-193b,hsa-miR-574-5p,hsa-let-7a,hsa-miR-147b,hsa-miR-513a-3p,hsa-miR-92a,hsa-let-7i,hsa-miR-148a,hsa-miR-137,hsa-miR-628-5p,hsa-miR-10a,hsa-miR-193a-5p,hcmv-miR-US5-1,hsa-miR-222,hsa-miR-378,hsa-miR-422a,mcv-miR-M1-3p,hsa-miR-149
1243,0.0,3.0,2.0,1.0,4.0,7.0,32.0,5.0,39.0,6.0,9.0,20.0,8.0,105.0,30.0,11.0,25.0,31.0,200.0,60.0,194.0,38.0,74.0,37.0,44.0,88.0,18.0,21.0,17.0,241.0
1292,0.0,1.0,3.0,5.0,4.0,8.0,39.0,26.0,20.0,29.0,14.0,11.0,10.0,28.0,30.0,2.0,34.0,6.0,9.0,112.0,13.0,18.0,460.0,27.0,171.0,22.0,45.0,16.0,122.0,24.0
1341,1.0,3.0,4.0,2.0,0.0,20.0,8.0,5.0,9.0,43.0,30.0,53.0,56.0,14.0,7.0,6.0,107.0,35.0,190.0,17.0,15.0,31.0,32.0,211.0,26.0,134.0,28.0,42.0,21.0,36.0
1390,0.0,1.0,2.0,4.0,6.0,5.0,8.0,10.0,16.0,13.0,14.0,12.0,15.0,20.0,7.0,3.0,9.0,11.0,150.0,31.0,32.0,149.0,26.0,114.0,329.0,251.0,84.0,106.0,30.0,24.0
1439,1.0,2.0,0.0,6.0,5.0,8.0,4.0,3.0,77.0,18.0,52.0,12.0,14.0,22.0,10.0,139.0,144.0,13.0,30.0,36.0,57.0,123.0,542.0,106.0,17.0,96.0,9.0,15.0,179.0,38.0
1488,4.0,0.0,1.0,6.0,2.0,7.0,8.0,10.0,27.0,20.0,91.0,12.0,9.0,191.0,121.0,16.0,5.0,19.0,37.0,36.0,3.0,17.0,202.0,74.0,63.0,69.0,196.0,276.0,13.0,14.0
1537,0.0,1.0,3.0,6.0,13.0,5.0,2.0,27.0,7.0,4.0,14.0,15.0,26.0,16.0,17.0,8.0,133.0,10.0,39.0,62.0,9.0,30.0,38.0,18.0,305.0,12.0,146.0,234.0,418.0,31.0
1586,2.0,0.0,4.0,1.0,5.0,3.0,10.0,9.0,11.0,22.0,8.0,34.0,18.0,6.0,12.0,513.0,16.0,53.0,14.0,17.0,7.0,26.0,434.0,37.0,145.0,13.0,120.0,226.0,24.0,20.0
1635,0.0,1.0,2.0,4.0,5.0,6.0,3.0,12.0,9.0,11.0,15.0,22.0,7.0,28.0,10.0,8.0,30.0,16.0,27.0,47.0,14.0,54.0,151.0,299.0,46.0,29.0,19.0,398.0,110.0,158.0
1684,0.0,8.0,6.0,4.0,1.0,2.0,3.0,12.0,9.0,7.0,5.0,14.0,10.0,22.0,16.0,32.0,24.0,30.0,11.0,452.0,17.0,244.0,34.0,31.0,60.0,19.0,13.0,23.0,48.0,15.0
1733,2.0,0.0,3.0,5.0,7.0,4.0,10.0,12.0,26.0,11.0,20.0,1.0,6.0,46.0,8.0,9.0,14.0,22.0,21.0,13.0,36.0,23.0,15.0,92.0,107.0,48.0,243.0,44.0,98.0,93.0
1782,0.0,1.0,3.0,10.0,7.0,11.0,15.0,5.0,13.0,14.0,16.0,6.0,2.0,9.0,8.0,53.0,21.0,145.0,103.0,32.0,22.0,46.0,84.0,41.0,74.0,43.0,502.0,23.0,56.0,19.0
1831,0.0,2.0,1.0,8.0,3.0,18.0,6.0,9.0,4.0,5.0,38.0,26.0,22.0,79.0,17.0,10.0,32.0,13.0,11.0,59.0,7.0,94.0,31.0,233.0,27.0,61.0,14.0,128.0,165.0,20.0
1880,0.0,1.0,2.0,4.0,3.0,12.0,5.0,8.0,20.0,6.0,11.0,22.0,7.0,29.0,10.0,43.0,26.0,111.0,13.0,61.0,9.0,24.0,62.0,15.0,33.0,18.0,19.0,25.0,34.0,110.0
1929,1.0,0.0,2.0,4.0,8.0,3.0,22.0,7.0,12.0,9.0,10.0,6.0,33.0,13.0,19.0,14.0,42.0,188.0,16.0,15.0,5.0,11.0,169.0,341.0,37.0,21.0,64.0,76.0,32.0,23.0
1978,0.0,3.0,2.0,7.0,1.0,5.0,15.0,26.0,24.0,14.0,10.0,4.0,9.0,8.0,82.0,6.0,23.0,85.0,16.0,18.0,34.0,96.0,28.0,12.0,88.0,231.0,31.0,11.0,210.0,51.0
2027,0.0,2.0,1.0,4.0,3.0,11.0,38.0,30.0,28.0,8.0,9.0,5.0,13.0,39.0,10.0,7.0,56.0,37.0,12.0,6.0,267.0,166.0,139.0,15.0,77.0,350.0,58.0,315.0,24.0,111.0
2076,0.0,5.0,1.0,3.0,2.0,9.0,19.0,23.0,39.0,4.0,14.0,7.0,6.0,37.0,8.0,32.0,205.0,16.0,10.0,15.0,41.0,266.0,88.0,24.0,291.0,20.0,78.0,77.0,127.0,44.0
2125,0.0,17.0,3.0,1.0,2.0,19.0,8.0,36.0,6.0,4.0,13.0,5.0,23.0,95.0,190.0,9.0,147.0,15.0,49.0,10.0,127.0,7.0,44.0,21.0,152.0,92.0,214.0,35.0,18.0,33.0
2174,0.0,3.0,1.0,2.0,4.0,6.0,21.0,90.0,23.0,7.0,10.0,15.0,8.0,40.0,19.0,5.0,47.0,31.0,206.0,9.0,25.0,38.0,82.0,24.0,190.0,58.0,26.0,13.0,176.0,86.0
