,hsa-miR-1977,hsa-miR-199b-5p,hsa-miR-744,hsa-miR-766,hsa-miR-378,hsa-miR-590-5p,hsa-miR-142-5p,hsa-miR-214,hsa-miR-130a,hsa-miR-196b,hsa-miR-1296,hsa-miR-31,hsa-miR-1308,hsa-miR-563,hsa-miR-616,hcmv-miR-US5-1,hsa-miR-578,hsa-miR-29c,hsa-miR-491-3p,hsa-miR-935,hsa-miR-128,hsv1-miR-H7,hsa-miR-1262,hsa-miR-509-5p,hsa-miR-147b,hsa-miR-620,hsa-miR-93,hsa-miR-643,hsa-miR-597,hsa-miR-92a
2172,0.0,3.0,8.0,5.0,9.0,14.0,15.0,2.0,11.0,4.0,17.0,33.0,1.0,27.0,21.0,24.0,44.0,32.0,36.0,25.0,20.0,61.0,49.0,7.0,10.0,19.0,23.0,51.0,16.0,41.0
2221,0.0,8.0,9.0,4.0,11.0,13.0,26.0,2.0,3.0,5.0,10.0,14.0,16.0,1.0,17.0,19.0,15.0,60.0,58.0,38.0,7.0,28.0,41.0,6.0,18.0,50.0,27.0,51.0,12.0,78.0
2270,0.0,3.0,2.0,12.0,14.0,15.0,7.0,5.0,36.0,4.0,10.0,29.0,6.0,1.0,9.0,27.0,30.0,65.0,43.0,22.0,26.0,18.0,28.0,11.0,21.0,19.0,55.0,69.0,16.0,35.0
2319,0.0,2.0,1.0,4.0,56.0,15.0,31.0,5.0,8.0,6.0,11.0,7.0,12.0,10.0,17.0,28.0,3.0,123.0,45.0,24.0,16.0,20.0,184.0,19.0,29.0,33.0,37.0,48.0,9.0,51.0
2368,2.0,0.0,9.0,4.0,6.0,30.0,46.0,8.0,12.0,15.0,5.0,17.0,19.0,1.0,24.0,7.0,31.0,88.0,69.0,28.0,26.0,83.0,97.0,39.0,35.0,76.0,42.0,32.0,36.0,25.0
2417,0.0,5.0,15.0,6.0,9.0,37.0,23.0,10.0,2.0,3.0,7.0,14.0,17.0,1.0,8.0,41.0,59.0,39.0,25.0,22.0,20.0,42.0,75.0,12.0,13.0,98.0,51.0,31.0,4.0,112.0
2466,4.0,18.0,23.0,11.0,9.0,8.0,0.0,7.0,17.0,10.0,3.0,5.0,15.0,1.0,42.0,40.0,2.0,6.0,13.0,36.0,22.0,45.0,56.0,16.0,47.0,186.0,60.0,21.0,154.0,50.0
2515,5.0,9.0,1.0,4.0,2.0,3.0,10.0,6.0,24.0,12.0,8.0,20.0,15.0,0.0,51.0,23.0,11.0,7.0,17.0,13.0,30.0,49.0,63.0,22.0,14.0,91.0,74.0,31.0,61.0,47.0
2564,0.0,3.0,4.0,10.0,8.0,9.0,20.0,6.0,12.0,31.0,2.0,1.0,5.0,13.0,63.0,43.0,7.0,28.0,16.0,25.0,23.0,56.0,35.0,19.0,15.0,71.0,50.0,22.0,24.0,58.0
2613,7.0,2.0,9.0,3.0,5.0,0.0,8.0,14.0,15.0,141.0,6.0,20.0,1.0,4.0,79.0,25.0,39.0,11.0,136.0,26.0,54.0,40.0,16.0,47.0,10.0,21.0,24.0,19.0,129.0,32.0
2662,0.0,7.0,11.0,4.0,6.0,9.0,16.0,5.0,10.0,13.0,3.0,2.0,17.0,1.0,48.0,28.0,8.0,18.0,38.0,26.0,36.0,33.0,25.0,12.0,20.0,87.0,61.0,31.0,67.0,37.0
2711,0.0,14.0,23.0,9.0,13.0,12.0,1.0,7.0,52.0,17.0,4.0,3.0,6.0,2.0,66.0,28.0,5.0,22.0,36.0,18.0,46.0,58.0,25.0,10.0,11.0,186.0,82.0,55.0,78.0,41.0
2760,1.0,18.0,10.0,3.0,2.0,0.0,7.0,5.0,59.0,17.0,30.0,6.0,8.0,79.0,73.0,15.0,4.0,19.0,12.0,23.0,38.0,36.0,42.0,22.0,9.0,104.0,52.0,24.0,62.0,39.0
2809,0.0,4.0,14.0,7.0,3.0,1.0,17.0,6.0,13.0,15.0,2.0,5.0,12.0,11.0,57.0,23.0,9.0,10.0,48.0,24.0,26.0,37.0,28.0,8.0,16.0,74.0,32.0,38.0,77.0,25.0
2858,0.0,6.0,2.0,12.0,5.0,8.0,1.0,9.0,7.0,11.0,10.0,3.0,18.0,13.0,82.0,23.0,4.0,39.0,21.0,19.0,65.0,54.0,70.0,14.0,17.0,111.0,27.0,52.0,37.0,36.0
2907,0.0,13.0,39.0,2.0,11.0,7.0,5.0,4.0,19.0,3.0,1.0,9.0,6.0,25.0,50.0,20.0,47.0,15.0,16.0,74.0,17.0,71.0,12.0,30.0,10.0,34.0,23.0,45.0,21.0,32.0
2956,0.0,5.0,6.0,1.0,15.0,10.0,7.0,4.0,31.0,13.0,2.0,33.0,21.0,79.0,8.0,25.0,24.0,3.0,14.0,168.0,19.0,28.0,27.0,41.0,20.0,11.0,17.0,45.0,36.0,35.0
3005,0.0,1.0,8.0,10.0,4.0,7.0,9.0,2.0,3.0,5.0,6.0,27.0,15.0,55.0,13.0,35.0,36.0,12.0,23.0,22.0,21.0,46.0,33.0,11.0,49.0,18.0,34.0,20.0,26.0,43.0
