,ENPP1,DDB2,VILL,EMB,EDA2R,FAM127C,HSBP1,VASN,RAB18,COQ7,MORF4L2,RP6-109B7.3,ABCB6,DGKA,CTD-2616J11.2,AC092574.2,TNNC1,ABTB1,CTD-2022H16.3,PTCHD4,GPD2,TRIM22,RP11-175P19.2,TRGV5P,C16orf54,FAM65C,HLA-E,UPK1B,INPP5B,ARID3A
4029,1.0,2.0,20.0,0.0,212.0,10.0,42.0,197.0,8.0,306.0,73.0,11.0,27.0,13.0,1569.0,64.0,45.0,140.0,233.0,22907.0,13269.0,81.0,15096.0,22092.0,75.0,490.0,113.0,624.0,508.0,36.0
4078,0.0,4.0,16.0,17.0,10.0,163.0,29.0,97.0,3.0,3989.0,75.0,5.0,2.0,138.0,72.0,187.0,13201.0,22.0,4043.0,22930.0,490.0,20.0,331.0,260.0,19.0,2586.0,21348.0,62.0,296.0,11369.0
4127,2.0,0.0,12.0,1.0,34.0,186.0,120.0,180.0,4.0,10.0,22.0,48.0,23.0,3.0,66.0,383.0,13064.0,111.0,349.0,33.0,195.0,19784.0,137.0,35.0,215.0,1046.0,21305.0,681.0,16346.0,11475.0
4176,0.0,125.0,8.0,1.0,18.0,33.0,62.0,154.0,21.0,105.0,5.0,3.0,43.0,12.0,27.0,4.0,73.0,88.0,1431.0,22950.0,493.0,19770.0,65.0,22303.0,13.0,195.0,319.0,604.0,16557.0,11404.0
4225,5.0,7.0,9.0,337.0,8577.0,1.0,17.0,144.0,62.0,421.0,262.0,208.0,4.0,8.0,3.0,80.0,13099.0,411.0,1468.0,1202.0,1670.0,19823.0,61.0,351.0,211.0,7777.0,21336.0,100.0,375.0,684.0
4274,1.0,2.0,34.0,0.0,506.0,6.0,23.0,32.0,4.0,78.0,170.0,37.0,3.0,27.0,8501.0,20.0,754.0,365.0,4058.0,1658.0,172.0,50.0,15157.0,22116.0,275.0,7752.0,21344.0,1416.0,16550.0,397.0
4323,0.0,8.0,13.0,12.0,200.0,169.0,220.0,84.0,57.0,1860.0,102.0,4782.0,21.0,4.0,73.0,29.0,16.0,173.0,5.0,22894.0,360.0,472.0,170.0,60.0,164.0,8791.0,221.0,350.0,91.0,234.0
4372,0.0,1.0,14.0,84.0,72.0,140.0,50.0,26.0,86.0,4228.0,155.0,352.0,7.0,6.0,28.0,24.0,43.0,12977.0,417.0,226.0,13464.0,19779.0,379.0,237.0,9.0,320.0,117.0,12943.0,343.0,4.0
4421,0.0,8.0,11.0,6.0,469.0,306.0,164.0,259.0,1242.0,251.0,574.0,19.0,17617.0,22.0,8769.0,205.0,16949.0,105.0,219.0,1409.0,238.0,971.0,199.0,3.0,448.0,8057.0,653.0,74.0,98.0,81.0
4470,0.0,21.0,1.0,3.0,88.0,28.0,92.0,3930.0,20467.0,316.0,38.0,64.0,15.0,159.0,2173.0,300.0,107.0,19.0,1142.0,172.0,35.0,25.0,185.0,163.0,428.0,790.0,20.0,12864.0,76.0,147.0
4519,0.0,28.0,22.0,3.0,11.0,43.0,2.0,3073.0,131.0,29.0,205.0,62.0,14.0,5.0,194.0,15155.0,123.0,235.0,3208.0,22897.0,60.0,82.0,186.0,318.0,19.0,7619.0,750.0,12947.0,44.0,16.0
4568,0.0,3.0,19.0,24.0,988.0,2.0,13.0,55.0,118.0,318.0,9.0,9548.0,17.0,11.0,111.0,15197.0,968.0,23.0,3726.0,1478.0,232.0,8.0,27.0,61.0,44.0,7643.0,21315.0,21.0,16297.0,2479.0
4617,17.0,0.0,12.0,61.0,10.0,7.0,111.0,120.0,386.0,186.0,268.0,258.0,13578.0,196.0,8470.0,638.0,34.0,86.0,9.0,22922.0,50.0,38.0,16.0,41.0,305.0,7648.0,8.0,1.0,48.0,609.0
4666,0.0,1.0,9.0,52.0,65.0,369.0,140.0,108.0,34.0,215.0,106.0,265.0,209.0,6977.0,8190.0,13087.0,14036.0,4.0,7.0,20853.0,147.0,73.0,130.0,105.0,2.0,7560.0,21227.0,12939.0,46.0,12407.0
4715,0.0,2.0,6.0,144.0,49.0,273.0,103.0,60.0,130.0,316.0,123.0,1.0,17961.0,188.0,8367.0,13063.0,151.0,4.0,38.0,21777.0,228.0,5.0,35.0,70.0,184.0,756.0,21584.0,21.0,53.0,7.0
4764,1.0,0.0,5.0,8.0,466.0,3.0,11.0,54.0,20370.0,6.0,144.0,361.0,124.0,5983.0,8471.0,15230.0,13051.0,31.0,3360.0,107.0,46.0,376.0,15.0,68.0,43.0,584.0,47.0,35.0,30.0,887.0
4813,0.0,1.0,3.0,21666.0,916.0,328.0,69.0,6.0,105.0,149.0,399.0,232.0,253.0,82.0,8431.0,68.0,109.0,10.0,379.0,2034.0,13253.0,122.0,246.0,288.0,54.0,70.0,269.0,489.0,50.0,34.0
4862,0.0,5.0,2.0,48.0,1.0,96.0,70.0,74.0,271.0,166.0,94.0,383.0,444.0,105.0,8462.0,15215.0,13062.0,404.0,4349.0,22889.0,391.0,53.0,98.0,67.0,39.0,7689.0,270.0,111.0,31.0,11370.0
