,hsa-miR-584,hsa-miR-137,hsa-miR-155,hsa-miR-921,hsa-miR-541,hsa-miR-103,hsa-miR-15b,hsa-miR-223,hsa-miR-630,hsa-miR-330-3p,hsa-miR-642,hsa-miR-142-5p,hsa-miR-1293,hsa-miR-105,hsa-miR-934,hsa-miR-27b,hsa-miR-491-3p,hsa-miR-148b,hsa-miR-181c,hsa-miR-1245,hsa-miR-205,hsa-miR-301b,hsa-miR-1226,hsa-miR-601,hsa-miR-888,hsa-miR-762,hsa-miR-590-5p,hsa-miR-132,hsa-miR-125a-3p,hsa-miR-143
1291,0.0,1.0,10.0,5.0,2.0,6.0,9.0,7.0,16.0,31.0,42.0,12.0,11.0,29.0,3.0,4.0,77.0,19.0,27.0,30.0,25.0,18.0,33.0,23.0,58.0,43.0,14.0,39.0,412.0,67.0
1340,0.0,3.0,5.0,1.0,2.0,12.0,11.0,8.0,10.0,25.0,15.0,28.0,20.0,17.0,4.0,22.0,16.0,27.0,43.0,6.0,23.0,75.0,55.0,31.0,54.0,19.0,50.0,39.0,83.0,26.0
1389,1.0,0.0,3.0,8.0,5.0,7.0,11.0,6.0,14.0,23.0,44.0,4.0,59.0,2.0,34.0,9.0,31.0,65.0,28.0,17.0,10.0,58.0,41.0,19.0,106.0,38.0,22.0,78.0,406.0,29.0
1438,2.0,1.0,5.0,4.0,0.0,13.0,9.0,14.0,11.0,20.0,54.0,7.0,16.0,15.0,3.0,18.0,22.0,28.0,19.0,40.0,52.0,30.0,392.0,62.0,26.0,41.0,50.0,67.0,25.0,23.0
1487,0.0,29.0,1.0,6.0,27.0,11.0,3.0,22.0,12.0,16.0,37.0,13.0,74.0,2.0,34.0,5.0,4.0,8.0,14.0,28.0,17.0,65.0,26.0,72.0,62.0,9.0,98.0,95.0,21.0,43.0
1536,0.0,7.0,1.0,13.0,11.0,3.0,19.0,16.0,8.0,17.0,6.0,86.0,53.0,9.0,34.0,14.0,12.0,26.0,18.0,5.0,22.0,41.0,2.0,28.0,81.0,4.0,79.0,36.0,31.0,27.0
1585,0.0,9.0,4.0,6.0,10.0,20.0,1.0,28.0,2.0,14.0,68.0,15.0,18.0,5.0,16.0,3.0,22.0,11.0,23.0,40.0,88.0,53.0,64.0,32.0,225.0,13.0,29.0,49.0,24.0,39.0
1634,0.0,2.0,3.0,6.0,7.0,4.0,1.0,18.0,5.0,40.0,13.0,33.0,11.0,10.0,35.0,17.0,117.0,9.0,16.0,31.0,53.0,63.0,23.0,26.0,327.0,54.0,36.0,62.0,138.0,412.0
1683,0.0,2.0,1.0,4.0,30.0,8.0,10.0,39.0,5.0,15.0,27.0,45.0,40.0,6.0,18.0,3.0,21.0,20.0,23.0,53.0,58.0,14.0,42.0,26.0,50.0,16.0,87.0,34.0,35.0,24.0
1732,1.0,4.0,3.0,0.0,7.0,41.0,8.0,19.0,10.0,13.0,28.0,37.0,68.0,14.0,58.0,2.0,57.0,5.0,38.0,15.0,365.0,42.0,9.0,63.0,64.0,27.0,22.0,47.0,73.0,17.0
1781,0.0,6.0,4.0,3.0,19.0,13.0,12.0,14.0,7.0,8.0,29.0,48.0,31.0,2.0,65.0,1.0,23.0,15.0,5.0,45.0,18.0,52.0,16.0,120.0,46.0,20.0,22.0,25.0,21.0,42.0
1830,0.0,3.0,1.0,5.0,17.0,11.0,7.0,16.0,8.0,6.0,13.0,21.0,427.0,2.0,24.0,15.0,34.0,20.0,14.0,39.0,30.0,45.0,26.0,4.0,217.0,10.0,65.0,51.0,19.0,38.0
1879,1.0,5.0,2.0,13.0,29.0,7.0,4.0,17.0,3.0,45.0,30.0,14.0,73.0,0.0,20.0,6.0,10.0,12.0,18.0,69.0,57.0,19.0,23.0,68.0,11.0,16.0,78.0,22.0,76.0,58.0
1928,0.0,7.0,3.0,1.0,2.0,21.0,16.0,17.0,5.0,18.0,8.0,98.0,111.0,4.0,31.0,6.0,51.0,19.0,13.0,72.0,34.0,80.0,11.0,29.0,27.0,25.0,70.0,15.0,32.0,45.0
