,MTAP_DEL,NFIB_DEL,PARG_AMP,IFNA17_DEL,PTPLAD2_DEL,CES1P1_DEL,MIR4474_DEL,SDHAP2_DEL,RLN1_DEL,DSN1_AMP,IFNA7_DEL,LOC728407_AMP,KLHL9_DEL,TPTE2P3_DEL,SACS_MUT,PRKG2_MUT,IFNA1_DEL,MCM3AP_MUT,MIR4473_DEL,PDCD1LG2_DEL,GSTT1_AMP,PCM1_MUT,IFNA10_DEL,LOC391322_AMP,IFNA21_DEL,FOCAD_DEL,VWDE_AMP,GSTTP2_AMP,FAM21A_DEL,DUSP22_DEL
2576,22.0,1523.0,12.0,23.0,58.0,16.0,242.0,2002.0,5.0,22829.0,0.0,394.0,339.0,30.0,62.0,16946.0,4343.0,65.0,17.0,53.0,25.0,72.0,2.0,24.0,4295.0,107.0,13571.0,10.0,600.0,9.0
2625,0.0,100.0,19.0,22.0,147.0,1177.0,80.0,99.0,12587.0,69.0,1.0,27.0,6.0,247.0,1286.0,16940.0,24.0,2385.0,17.0,72.0,23.0,16511.0,16.0,12.0,42.0,10589.0,503.0,8.0,2331.0,693.0
2674,182.0,11463.0,1331.0,1877.0,2590.0,420.0,20754.0,148.0,325.0,195.0,6.0,19.0,61.0,3.0,16653.0,16942.0,1423.0,178.0,20657.0,9879.0,5.0,10.0,71.0,1713.0,47.0,303.0,13.0,22.0,3623.0,121.0
2723,11029.0,513.0,1587.0,12.0,16.0,410.0,63.0,8.0,320.0,2444.0,209.0,1348.0,11.0,5924.0,16677.0,2003.0,1464.0,4.0,97.0,7878.0,13261.0,33.0,0.0,86.0,704.0,2490.0,56.0,44.0,70.0,74.0
2772,11015.0,10765.0,229.0,10.0,24.0,15.0,106.0,133.0,85.0,22750.0,602.0,53.0,220.0,14.0,95.0,16956.0,4215.0,702.0,20911.0,7888.0,13.0,101.0,11.0,39.0,136.0,75.0,18.0,474.0,4285.0,396.0
2821,2700.0,1849.0,86.0,29.0,4353.0,1767.0,335.0,232.0,11654.0,626.0,2.0,14.0,12465.0,284.0,1906.0,16977.0,3606.0,4.0,23.0,7827.0,11.0,1789.0,165.0,782.0,1295.0,70.0,13588.0,805.0,125.0,8.0
2870,11060.0,10789.0,1.0,11.0,248.0,81.0,17.0,1763.0,2496.0,190.0,3859.0,3.0,164.0,32.0,55.0,16958.0,256.0,1394.0,145.0,28.0,13268.0,10.0,24.0,15376.0,16.0,1296.0,4.0,979.0,1167.0,454.0
2919,1.0,18.0,94.0,13.0,3863.0,35.0,24.0,1260.0,526.0,230.0,12.0,1730.0,31.0,23.0,1358.0,381.0,54.0,545.0,20777.0,19.0,87.0,240.0,93.0,50.0,44.0,200.0,13844.0,105.0,604.0,12213.0
2968,1350.0,15.0,1550.0,0.0,244.0,1193.0,17.0,1688.0,182.0,9.0,628.0,916.0,12444.0,5681.0,16643.0,381.0,185.0,1756.0,290.0,7677.0,19.0,161.0,124.0,7.0,168.0,24.0,251.0,2.0,4347.0,2453.0
3017,0.0,164.0,775.0,18.0,123.0,10688.0,347.0,8.0,1201.0,65.0,2211.0,24062.0,13.0,449.0,16694.0,16748.0,163.0,1247.0,1465.0,2757.0,1120.0,623.0,262.0,12.0,16.0,124.0,49.0,29.0,4336.0,1429.0
