,hsa-miR-205,hsa-miR-548a-3p,hsa-miR-223,hsa-miR-744,hsa-miR-934,hsa-miR-30c,hsa-miR-148a,hsa-miR-196b,hsa-miR-155,hsa-miR-135b,hsa-miR-921,hsa-miR-31,hsa-miR-578,hsa-miR-662,hsa-miR-450b-3p,hsa-miR-548b-5p,hsa-miR-1233,hsa-miR-219-2-3p,hsa-miR-609,hsa-miR-770-5p,hsa-miR-222,kshv-miR-K12-7,hsa-miR-891a,hsa-miR-34a,hsa-miR-603,hsa-miR-628-5p,hsa-miR-220b,hsa-miR-323-5p,hsa-miR-210,hsa-miR-34c-5p
3839,3.0,0.0,7.0,4.0,9.0,14.0,1.0,30.0,40.0,16.0,2.0,6.0,12.0,38.0,10.0,36.0,5.0,17.0,11.0,286.0,13.0,220.0,69.0,62.0,8.0,20.0,79.0,41.0,15.0,428.0
3888,0.0,1.0,4.0,2.0,3.0,9.0,6.0,11.0,18.0,33.0,5.0,15.0,21.0,32.0,8.0,25.0,48.0,22.0,14.0,289.0,12.0,29.0,62.0,35.0,7.0,72.0,45.0,31.0,30.0,49.0
3937,0.0,2.0,5.0,4.0,1.0,6.0,3.0,27.0,10.0,9.0,64.0,31.0,19.0,16.0,11.0,17.0,8.0,18.0,28.0,13.0,23.0,25.0,68.0,22.0,12.0,14.0,15.0,65.0,54.0,39.0
3986,0.0,1.0,5.0,2.0,3.0,4.0,15.0,17.0,8.0,14.0,248.0,7.0,32.0,10.0,34.0,18.0,27.0,26.0,183.0,44.0,6.0,24.0,19.0,76.0,43.0,16.0,29.0,64.0,83.0,12.0
4035,0.0,2.0,1.0,7.0,3.0,5.0,6.0,13.0,53.0,9.0,29.0,10.0,17.0,22.0,35.0,20.0,23.0,24.0,46.0,18.0,16.0,27.0,51.0,11.0,15.0,26.0,8.0,28.0,42.0,75.0
4084,0.0,2.0,23.0,9.0,4.0,12.0,1.0,8.0,35.0,3.0,38.0,32.0,6.0,5.0,31.0,13.0,10.0,18.0,60.0,7.0,26.0,15.0,57.0,33.0,27.0,16.0,14.0,17.0,363.0,19.0
4133,2.0,0.0,6.0,1.0,4.0,7.0,5.0,25.0,38.0,3.0,218.0,9.0,12.0,26.0,23.0,13.0,15.0,20.0,41.0,10.0,33.0,30.0,76.0,17.0,27.0,37.0,11.0,72.0,86.0,99.0
4182,0.0,1.0,3.0,12.0,8.0,11.0,6.0,21.0,40.0,4.0,19.0,2.0,7.0,35.0,17.0,16.0,10.0,18.0,42.0,9.0,29.0,27.0,69.0,51.0,24.0,5.0,15.0,14.0,67.0,45.0
4231,0.0,1.0,4.0,16.0,2.0,10.0,17.0,61.0,23.0,3.0,18.0,45.0,5.0,9.0,6.0,24.0,32.0,36.0,34.0,26.0,8.0,7.0,69.0,12.0,41.0,14.0,27.0,44.0,63.0,28.0
4280,2.0,0.0,1.0,13.0,6.0,9.0,16.0,7.0,26.0,3.0,96.0,15.0,5.0,4.0,8.0,10.0,23.0,12.0,25.0,19.0,29.0,28.0,60.0,71.0,22.0,14.0,31.0,36.0,91.0,51.0
4329,1.0,0.0,2.0,11.0,6.0,7.0,3.0,13.0,35.0,4.0,49.0,12.0,8.0,10.0,19.0,9.0,24.0,5.0,33.0,28.0,26.0,25.0,20.0,71.0,48.0,41.0,21.0,32.0,14.0,50.0
4378,1.0,3.0,4.0,0.0,6.0,10.0,12.0,2.0,16.0,11.0,22.0,9.0,14.0,26.0,25.0,15.0,17.0,19.0,53.0,7.0,48.0,5.0,79.0,28.0,34.0,37.0,23.0,40.0,29.0,61.0
4427,0.0,3.0,1.0,14.0,5.0,4.0,15.0,13.0,6.0,395.0,8.0,11.0,73.0,17.0,33.0,81.0,69.0,35.0,27.0,10.0,43.0,2.0,38.0,32.0,67.0,48.0,25.0,31.0,7.0,86.0
4476,0.0,6.0,4.0,18.0,2.0,3.0,24.0,55.0,21.0,14.0,33.0,7.0,35.0,12.0,493.0,63.0,41.0,23.0,8.0,20.0,22.0,9.0,37.0,11.0,50.0,25.0,19.0,58.0,1.0,469.0
4525,0.0,7.0,1.0,5.0,2.0,3.0,14.0,6.0,12.0,16.0,15.0,9.0,49.0,84.0,37.0,46.0,13.0,42.0,8.0,19.0,21.0,18.0,22.0,39.0,10.0,17.0,50.0,26.0,38.0,490.0
4574,0.0,5.0,1.0,12.0,4.0,3.0,9.0,6.0,25.0,55.0,7.0,15.0,45.0,13.0,67.0,16.0,8.0,52.0,11.0,10.0,51.0,19.0,54.0,56.0,244.0,27.0,60.0,31.0,2.0,87.0
4623,0.0,6.0,2.0,18.0,10.0,1.0,13.0,22.0,9.0,55.0,3.0,8.0,23.0,43.0,440.0,147.0,12.0,49.0,7.0,17.0,68.0,5.0,51.0,4.0,33.0,25.0,46.0,87.0,11.0,466.0
4672,0.0,4.0,1.0,56.0,2.0,3.0,48.0,40.0,7.0,20.0,12.0,5.0,21.0,19.0,31.0,70.0,59.0,43.0,83.0,10.0,54.0,8.0,22.0,444.0,87.0,78.0,13.0,23.0,6.0,15.0
4721,0.0,6.0,2.0,19.0,4.0,1.0,14.0,26.0,8.0,35.0,13.0,10.0,57.0,30.0,17.0,16.0,72.0,39.0,21.0,24.0,18.0,15.0,46.0,11.0,40.0,68.0,41.0,7.0,22.0,32.0
4770,0.0,5.0,1.0,20.0,3.0,2.0,15.0,12.0,4.0,41.0,10.0,29.0,55.0,6.0,88.0,22.0,37.0,75.0,7.0,38.0,23.0,8.0,18.0,14.0,62.0,9.0,40.0,13.0,34.0,17.0
4819,0.0,5.0,1.0,9.0,2.0,3.0,4.0,11.0,7.0,91.0,12.0,10.0,31.0,19.0,50.0,27.0,73.0,39.0,8.0,37.0,20.0,13.0,28.0,48.0,59.0,17.0,75.0,25.0,6.0,458.0
4868,0.0,3.0,1.0,46.0,4.0,2.0,20.0,10.0,8.0,14.0,26.0,5.0,18.0,223.0,38.0,7.0,64.0,95.0,51.0,9.0,29.0,23.0,24.0,11.0,90.0,43.0,77.0,36.0,13.0,67.0
