,1-methylnicotinamide,cytidine,C16:0 LPE,uracil,pantothenate,adenosine,2-deoxycytidine,guanosine,3-phosphoglycerate,cystathionine,uridine,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,palmitoylcarnitine,valerylcarnitine,C22:6 CE,alpha-glycerophosphate,sarcosine,PEP,2-deoxyadenosine,alpha-glycerophosphocholine,alpha-hydroxybutyrate,C34:4 PC,pyroglutamic acid,DHAP/glyceraldehyde 3P,beta-alanine,creatine,C34:2 DAG,serotonin,creatinine
2377,0.0,2.0,7.0,3.0,1.0,5.0,46.0,13.0,12.0,4.0,38.0,15.0,6.0,21.0,29.0,24.0,11.0,17.0,18.0,8.0,28.0,57.0,39.0,65.0,36.0,52.0,56.0,37.0,23.0,22.0
2426,0.0,1.0,4.0,2.0,9.0,6.0,33.0,3.0,12.0,7.0,40.0,46.0,5.0,15.0,32.0,24.0,43.0,11.0,18.0,27.0,28.0,38.0,10.0,48.0,31.0,22.0,50.0,14.0,16.0,49.0
2475,1.0,0.0,4.0,3.0,2.0,37.0,23.0,27.0,6.0,30.0,8.0,13.0,20.0,10.0,41.0,9.0,16.0,58.0,12.0,7.0,5.0,19.0,39.0,53.0,29.0,40.0,11.0,14.0,34.0,21.0
2524,1.0,0.0,2.0,7.0,17.0,33.0,11.0,45.0,3.0,9.0,10.0,6.0,19.0,4.0,13.0,18.0,8.0,14.0,37.0,32.0,5.0,25.0,38.0,55.0,23.0,15.0,22.0,12.0,34.0,51.0
2573,0.0,1.0,2.0,4.0,3.0,8.0,38.0,28.0,18.0,15.0,6.0,9.0,32.0,5.0,37.0,11.0,16.0,23.0,7.0,34.0,52.0,12.0,35.0,47.0,10.0,17.0,51.0,19.0,58.0,50.0
2622,1.0,0.0,2.0,16.0,3.0,45.0,17.0,26.0,13.0,9.0,6.0,14.0,12.0,35.0,4.0,5.0,7.0,11.0,10.0,18.0,51.0,33.0,39.0,36.0,47.0,55.0,50.0,8.0,42.0,62.0
2671,0.0,1.0,5.0,4.0,3.0,2.0,7.0,50.0,24.0,9.0,6.0,34.0,26.0,16.0,44.0,25.0,14.0,30.0,29.0,20.0,18.0,12.0,8.0,46.0,13.0,41.0,10.0,11.0,39.0,48.0
2720,2.0,0.0,1.0,5.0,13.0,23.0,11.0,59.0,48.0,16.0,8.0,15.0,22.0,38.0,3.0,4.0,17.0,7.0,21.0,62.0,28.0,12.0,32.0,18.0,36.0,29.0,6.0,14.0,30.0,37.0
2769,0.0,1.0,3.0,7.0,6.0,20.0,27.0,42.0,23.0,24.0,4.0,10.0,38.0,14.0,15.0,9.0,45.0,16.0,30.0,33.0,48.0,5.0,17.0,58.0,18.0,36.0,25.0,29.0,57.0,28.0
2818,5.0,0.0,2.0,1.0,25.0,14.0,4.0,13.0,7.0,26.0,35.0,19.0,11.0,6.0,23.0,28.0,3.0,50.0,39.0,33.0,8.0,40.0,37.0,58.0,27.0,18.0,29.0,45.0,24.0,31.0
2867,2.0,0.0,1.0,4.0,6.0,12.0,5.0,48.0,8.0,3.0,10.0,36.0,35.0,17.0,53.0,13.0,30.0,15.0,18.0,22.0,21.0,9.0,33.0,31.0,34.0,26.0,11.0,28.0,62.0,20.0
2916,3.0,2.0,1.0,4.0,0.0,10.0,9.0,32.0,7.0,20.0,6.0,19.0,11.0,12.0,25.0,5.0,13.0,14.0,27.0,64.0,15.0,8.0,59.0,22.0,43.0,57.0,29.0,21.0,36.0,39.0
2965,0.0,1.0,2.0,11.0,39.0,27.0,4.0,12.0,5.0,3.0,6.0,22.0,16.0,13.0,24.0,15.0,9.0,38.0,10.0,7.0,44.0,26.0,18.0,25.0,29.0,36.0,8.0,40.0,21.0,60.0
3014,0.0,2.0,15.0,9.0,39.0,42.0,11.0,14.0,1.0,3.0,24.0,34.0,4.0,18.0,30.0,10.0,12.0,48.0,13.0,8.0,5.0,46.0,21.0,29.0,6.0,32.0,22.0,28.0,23.0,38.0
3063,0.0,1.0,8.0,4.0,23.0,50.0,2.0,14.0,31.0,27.0,21.0,24.0,30.0,10.0,13.0,12.0,3.0,58.0,17.0,35.0,6.0,5.0,15.0,47.0,9.0,28.0,18.0,16.0,42.0,25.0
3112,0.0,2.0,4.0,11.0,14.0,19.0,12.0,6.0,7.0,1.0,8.0,5.0,21.0,3.0,15.0,25.0,31.0,40.0,27.0,26.0,20.0,58.0,24.0,17.0,23.0,18.0,22.0,28.0,59.0,52.0
3161,0.0,1.0,10.0,20.0,4.0,39.0,5.0,27.0,2.0,8.0,31.0,17.0,11.0,19.0,48.0,12.0,28.0,26.0,9.0,3.0,13.0,38.0,23.0,29.0,24.0,30.0,16.0,51.0,15.0,32.0
3210,0.0,1.0,13.0,7.0,2.0,5.0,6.0,26.0,15.0,8.0,18.0,9.0,10.0,22.0,37.0,32.0,12.0,55.0,11.0,3.0,14.0,27.0,35.0,31.0,23.0,30.0,36.0,58.0,16.0,29.0
3259,0.0,1.0,13.0,2.0,6.0,28.0,3.0,56.0,5.0,7.0,8.0,20.0,15.0,33.0,17.0,4.0,10.0,46.0,22.0,12.0,18.0,11.0,44.0,29.0,24.0,19.0,23.0,14.0,27.0,62.0
3308,0.0,1.0,4.0,5.0,12.0,9.0,2.0,23.0,8.0,17.0,22.0,6.0,3.0,24.0,11.0,25.0,27.0,14.0,7.0,10.0,15.0,57.0,38.0,16.0,19.0,30.0,32.0,65.0,18.0,36.0
3357,0.0,1.0,3.0,4.0,6.0,18.0,5.0,15.0,2.0,13.0,28.0,26.0,23.0,20.0,52.0,16.0,7.0,51.0,11.0,12.0,14.0,21.0,8.0,17.0,57.0,32.0,22.0,36.0,38.0,31.0
3406,0.0,2.0,4.0,24.0,30.0,14.0,3.0,29.0,7.0,1.0,41.0,19.0,9.0,26.0,45.0,25.0,15.0,10.0,35.0,13.0,17.0,22.0,38.0,21.0,5.0,18.0,43.0,23.0,53.0,46.0
3455,1.0,0.0,3.0,9.0,2.0,4.0,5.0,8.0,52.0,56.0,40.0,18.0,28.0,7.0,41.0,6.0,12.0,45.0,63.0,13.0,32.0,14.0,16.0,26.0,15.0,23.0,20.0,38.0,37.0,19.0
3504,0.0,1.0,2.0,21.0,10.0,7.0,12.0,15.0,16.0,42.0,11.0,6.0,36.0,3.0,9.0,19.0,43.0,50.0,41.0,45.0,13.0,4.0,27.0,26.0,5.0,47.0,17.0,22.0,23.0,31.0
3553,0.0,1.0,4.0,7.0,3.0,2.0,12.0,21.0,14.0,54.0,24.0,37.0,9.0,5.0,6.0,17.0,15.0,32.0,33.0,8.0,10.0,65.0,20.0,13.0,30.0,22.0,50.0,60.0,31.0,44.0
3602,0.0,2.0,29.0,9.0,1.0,5.0,14.0,15.0,12.0,47.0,3.0,4.0,18.0,35.0,6.0,30.0,25.0,8.0,37.0,7.0,51.0,49.0,21.0,13.0,17.0,36.0,32.0,45.0,39.0,43.0
3651,0.0,1.0,3.0,10.0,2.0,5.0,49.0,12.0,16.0,38.0,6.0,8.0,13.0,4.0,21.0,33.0,11.0,62.0,15.0,17.0,18.0,31.0,45.0,27.0,40.0,37.0,53.0,14.0,9.0,59.0
3700,0.0,1.0,2.0,25.0,3.0,11.0,16.0,24.0,9.0,18.0,4.0,20.0,10.0,12.0,5.0,6.0,17.0,28.0,19.0,21.0,30.0,31.0,59.0,22.0,35.0,7.0,34.0,29.0,44.0,50.0
3749,6.0,0.0,7.0,3.0,4.0,15.0,50.0,2.0,22.0,52.0,10.0,23.0,43.0,1.0,21.0,13.0,14.0,51.0,17.0,5.0,12.0,16.0,38.0,20.0,39.0,24.0,44.0,41.0,55.0,19.0
3798,0.0,1.0,2.0,12.0,7.0,4.0,16.0,3.0,28.0,26.0,17.0,21.0,30.0,13.0,9.0,18.0,10.0,58.0,19.0,6.0,24.0,40.0,5.0,8.0,20.0,31.0,32.0,25.0,33.0,34.0
3847,0.0,1.0,7.0,25.0,2.0,9.0,14.0,4.0,43.0,53.0,38.0,11.0,59.0,13.0,15.0,3.0,12.0,65.0,18.0,6.0,39.0,8.0,26.0,48.0,16.0,37.0,21.0,29.0,22.0,46.0
