,OR51A2_DEL,OR51A4_DEL,NRXN1_DEL,HLA-DRB1_AMP,ACACB_MUT,HLA-DRB6_AMP,ZBTB20_AMP,USP32P2_DEL,TNK2_MUT,DST_MUT,CTNNA2_MUT,SPEN_MUT,HERC2P2_AMP,SIRPB1_AMP,CREBBP_MUT,APOBEC3A_B_DEL,ZNF705G_AMP,KIAA0125_AMP,EP300_MUT,BTNL3_DEL,BTNL8_DEL,JAK2_AMP,LRP1B_DEL,ADAM6_AMP,ACOT1_DEL,MUSK_MUT,HEATR4_DEL,MIR548AI_AMP,FHIT_DEL,FLNA_MUT
2332,1.0,0.0,8.0,4.0,44.0,6.0,2.0,11.0,18.0,59.0,7.0,38.0,5.0,58.0,51.0,49.0,239.0,69.0,20.0,16.0,13.0,12.0,78.0,90.0,215.0,9.0,200.0,23.0,19.0,114.0
2381,11.0,4.0,7.0,0.0,16.0,2.0,10.0,3.0,14.0,20.0,8.0,23.0,9.0,159.0,58.0,55.0,5.0,402.0,72.0,30.0,13.0,19.0,52.0,423.0,8881.0,22.0,9006.0,29.0,1.0,12.0
2430,5.0,0.0,2.0,6.0,29.0,7.0,1.0,26.0,30.0,12.0,18.0,32.0,13.0,23.0,39.0,33.0,16.0,34.0,85.0,10.0,17.0,14.0,119.0,35.0,172.0,8.0,224.0,11.0,4.0,74.0
2479,1.0,10.0,0.0,9.0,6.0,15.0,7.0,49.0,22.0,5.0,25.0,37.0,468.0,27.0,3.0,2.0,68.0,48.0,31.0,165.0,128.0,29.0,40.0,35.0,61.0,26.0,43.0,81.0,348.0,23.0
2528,0.0,4.0,5.0,2.0,11.0,9.0,1.0,364.0,28.0,3.0,23.0,77.0,210.0,12.0,14.0,10.0,2635.0,7.0,118.0,54.0,34.0,17.0,141.0,6.0,65.0,30.0,73.0,18.0,117.0,25.0
2577,1.0,12.0,2.0,0.0,6.0,8.0,10.0,22.0,15.0,9.0,43.0,26.0,115.0,3.0,21.0,14.0,150.0,5.0,52.0,98.0,79.0,20.0,28.0,4.0,230.0,70.0,245.0,113.0,39.0,36.0
2626,2.0,3.0,0.0,4.0,19.0,6.0,1.0,16.0,23.0,7.0,29.0,36.0,40.0,9.0,5.0,24.0,150.0,8.0,156.0,11.0,13.0,17.0,50.0,12.0,147.0,44.0,215.0,33.0,49.0,22.0
2675,6.0,14.0,5.0,3.0,7.0,0.0,102.0,13.0,17.0,9.0,56.0,258.0,148.0,1.0,2.0,8.0,265.0,21.0,33.0,286.0,528.0,41.0,111.0,20.0,27.0,52.0,28.0,66.0,94.0,16.0
2724,3.0,7.0,19.0,6.0,23.0,12.0,11.0,47.0,8.0,5.0,180.0,27.0,0.0,37.0,4.0,14.0,297.0,2.0,34.0,25.0,20.0,42.0,535.0,1.0,3634.0,449.0,2933.0,41.0,2736.0,15.0
2773,0.0,3.0,2.0,1.0,9.0,4.0,7.0,38.0,30.0,12.0,88.0,158.0,930.0,5.0,22.0,10.0,139.0,19.0,29.0,14.0,6.0,13.0,97.0,21.0,17.0,11.0,23.0,8.0,350.0,215.0
2822,1.0,0.0,2.0,13.0,18.0,37.0,3.0,7.0,26.0,15.0,21.0,40.0,63.0,4.0,8.0,11.0,324.0,17.0,70.0,16.0,12.0,20.0,66.0,19.0,307.0,52.0,312.0,23.0,28.0,10.0
2871,2.0,6.0,3.0,0.0,7.0,1.0,9.0,46.0,15.0,10.0,27.0,22.0,26.0,12.0,8.0,18.0,199.0,5.0,34.0,47.0,77.0,20.0,48.0,4.0,76.0,37.0,68.0,61.0,17.0,19.0
2920,0.0,1.0,4.0,2.0,18.0,5.0,3.0,11.0,48.0,35.0,8.0,45.0,6.0,21.0,7.0,10.0,87.0,32.0,82.0,12.0,15.0,13.0,29.0,14.0,49.0,24.0,50.0,33.0,382.0,89.0
2969,0.0,1.0,23.0,7.0,9.0,4.0,17.0,5.0,8.0,41.0,35.0,50.0,1984.0,12.0,160.0,27.0,230.0,3.0,82.0,101.0,81.0,53.0,19.0,2.0,11.0,10.0,13.0,24.0,96.0,98.0
3018,0.0,1.0,2.0,7.0,3.0,4.0,5.0,6.0,18.0,28.0,12.0,25.0,13.0,23.0,10.0,41.0,29.0,124.0,40.0,92.0,83.0,20.0,70.0,110.0,17.0,33.0,22.0,16.0,15.0,35.0
3067,0.0,2.0,1.0,4.0,7.0,3.0,10.0,5.0,27.0,30.0,11.0,9.0,881.0,49.0,17.0,8.0,97.0,78.0,187.0,157.0,91.0,47.0,37.0,104.0,14.0,31.0,18.0,23.0,6.0,26.0
3116,0.0,1.0,2.0,10.0,5.0,6.0,13.0,8.0,21.0,11.0,9.0,18.0,17.0,14.0,15.0,7.0,48.0,95.0,96.0,232.0,238.0,26.0,22.0,55.0,4.0,24.0,3.0,42.0,16.0,29.0
3165,0.0,2.0,6.0,3.0,5.0,1.0,9.0,4.0,36.0,10.0,12.0,55.0,212.0,14.0,22.0,32.0,114.0,157.0,29.0,105.0,64.0,33.0,79.0,70.0,13.0,39.0,15.0,62.0,8.0,42.0
3214,0.0,4.0,5.0,6.0,1.0,2.0,68.0,3.0,21.0,15.0,22.0,8.0,126.0,33.0,10.0,29.0,23.0,1012.0,12.0,135.0,92.0,112.0,41.0,1058.0,11.0,19.0,16.0,213.0,7.0,17.0
3263,0.0,1.0,6.0,7.0,10.0,8.0,3.0,5.0,9.0,66.0,11.0,17.0,771.0,41.0,12.0,53.0,18.0,74.0,158.0,39.0,36.0,16.0,26.0,69.0,32.0,28.0,42.0,27.0,4.0,14.0
3312,1.0,0.0,2.0,47.0,4.0,17.0,6.0,8.0,25.0,13.0,22.0,5.0,12.0,116.0,3.0,75.0,84.0,31.0,161.0,7.0,10.0,32.0,60.0,20.0,180.0,133.0,268.0,19.0,18.0,72.0
3361,0.0,1.0,6.0,3.0,8.0,2.0,10.0,4.0,25.0,59.0,9.0,5.0,140.0,87.0,21.0,24.0,40.0,27.0,18.0,19.0,20.0,31.0,17.0,42.0,11.0,14.0,7.0,16.0,13.0,192.0
3410,0.0,4.0,1.0,7.0,6.0,5.0,65.0,25.0,29.0,18.0,41.0,8.0,283.0,68.0,11.0,22.0,9.0,211.0,14.0,130.0,235.0,13.0,73.0,189.0,3.0,30.0,2.0,20.0,42.0,61.0
3459,0.0,3.0,5.0,1.0,7.0,4.0,81.0,9.0,38.0,2.0,25.0,8.0,131.0,12.0,6.0,44.0,51.0,28.0,34.0,30.0,19.0,64.0,41.0,32.0,16.0,18.0,23.0,27.0,22.0,37.0
3508,0.0,1.0,6.0,5.0,12.0,8.0,10.0,42.0,21.0,28.0,46.0,25.0,66.0,29.0,36.0,58.0,17.0,11.0,14.0,27.0,18.0,23.0,24.0,15.0,2.0,13.0,3.0,9.0,16.0,290.0
3557,0.0,12.0,3.0,11.0,7.0,4.0,86.0,5.0,16.0,19.0,18.0,8.0,100.0,29.0,14.0,30.0,10.0,1.0,41.0,31.0,25.0,27.0,22.0,2.0,9.0,17.0,13.0,6.0,77.0,73.0
3606,0.0,1.0,4.0,6.0,2.0,8.0,118.0,84.0,29.0,14.0,10.0,7.0,532.0,31.0,21.0,56.0,15.0,115.0,16.0,22.0,12.0,17.0,49.0,125.0,3.0,13.0,5.0,9.0,185.0,48.0
3655,2.0,3.0,0.0,4.0,1.0,6.0,16.0,66.0,24.0,31.0,20.0,7.0,13.0,579.0,9.0,22.0,5.0,18.0,10.0,17.0,12.0,21.0,172.0,8.0,14.0,41.0,11.0,30.0,19.0,46.0
3704,0.0,2.0,7.0,1.0,4.0,12.0,139.0,37.0,11.0,9.0,5.0,33.0,140.0,62.0,45.0,108.0,3.0,15.0,97.0,21.0,35.0,26.0,14.0,18.0,16.0,30.0,19.0,34.0,10.0,54.0
3753,0.0,1.0,2.0,24.0,4.0,32.0,9.0,59.0,28.0,33.0,17.0,5.0,14.0,22.0,8.0,19.0,10.0,70.0,38.0,13.0,15.0,11.0,34.0,55.0,3.0,16.0,6.0,12.0,18.0,64.0
