,TNK2_MUT,DST_MUT,GRB7_AMP,ACACB_MUT,APBA1_AMP,ERBB2_AMP,ZFP14_DEL,MIR4728_AMP,PGAP3_AMP,DEFT1P_DEL,DEFT1P2_DEL,CNTLN_DEL,PPFIA1_AMP,OR2T27_DEL,STARD3_AMP,BRAF.V600E_MUT,CTNNA2_MUT,JAK2_AMP,CCND1_AMP,BMPR2_MUT,ETS1_DEL,OR51A4_DEL,OR51A2_DEL,FADD_AMP,MIR548K_AMP,MTRNR2L6_DEL,TCAP_AMP,CT45A2_DEL,EPHA8_MUT,MYEOV_AMP
3997,1.0,16894.0,13524.0,238.0,340.0,669.0,35.0,96.0,28.0,8.0,0.0,362.0,12.0,4383.0,1142.0,1581.0,31.0,2089.0,832.0,1499.0,9.0,4294.0,4291.0,19501.0,127.0,338.0,279.0,8550.0,69.0,13009.0
4046,3.0,16966.0,9.0,19.0,227.0,97.0,551.0,76.0,21.0,797.0,62.0,2463.0,56.0,12.0,17832.0,11.0,168.0,15133.0,616.0,16969.0,37.0,89.0,190.0,19405.0,17.0,18929.0,362.0,565.0,43.0,18.0
4095,16621.0,186.0,2.0,475.0,13258.0,1542.0,694.0,204.0,30.0,4542.0,19.0,65.0,59.0,3346.0,18102.0,72.0,64.0,14991.0,39.0,729.0,1347.0,2554.0,1085.0,738.0,16029.0,808.0,190.0,1392.0,8.0,14042.0
4144,0.0,11357.0,109.0,1.0,1415.0,10.0,2779.0,21452.0,212.0,41.0,19708.0,11548.0,88.0,5005.0,441.0,21009.0,66.0,17902.0,24.0,277.0,50.0,39.0,129.0,606.0,7386.0,69.0,24000.0,8976.0,10474.0,2.0
4193,4.0,153.0,7.0,186.0,165.0,257.0,12782.0,81.0,15.0,13.0,3.0,11.0,90.0,544.0,424.0,20130.0,819.0,8.0,54.0,72.0,4870.0,1544.0,1451.0,121.0,2653.0,275.0,336.0,8555.0,243.0,720.0
4242,42.0,415.0,10.0,1198.0,12.0,596.0,1307.0,50.0,309.0,4.0,136.0,683.0,104.0,3844.0,17781.0,120.0,16544.0,620.0,6.0,176.0,21.0,3831.0,3833.0,2486.0,58.0,18847.0,19390.0,8.0,1884.0,13020.0
4291,57.0,41.0,4.0,14.0,209.0,79.0,187.0,16178.0,330.0,6.0,19.0,865.0,34.0,1080.0,308.0,1496.0,615.0,1206.0,1.0,281.0,99.0,2764.0,2772.0,19518.0,15919.0,2569.0,107.0,227.0,2061.0,849.0
4340,816.0,16925.0,14.0,114.0,908.0,53.0,12562.0,16217.0,102.0,4522.0,18654.0,332.0,9.0,4121.0,17871.0,2564.0,43.0,15106.0,2.0,62.0,1257.0,1153.0,4086.0,19515.0,1137.0,1416.0,19392.0,480.0,139.0,692.0
4389,42.0,905.0,2.0,9.0,4.0,10.0,12804.0,16.0,21.0,4499.0,18646.0,2324.0,37.0,78.0,17865.0,82.0,39.0,15055.0,159.0,23.0,4818.0,571.0,376.0,150.0,15944.0,425.0,32.0,74.0,407.0,13102.0
4438,1.0,92.0,333.0,225.0,13284.0,3.0,8266.0,109.0,765.0,58.0,126.0,12749.0,19347.0,11056.0,54.0,193.0,2.0,22.0,18.0,1672.0,537.0,925.0,43.0,19469.0,15912.0,65.0,59.0,9969.0,64.0,12987.0
4487,707.0,5.0,54.0,458.0,22.0,4.0,97.0,41.0,19821.0,4546.0,109.0,30.0,19493.0,3259.0,17783.0,1467.0,69.0,1078.0,175.0,482.0,4771.0,0.0,3.0,42.0,15673.0,86.0,2406.0,148.0,16683.0,1514.0
4536,104.0,2.0,1.0,16443.0,56.0,13778.0,2092.0,2652.0,0.0,92.0,32.0,10126.0,19415.0,3865.0,14.0,266.0,6.0,15083.0,43.0,1100.0,151.0,30.0,8.0,486.0,341.0,2645.0,60.0,8540.0,490.0,920.0
