,STOMACH,GANGLIA,LARGE_INTESTINE,HAEMATOPOIETIC,SKIN,THYROID,PANCREAS,AERODIGESTIVE,BILIARY,URINARY,KIDNEY,SOFT_TISSUE,SALIVARY,PLEURA,OESOPHAGUS,PROSTATE,ENDOMETRIUM,BREAST,BONE,LIVER,OVARY,NERVOUS,LUNG
2248,0.0,1.0,4.0,2.0,3.0,7.0,5.0,8.0,9.0,6.0,10.0,18.0,11.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2297,0.0,1.0,4.0,2.0,3.0,6.0,5.0,7.0,8.0,9.0,10.0,18.0,11.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2346,0.0,1.0,5.0,2.0,4.0,3.0,6.0,12.0,8.0,7.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2395,0.0,1.0,4.0,6.0,3.0,2.0,5.0,7.0,8.0,9.0,10.0,18.0,11.0,12.0,13.0,15.0,21.0,14.0,16.0,17.0,19.0,20.0,22.0
2444,0.0,1.0,2.0,3.0,5.0,4.0,6.0,7.0,8.0,9.0,10.0,17.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,18.0,19.0,13.0
2493,0.0,9.0,4.0,5.0,7.0,6.0,3.0,10.0,13.0,1.0,15.0,2.0,14.0,12.0,20.0,8.0,11.0,17.0,21.0,16.0,18.0,19.0,22.0
2542,0.0,10.0,6.0,2.0,4.0,3.0,8.0,7.0,9.0,1.0,11.0,5.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2591,0.0,9.0,1.0,2.0,3.0,6.0,4.0,12.0,8.0,5.0,10.0,7.0,11.0,13.0,20.0,15.0,21.0,14.0,16.0,17.0,18.0,19.0,22.0
2640,3.0,19.0,0.0,5.0,2.0,1.0,6.0,7.0,9.0,4.0,10.0,8.0,11.0,12.0,20.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,22.0
2689,0.0,2.0,3.0,4.0,6.0,5.0,9.0,8.0,10.0,1.0,11.0,7.0,12.0,13.0,21.0,14.0,16.0,17.0,18.0,19.0,20.0,15.0,22.0
2738,3.0,10.0,0.0,4.0,2.0,1.0,5.0,7.0,8.0,20.0,11.0,6.0,12.0,13.0,9.0,14.0,21.0,15.0,16.0,17.0,18.0,19.0,22.0
2787,0.0,10.0,6.0,2.0,4.0,3.0,8.0,7.0,9.0,1.0,11.0,5.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2836,0.0,13.0,5.0,2.0,4.0,3.0,7.0,6.0,8.0,1.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,21.0,18.0,19.0,9.0,20.0,22.0
2885,0.0,10.0,4.0,1.0,3.0,2.0,6.0,5.0,8.0,9.0,11.0,7.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2934,0.0,10.0,6.0,2.0,4.0,3.0,8.0,7.0,9.0,1.0,11.0,5.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
2983,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,10.0,13.0,12.0,11.0,14.0,8.0,21.0,9.0,18.0,19.0,17.0,16.0,15.0,20.0,22.0
3032,6.0,0.0,1.0,3.0,4.0,8.0,7.0,2.0,10.0,13.0,12.0,11.0,14.0,5.0,20.0,9.0,16.0,17.0,22.0,15.0,18.0,19.0,21.0
3081,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,10.0,20.0,12.0,11.0,13.0,8.0,21.0,9.0,16.0,17.0,15.0,14.0,18.0,19.0,22.0
3130,0.0,2.0,3.0,5.0,7.0,6.0,1.0,4.0,11.0,14.0,13.0,8.0,12.0,9.0,21.0,10.0,18.0,19.0,17.0,16.0,15.0,20.0,22.0
3179,0.0,3.0,4.0,14.0,5.0,2.0,1.0,6.0,10.0,12.0,11.0,13.0,9.0,7.0,21.0,8.0,17.0,18.0,16.0,15.0,19.0,20.0,22.0
3228,0.0,9.0,3.0,4.0,5.0,1.0,2.0,7.0,11.0,6.0,13.0,18.0,12.0,10.0,20.0,8.0,16.0,17.0,15.0,21.0,14.0,19.0,22.0
3277,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,10.0,20.0,12.0,11.0,13.0,8.0,21.0,9.0,16.0,17.0,15.0,14.0,18.0,19.0,22.0
3326,0.0,1.0,2.0,3.0,6.0,5.0,4.0,9.0,10.0,13.0,12.0,11.0,14.0,7.0,21.0,8.0,17.0,18.0,16.0,15.0,19.0,20.0,22.0
3375,0.0,2.0,3.0,4.0,6.0,5.0,7.0,10.0,11.0,1.0,14.0,13.0,12.0,8.0,15.0,9.0,17.0,18.0,16.0,21.0,19.0,20.0,22.0
3424,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,10.0,13.0,12.0,11.0,14.0,8.0,21.0,9.0,15.0,18.0,17.0,16.0,19.0,20.0,22.0
3473,0.0,1.0,4.0,8.0,3.0,2.0,5.0,13.0,7.0,6.0,9.0,10.0,11.0,22.0,12.0,15.0,20.0,14.0,16.0,17.0,18.0,19.0,21.0
3522,0.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3571,0.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3620,0.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3669,3.0,5.0,1.0,7.0,8.0,0.0,9.0,2.0,10.0,4.0,11.0,12.0,13.0,14.0,19.0,15.0,16.0,20.0,17.0,18.0,6.0,22.0,21.0
3718,1.0,5.0,6.0,3.0,4.0,0.0,8.0,7.0,9.0,2.0,12.0,13.0,14.0,15.0,10.0,16.0,17.0,21.0,18.0,19.0,11.0,20.0,22.0
3767,4.0,5.0,1.0,8.0,0.0,2.0,3.0,7.0,13.0,6.0,9.0,10.0,11.0,12.0,16.0,17.0,21.0,14.0,18.0,15.0,19.0,20.0,22.0
3816,0.0,6.0,4.0,13.0,1.0,3.0,2.0,7.0,9.0,5.0,10.0,11.0,12.0,8.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
3865,0.0,4.0,1.0,6.0,3.0,2.0,7.0,5.0,10.0,14.0,12.0,11.0,15.0,9.0,21.0,8.0,18.0,19.0,17.0,16.0,13.0,20.0,22.0
3914,5.0,6.0,1.0,7.0,0.0,3.0,4.0,2.0,13.0,9.0,8.0,10.0,11.0,12.0,16.0,17.0,15.0,21.0,14.0,18.0,19.0,20.0,22.0
3963,0.0,1.0,5.0,2.0,4.0,3.0,8.0,6.0,9.0,10.0,11.0,12.0,13.0,7.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4012,3.0,4.0,0.0,6.0,1.0,5.0,2.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,20.0,22.0,21.0,15.0,16.0,17.0,18.0,19.0,14.0
4061,0.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4110,4.0,5.0,2.0,9.0,1.0,0.0,3.0,6.0,7.0,8.0,10.0,11.0,12.0,13.0,14.0,22.0,20.0,19.0,16.0,17.0,21.0,18.0,15.0
4159,0.0,1.0,5.0,2.0,4.0,3.0,6.0,12.0,8.0,9.0,10.0,7.0,11.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4208,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,10.0,13.0,12.0,11.0,14.0,9.0,21.0,8.0,17.0,18.0,16.0,15.0,19.0,20.0,22.0
4257,6.0,0.0,4.0,1.0,3.0,2.0,5.0,7.0,8.0,9.0,10.0,11.0,12.0,16.0,13.0,15.0,21.0,14.0,17.0,18.0,19.0,20.0,22.0
4306,1.0,0.0,2.0,3.0,5.0,4.0,6.0,9.0,7.0,19.0,8.0,16.0,10.0,11.0,12.0,22.0,20.0,13.0,15.0,21.0,17.0,18.0,14.0
4355,0.0,1.0,2.0,6.0,3.0,7.0,4.0,5.0,8.0,15.0,9.0,10.0,11.0,12.0,20.0,22.0,21.0,13.0,16.0,17.0,18.0,19.0,14.0
4404,0.0,2.0,6.0,3.0,5.0,4.0,8.0,7.0,9.0,1.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4453,0.0,1.0,2.0,4.0,7.0,6.0,5.0,3.0,11.0,19.0,13.0,8.0,12.0,10.0,20.0,9.0,15.0,16.0,14.0,21.0,17.0,18.0,22.0
4502,3.0,5.0,0.0,6.0,2.0,7.0,4.0,1.0,9.0,19.0,10.0,8.0,11.0,12.0,20.0,22.0,14.0,15.0,21.0,16.0,17.0,18.0,13.0
4551,0.0,5.0,6.0,1.0,7.0,2.0,4.0,3.0,9.0,19.0,10.0,8.0,11.0,15.0,12.0,14.0,20.0,13.0,16.0,22.0,17.0,18.0,21.0
4600,3.0,0.0,1.0,7.0,2.0,5.0,6.0,4.0,9.0,19.0,10.0,8.0,11.0,12.0,20.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,22.0
4649,3.0,0.0,1.0,4.0,2.0,5.0,6.0,7.0,9.0,19.0,10.0,8.0,11.0,12.0,20.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,22.0
4698,0.0,1.0,4.0,7.0,3.0,2.0,6.0,5.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4747,1.0,2.0,3.0,15.0,6.0,5.0,0.0,4.0,7.0,18.0,8.0,9.0,10.0,11.0,22.0,14.0,13.0,12.0,19.0,21.0,16.0,17.0,20.0
4796,7.0,0.0,1.0,4.0,2.0,5.0,6.0,3.0,9.0,19.0,10.0,8.0,11.0,12.0,20.0,13.0,14.0,15.0,21.0,16.0,17.0,18.0,22.0
4845,0.0,1.0,6.0,2.0,4.0,3.0,8.0,7.0,9.0,10.0,11.0,5.0,12.0,13.0,14.0,15.0,16.0,21.0,17.0,18.0,19.0,20.0,22.0
4894,0.0,1.0,2.0,3.0,5.0,4.0,8.0,7.0,10.0,20.0,11.0,6.0,12.0,9.0,13.0,15.0,21.0,14.0,16.0,17.0,18.0,19.0,22.0
