,ZNF490_DEL,MTAP_DEL,GLI3_MUT,DEFB109P1_DEL,PRAMEF2_DEL,AXDND1_AMP,FLT3_MUT,JAK2_AMP,NRAS_MUT,DACH2_DEL,DPP6_DEL,APBA1_AMP,CERS6_DEL,ZMAT4_DEL,AFF2_DEL,C9orf53_DEL,ADARB2_DEL,GLIS3_DEL,FGF1_AMP,LOC729737_DEL,C1orf227_DEL,ETS1_DEL,PRKCE_DEL,LRRC37A_AMP,PLD1_MUT,INSRR_MUT,ZDHHC11_DEL,CDKN2B_DEL,RGL2_MUT,LCE1E_DEL
4291,1.0,72.0,2617.0,6649.0,55.0,31.0,16685.0,15134.0,24.0,20532.0,14.0,0.0,95.0,560.0,238.0,134.0,20.0,681.0,26.0,707.0,802.0,2.0,1120.0,19600.0,16528.0,16420.0,143.0,352.0,1563.0,274.0
4340,0.0,11.0,655.0,128.0,1.0,2513.0,16684.0,15026.0,76.0,22.0,5742.0,317.0,62.0,4.0,7.0,926.0,1219.0,2.0,35.0,236.0,27.0,7324.0,11636.0,194.0,16516.0,16424.0,9351.0,135.0,923.0,756.0
4389,0.0,4.0,1676.0,17.0,172.0,18298.0,643.0,15145.0,44.0,1237.0,548.0,15.0,6914.0,7227.0,8.0,11374.0,96.0,260.0,13645.0,952.0,2146.0,51.0,56.0,2173.0,16500.0,448.0,1036.0,21011.0,308.0,2.0
4438,14.0,128.0,115.0,6885.0,218.0,135.0,989.0,7.0,309.0,71.0,271.0,432.0,31.0,39.0,5140.0,0.0,38.0,1355.0,107.0,43.0,4718.0,4858.0,12362.0,19699.0,16464.0,712.0,7389.0,129.0,16974.0,1067.0
4487,4.0,42.0,1012.0,50.0,66.0,188.0,626.0,16.0,16534.0,51.0,2082.0,208.0,7190.0,2122.0,583.0,80.0,20994.0,1052.0,239.0,8311.0,466.0,0.0,1447.0,28.0,531.0,16471.0,7365.0,1461.0,1974.0,3543.0
4536,12843.0,12.0,16568.0,86.0,182.0,421.0,16.0,30.0,10.0,1249.0,4518.0,989.0,7212.0,7439.0,88.0,25.0,24.0,509.0,2730.0,542.0,104.0,36.0,147.0,14.0,211.0,343.0,37.0,21257.0,17.0,1363.0
4585,0.0,214.0,16678.0,5.0,11987.0,1254.0,14.0,11.0,10.0,723.0,710.0,292.0,1545.0,7434.0,41.0,143.0,21115.0,4795.0,13625.0,8357.0,38.0,35.0,655.0,347.0,1564.0,186.0,6.0,2744.0,1399.0,3.0
4634,0.0,867.0,839.0,12.0,462.0,18186.0,13.0,15140.0,95.0,181.0,1781.0,134.0,942.0,2349.0,272.0,1069.0,2774.0,1210.0,316.0,8379.0,5902.0,112.0,12389.0,559.0,165.0,296.0,22.0,37.0,3.0,4493.0
4683,60.0,37.0,294.0,20.0,8084.0,280.0,367.0,26.0,82.0,1068.0,32.0,374.0,52.0,9379.0,15.0,244.0,537.0,102.0,160.0,9192.0,10.0,7313.0,421.0,3.0,284.0,19.0,1525.0,290.0,1633.0,902.0
4732,0.0,36.0,230.0,10.0,253.0,206.0,42.0,2.0,3472.0,2439.0,234.0,955.0,107.0,7852.0,290.0,4.0,27.0,241.0,71.0,3.0,20.0,4931.0,1840.0,483.0,7497.0,11271.0,7579.0,474.0,317.0,198.0
4781,1.0,12.0,0.0,168.0,8026.0,18.0,8.0,55.0,63.0,1997.0,1385.0,13307.0,622.0,62.0,6581.0,860.0,2.0,5623.0,13553.0,19.0,67.0,78.0,11633.0,16.0,16463.0,817.0,40.0,699.0,201.0,259.0
4830,0.0,20.0,424.0,806.0,1126.0,18172.0,11.0,85.0,476.0,12.0,497.0,13246.0,24.0,7410.0,21.0,15.0,1540.0,93.0,723.0,389.0,599.0,22.0,174.0,87.0,207.0,1822.0,7390.0,339.0,54.0,47.0
4879,2.0,0.0,745.0,143.0,1594.0,554.0,166.0,1.0,16535.0,1263.0,484.0,12.0,16.0,60.0,4.0,13.0,1338.0,21.0,1664.0,290.0,1494.0,119.0,652.0,2738.0,499.0,26.0,63.0,2783.0,35.0,4818.0
