,DOCK1,WWTR1,LTBP2,NTN4,HRCT1,SLC4A3,AFAP1L1,SHISA4,NHS,ATAD5,PPIC,CYP26B1,PDLIM7,RGS20,ACSS1,UBTD1,SDC3,HSPG2,FASTKD1,GPR176,CTSL,BAIAP2,SLC25A19,FSTL3,STC1,C17orf62,BAG3,FAM127C,MET,RP11-244K5.8
3980,4.0,20.0,33.0,6.0,12.0,30.0,5.0,0.0,27.0,23.0,22.0,42.0,20715.0,59.0,18.0,19.0,13.0,29.0,9.0,63.0,44.0,39.0,31.0,81.0,7.0,91.0,45.0,107.0,28.0,2.0
4029,2.0,0.0,1.0,10.0,16.0,6.0,8.0,9.0,9939.0,23.0,18.0,30.0,15.0,17.0,11.0,12.0,14.0,19.0,13.0,66.0,7.0,28.0,68.0,54.0,25.0,5.0,32.0,353.0,35.0,42.0
4078,81.0,3.0,4.0,8.0,5.0,0.0,16.0,9.0,26.0,14.0,11.0,30.0,20704.0,37.0,20.0,6.0,197.0,18.0,7.0,131.0,22.0,41.0,27.0,11253.0,1.0,64.0,34.0,464.0,23.0,332.0
4127,2.0,28.0,14.0,0.0,41.0,13.0,1.0,6.0,26.0,9677.0,17.0,40.0,20699.0,39.0,16.0,23.0,24.0,7.0,5.0,91.0,25.0,11858.0,31.0,75.0,4.0,20.0,44.0,330.0,11.0,9.0
4176,4.0,5.0,17.0,0.0,42.0,22.0,2.0,7.0,9372.0,28.0,24.0,40.0,65.0,1.0,16.0,18.0,16340.0,33.0,35.0,80.0,19.0,11807.0,32.0,11.0,9.0,54.0,27.0,359.0,36.0,23079.0
4225,49.0,7.0,4.0,0.0,54.0,32.0,6.0,17256.0,9337.0,12.0,19.0,45.0,2.0,18987.0,23.0,26.0,16322.0,1.0,16.0,84.0,46.0,39.0,24.0,29.0,8.0,63.0,55.0,15.0,13.0,233.0
4274,13.0,7.0,35.0,1.0,0.0,4.0,3.0,9.0,21.0,9801.0,23.0,42.0,20668.0,5.0,6.0,28.0,11.0,19.0,32.0,3774.0,48.0,1070.0,70.0,153.0,2.0,78.0,33.0,59.0,38.0,14.0
4323,0.0,3.0,37.0,1.0,25.0,19.0,9.0,21.0,10677.0,11.0,12.0,88.0,20708.0,14.0,15.0,31.0,33.0,18.0,17.0,43.0,10.0,13.0,62.0,51.0,35.0,38.0,4.0,20.0,28.0,2.0
4372,5.0,56.0,19.0,1.0,75.0,3.0,9.0,0.0,28.0,17.0,15.0,25.0,78.0,19036.0,7.0,26.0,61.0,18.0,46.0,54.0,43.0,14.0,80.0,60.0,2.0,47.0,19753.0,13.0,30.0,4.0
4421,74.0,5.0,0.0,6.0,4.0,28.0,11.0,175.0,3.0,7.0,42.0,21.0,2.0,1.0,41.0,2106.0,67.0,33.0,34.0,20.0,51.0,11818.0,59.0,10.0,25.0,56.0,44.0,18.0,97.0,62.0
4470,78.0,2.0,3.0,1.0,70.0,10.0,11.0,17290.0,6.0,34.0,24.0,14.0,20646.0,0.0,26.0,330.0,35.0,5.0,48.0,67.0,76.0,112.0,4.0,150.0,40.0,58.0,1045.0,347.0,71.0,25.0
4519,97.0,6.0,4.0,0.0,3.0,9.0,14.0,115.0,5.0,27.0,39.0,28.0,42.0,1.0,37.0,16.0,24.0,26.0,31.0,32.0,99.0,11829.0,20.0,11232.0,11.0,78.0,2.0,18.0,18784.0,12.0
4568,5.0,7.0,3.0,4.0,0.0,6.0,20.0,2.0,17.0,16.0,31.0,47.0,9.0,1.0,7216.0,21.0,59.0,15987.0,24.0,27.0,43.0,11722.0,38.0,102.0,12.0,73.0,15.0,32.0,18762.0,23137.0
4617,6.0,8.0,3.0,1.0,4.0,5.0,15.0,16.0,9408.0,24.0,28.0,13.0,2.0,0.0,30.0,26.0,14.0,19.0,25.0,58.0,40.0,11778.0,62.0,7.0,232.0,52.0,39.0,36.0,186.0,33.0
4666,2.0,4.0,3.0,6.0,72.0,9.0,15.0,17323.0,1.0,25.0,40.0,38.0,55.0,0.0,26.0,7.0,53.0,31.0,23.0,71.0,69.0,11819.0,49.0,119.0,65.0,47.0,58.0,19.0,78.0,13.0
4715,2.0,4.0,31.0,7.0,11.0,1.0,8.0,58.0,3.0,23.0,22.0,9.0,6.0,0.0,40.0,19.0,13.0,15937.0,28.0,57.0,20.0,11768.0,72.0,143.0,32.0,45.0,2256.0,10.0,18862.0,39.0
4764,5.0,0.0,3.0,9.0,4.0,13.0,8.0,133.0,17.0,15.0,24.0,11.0,1.0,33.0,39.0,7.0,18.0,16.0,32.0,50.0,36.0,31.0,72.0,6.0,37.0,44.0,45.0,27.0,209.0,176.0
4813,74.0,8.0,3.0,9.0,4.0,11.0,17.0,79.0,0.0,13.0,22.0,2.0,7.0,32.0,57.0,1.0,18.0,10.0,49.0,31.0,37.0,2216.0,30.0,147.0,14.0,26.0,19753.0,15.0,201.0,59.0
4862,52.0,1.0,18.0,8.0,5.0,0.0,7.0,2.0,10.0,14.0,39.0,12.0,20656.0,56.0,40.0,21.0,38.0,48.0,33.0,43.0,67.0,6.0,42.0,142.0,63.0,35.0,26.0,50.0,18779.0,51.0
