,ZBTB20_AMP,NAALADL2_DEL,CDC73_AMP,GSTTP1_AMP,PCCB_DEL,BTNL3_DEL,KIR2DL4_AMP,NRXN1_DEL,SORD_AMP,MRGPRX1_DEL,ARHGAP22_DEL,GALNTL6_DEL,CES1P1_DEL,KIR3DL1_AMP,UBE2Q2P2_AMP,BTNL8_DEL,LPA_AMP,UBE2Q2P3_AMP,ADAM3A_AMP,XKR6_AMP,RPS17L_AMP,GOLGA6L9_AMP,RPS17_AMP,BCAS1_AMP,PCDHA5_DEL,PCDHA2_DEL,PCDHA1_DEL,PCDHA7_DEL,PCDHA4_DEL,PCDHA6_DEL
3754,0.0,3.0,1.0,17.0,14.0,18.0,7.0,12.0,2.0,84.0,169.0,13.0,11.0,15.0,384.0,36.0,38.0,383.0,19.0,5.0,408.0,406.0,407.0,4.0,24.0,27.0,28.0,22.0,25.0,23.0
3803,0.0,2.0,1.0,6.0,3.0,12.0,7.0,8.0,5.0,46.0,102.0,96.0,27.0,13.0,55.0,19.0,18.0,56.0,21.0,54.0,69.0,68.0,67.0,11.0,35.0,33.0,34.0,36.0,32.0,37.0
3852,0.0,2.0,1.0,5.0,3.0,12.0,16.0,19.0,36.0,58.0,25.0,10.0,4.0,17.0,27.0,15.0,13.0,28.0,34.0,8.0,30.0,29.0,26.0,7.0,76.0,73.0,74.0,72.0,75.0,70.0
3901,0.0,7.0,2.0,3.0,13.0,41.0,42.0,4.0,48.0,1.0,8.0,156.0,103.0,97.0,32.0,16.0,11.0,33.0,30.0,14.0,36.0,35.0,37.0,15.0,23.0,27.0,22.0,21.0,25.0,24.0
3950,0.0,10.0,4.0,12.0,54.0,7.0,84.0,13.0,3.0,16.0,14.0,1.0,22.0,49.0,333.0,11.0,33.0,334.0,39.0,19.0,443.0,445.0,444.0,17.0,42.0,40.0,44.0,45.0,43.0,46.0
3999,0.0,7.0,1.0,3.0,6.0,156.0,10.0,22.0,14.0,11.0,4.0,9.0,55.0,13.0,17.0,477.0,30.0,18.0,38.0,40.0,21.0,20.0,19.0,12.0,71.0,70.0,72.0,68.0,73.0,69.0
4048,0.0,3.0,5.0,2.0,12.0,14.0,90.0,9.0,8.0,7.0,4.0,6.0,16.0,89.0,21.0,20.0,1.0,22.0,83.0,13.0,25.0,26.0,27.0,11.0,44.0,40.0,39.0,41.0,45.0,42.0
4097,0.0,4.0,8.0,2.0,7.0,11.0,12.0,14.0,6.0,3.0,1.0,5.0,18.0,13.0,17.0,34.0,9.0,16.0,88.0,64.0,19.0,20.0,21.0,28.0,45.0,42.0,41.0,47.0,44.0,46.0
4146,0.0,8.0,14.0,4.0,9.0,1.0,148.0,15.0,7.0,13.0,6.0,2.0,5.0,180.0,23.0,10.0,3.0,24.0,30.0,146.0,40.0,41.0,42.0,11.0,160.0,159.0,162.0,163.0,158.0,164.0
4195,2.0,1.0,8.0,3.0,4.0,124.0,7.0,21.0,41.0,6.0,0.0,55.0,48.0,10.0,27.0,276.0,12.0,26.0,36.0,18.0,32.0,33.0,34.0,52.0,63.0,65.0,68.0,67.0,69.0,66.0
4244,2.0,25.0,4.0,0.0,15.0,21.0,56.0,6.0,3.0,19.0,1.0,20.0,7.0,66.0,13.0,108.0,69.0,12.0,28.0,50.0,16.0,17.0,18.0,14.0,150.0,156.0,154.0,153.0,151.0,155.0
4293,1.0,2.0,18.0,0.0,5.0,35.0,43.0,9.0,71.0,6.0,3.0,4.0,64.0,44.0,30.0,19.0,21.0,29.0,109.0,15.0,37.0,36.0,38.0,14.0,78.0,82.0,81.0,83.0,80.0,84.0
4342,2.0,8.0,21.0,6.0,10.0,34.0,72.0,45.0,24.0,16.0,1.0,71.0,7.0,78.0,12.0,117.0,5.0,11.0,41.0,115.0,13.0,14.0,15.0,9.0,110.0,108.0,109.0,112.0,113.0,111.0
4391,0.0,2.0,15.0,1.0,7.0,18.0,21.0,19.0,8.0,4.0,5.0,6.0,17.0,23.0,12.0,61.0,3.0,11.0,60.0,32.0,13.0,10.0,14.0,34.0,68.0,71.0,72.0,67.0,70.0,73.0
4440,0.0,14.0,3.0,8.0,1.0,4.0,451.0,13.0,2.0,38.0,6.0,104.0,9.0,480.0,19.0,7.0,164.0,18.0,5.0,62.0,20.0,22.0,21.0,46.0,72.0,69.0,74.0,70.0,73.0,71.0
4489,0.0,10.0,1.0,3.0,5.0,20.0,122.0,7.0,2.0,4.0,9.0,14.0,40.0,154.0,16.0,52.0,26.0,15.0,6.0,8.0,17.0,18.0,19.0,45.0,113.0,118.0,115.0,117.0,119.0,116.0
4538,0.0,21.0,1.0,5.0,3.0,26.0,418.0,19.0,25.0,20.0,6.0,159.0,7.0,364.0,15.0,29.0,30.0,14.0,2.0,24.0,16.0,18.0,17.0,47.0,59.0,61.0,62.0,57.0,58.0,63.0
4587,0.0,10.0,1.0,4.0,2.0,19.0,140.0,30.0,6.0,22.0,7.0,466.0,3.0,66.0,13.0,11.0,28.0,12.0,5.0,8.0,17.0,15.0,16.0,18.0,78.0,75.0,77.0,80.0,81.0,79.0
4636,0.0,21.0,1.0,2.0,3.0,5.0,63.0,4.0,19.0,8.0,22.0,7.0,18.0,49.0,11.0,10.0,144.0,12.0,9.0,28.0,14.0,15.0,13.0,128.0,84.0,86.0,87.0,88.0,80.0,81.0
4685,0.0,3.0,7.0,2.0,8.0,1.0,62.0,5.0,20.0,6.0,11.0,4.0,10.0,47.0,22.0,9.0,30.0,21.0,13.0,28.0,23.0,24.0,25.0,71.0,39.0,37.0,35.0,38.0,40.0,36.0
4734,0.0,8.0,1.0,9.0,2.0,3.0,537.0,7.0,10.0,22.0,31.0,23.0,18.0,737.0,14.0,4.0,559.0,13.0,6.0,12.0,16.0,15.0,17.0,74.0,39.0,36.0,37.0,41.0,38.0,40.0
4783,3.0,4.0,6.0,33.0,0.0,30.0,38.0,5.0,69.0,15.0,27.0,186.0,140.0,37.0,11.0,46.0,13.0,8.0,2.0,31.0,10.0,9.0,7.0,152.0,26.0,21.0,25.0,22.0,23.0,20.0
4832,0.0,2.0,1.0,4.0,3.0,10.0,128.0,8.0,6.0,11.0,25.0,19.0,18.0,123.0,12.0,9.0,28.0,13.0,7.0,26.0,17.0,15.0,16.0,34.0,85.0,88.0,82.0,87.0,84.0,86.0
4881,0.0,18.0,1.0,4.0,7.0,2.0,19.0,8.0,24.0,105.0,56.0,25.0,9.0,27.0,13.0,3.0,98.0,14.0,6.0,21.0,15.0,17.0,16.0,26.0,37.0,34.0,31.0,35.0,33.0,32.0
