,Akt_pS473,CDK1,PRAS40_pT246,Heregulin,AR,c-Jun_pS73,MEK1_pS217_S221,HER3,Acetyl-a-Tubulin (Lys40),TIGAR,Src_pY416,TFRC,FRA1,PKC-pan_BetaII_pS660,Syk,JNK2,CD49b,YB-1_pS102,Lck,Rab25,Smad3,E-Cadherin,Bax,RBM15,Annexin 1,Src_pY527,4E-BP1_pS65,Tuberin_pT1462,Src,Annexin_VII
1029,0.0,8.0,30.0,1.0,3.0,9.0,6.0,15.0,17.0,11.0,96.0,2.0,27.0,13.0,72.0,5.0,149.0,50.0,101.0,121.0,7.0,43.0,86.0,22.0,24.0,20.0,41.0,12.0,23.0,19.0
1078,0.0,10.0,3.0,4.0,11.0,1.0,23.0,13.0,29.0,15.0,50.0,12.0,2.0,7.0,20.0,26.0,33.0,51.0,90.0,47.0,17.0,44.0,53.0,34.0,8.0,19.0,61.0,14.0,99.0,24.0
1127,0.0,1.0,4.0,7.0,12.0,2.0,5.0,8.0,60.0,3.0,19.0,6.0,20.0,11.0,30.0,27.0,40.0,31.0,22.0,61.0,15.0,50.0,92.0,18.0,16.0,47.0,38.0,23.0,32.0,13.0
1176,0.0,2.0,4.0,6.0,5.0,1.0,7.0,9.0,18.0,8.0,59.0,3.0,28.0,11.0,46.0,38.0,13.0,40.0,29.0,39.0,42.0,121.0,145.0,27.0,20.0,19.0,86.0,14.0,16.0,43.0
1225,0.0,1.0,3.0,13.0,40.0,2.0,15.0,6.0,66.0,9.0,18.0,4.0,36.0,23.0,25.0,28.0,19.0,29.0,8.0,57.0,87.0,38.0,45.0,43.0,77.0,12.0,33.0,32.0,20.0,35.0
1274,0.0,3.0,19.0,1.0,7.0,2.0,10.0,4.0,15.0,6.0,28.0,8.0,5.0,11.0,41.0,30.0,17.0,9.0,50.0,24.0,14.0,120.0,12.0,26.0,48.0,25.0,44.0,63.0,34.0,22.0
1323,0.0,6.0,15.0,16.0,4.0,1.0,5.0,2.0,25.0,30.0,55.0,9.0,10.0,3.0,67.0,37.0,8.0,7.0,29.0,24.0,27.0,48.0,133.0,19.0,45.0,12.0,13.0,20.0,23.0,74.0
1372,1.0,5.0,7.0,8.0,3.0,0.0,4.0,13.0,14.0,12.0,43.0,11.0,2.0,6.0,28.0,10.0,23.0,26.0,71.0,138.0,48.0,125.0,18.0,22.0,16.0,9.0,68.0,31.0,46.0,39.0
1421,2.0,3.0,14.0,6.0,5.0,0.0,12.0,24.0,1.0,16.0,8.0,7.0,10.0,4.0,52.0,23.0,27.0,44.0,34.0,33.0,9.0,36.0,70.0,47.0,11.0,63.0,67.0,25.0,22.0,89.0
1470,2.0,0.0,8.0,4.0,3.0,20.0,16.0,23.0,27.0,7.0,6.0,5.0,18.0,1.0,10.0,21.0,47.0,76.0,13.0,12.0,19.0,24.0,14.0,113.0,37.0,29.0,88.0,35.0,25.0,62.0
1519,3.0,0.0,1.0,7.0,18.0,10.0,8.0,2.0,17.0,11.0,12.0,9.0,5.0,6.0,49.0,38.0,15.0,30.0,50.0,4.0,23.0,33.0,28.0,111.0,54.0,86.0,13.0,101.0,25.0,106.0
1568,0.0,1.0,2.0,3.0,18.0,10.0,13.0,7.0,5.0,9.0,12.0,14.0,19.0,6.0,4.0,40.0,8.0,15.0,23.0,29.0,17.0,56.0,24.0,26.0,54.0,43.0,66.0,38.0,31.0,121.0
1617,0.0,2.0,1.0,15.0,72.0,42.0,6.0,5.0,3.0,7.0,16.0,10.0,14.0,4.0,75.0,20.0,13.0,12.0,8.0,59.0,32.0,62.0,17.0,63.0,96.0,38.0,34.0,33.0,18.0,36.0
