,hsa-miR-142-5p,hsa-let-7e,hsa-miR-425,hsa-miR-223,hsa-miR-218,hsa-miR-147b,hsa-miR-1307,hsa-miR-106b,hsa-miR-642,hsa-miR-151-3p,hsa-miR-155,hsa-miR-24,hsa-miR-1977,hsa-miR-297,hsa-miR-578,hsa-miR-15b,hcmv-miR-US33-3p,hsa-miR-744,hsa-miR-630,hsa-miR-944,hsa-miR-101,hsa-miR-1248,hsa-miR-206,hsa-miR-320d,hsa-miR-769-5p,hsa-miR-133b,hsa-miR-379,hsv1-miR-H1,hsa-miR-599,hsa-miR-1245
4036,1.0,0.0,4.0,2.0,8.0,3.0,22.0,49.0,75.0,27.0,6.0,11.0,40.0,111.0,308.0,227.0,13.0,23.0,9.0,222.0,360.0,16.0,25.0,185.0,30.0,94.0,386.0,7.0,81.0,18.0
4085,1.0,0.0,12.0,2.0,6.0,15.0,42.0,48.0,594.0,82.0,91.0,45.0,11.0,26.0,18.0,314.0,214.0,43.0,3.0,21.0,571.0,98.0,229.0,22.0,23.0,13.0,28.0,239.0,151.0,30.0
4134,1.0,0.0,17.0,2.0,3.0,6.0,7.0,80.0,11.0,334.0,28.0,5.0,84.0,137.0,36.0,319.0,52.0,57.0,71.0,23.0,78.0,4.0,133.0,12.0,225.0,121.0,103.0,85.0,161.0,22.0
4183,0.0,1.0,50.0,11.0,2.0,7.0,5.0,30.0,44.0,58.0,4.0,34.0,13.0,108.0,205.0,266.0,398.0,267.0,31.0,39.0,292.0,24.0,70.0,144.0,369.0,493.0,6.0,77.0,308.0,21.0
4232,0.0,1.0,21.0,8.0,4.0,2.0,13.0,165.0,141.0,3.0,149.0,12.0,50.0,14.0,18.0,9.0,99.0,183.0,80.0,20.0,60.0,168.0,39.0,28.0,562.0,68.0,78.0,37.0,42.0,173.0
4281,1.0,0.0,83.0,2.0,13.0,4.0,3.0,28.0,8.0,5.0,303.0,11.0,84.0,132.0,62.0,77.0,91.0,207.0,67.0,43.0,298.0,24.0,6.0,7.0,562.0,229.0,10.0,27.0,9.0,46.0
4330,1.0,0.0,10.0,70.0,13.0,36.0,2.0,35.0,4.0,12.0,25.0,22.0,47.0,298.0,103.0,123.0,6.0,513.0,201.0,3.0,111.0,62.0,179.0,9.0,204.0,37.0,71.0,517.0,67.0,14.0
4379,0.0,1.0,46.0,2.0,14.0,16.0,11.0,26.0,27.0,9.0,72.0,73.0,4.0,131.0,6.0,171.0,30.0,90.0,161.0,10.0,223.0,172.0,146.0,5.0,243.0,81.0,69.0,269.0,17.0,7.0
4428,0.0,2.0,1.0,43.0,24.0,16.0,29.0,46.0,322.0,213.0,95.0,17.0,106.0,268.0,51.0,5.0,18.0,8.0,4.0,10.0,47.0,294.0,26.0,86.0,295.0,93.0,391.0,84.0,164.0,87.0
4477,4.0,2.0,113.0,0.0,27.0,74.0,7.0,39.0,65.0,531.0,16.0,17.0,13.0,184.0,85.0,104.0,22.0,1.0,18.0,5.0,35.0,11.0,14.0,189.0,9.0,83.0,351.0,49.0,64.0,36.0
4526,0.0,1.0,4.0,2.0,15.0,3.0,9.0,8.0,7.0,26.0,34.0,13.0,6.0,139.0,12.0,22.0,11.0,14.0,33.0,5.0,29.0,19.0,24.0,160.0,334.0,193.0,288.0,72.0,150.0,190.0
4575,0.0,51.0,2.0,1.0,65.0,8.0,29.0,3.0,186.0,97.0,333.0,140.0,39.0,116.0,232.0,82.0,7.0,172.0,203.0,9.0,54.0,55.0,38.0,68.0,49.0,125.0,190.0,361.0,165.0,521.0
4624,0.0,9.0,2.0,3.0,76.0,180.0,114.0,133.0,15.0,90.0,11.0,516.0,1.0,334.0,48.0,24.0,12.0,4.0,63.0,7.0,54.0,88.0,306.0,8.0,193.0,152.0,80.0,99.0,19.0,200.0
4673,0.0,2.0,15.0,8.0,39.0,10.0,4.0,21.0,7.0,188.0,20.0,50.0,3.0,366.0,367.0,17.0,9.0,19.0,134.0,33.0,433.0,13.0,154.0,55.0,235.0,411.0,308.0,38.0,6.0,205.0
4722,2.0,0.0,4.0,3.0,11.0,76.0,7.0,51.0,14.0,45.0,325.0,48.0,1.0,552.0,226.0,24.0,8.0,176.0,251.0,196.0,77.0,61.0,43.0,165.0,250.0,68.0,27.0,30.0,28.0,34.0
4771,0.0,1.0,91.0,3.0,36.0,48.0,90.0,4.0,2.0,25.0,11.0,15.0,8.0,33.0,37.0,60.0,20.0,5.0,59.0,18.0,95.0,16.0,6.0,127.0,64.0,241.0,512.0,213.0,87.0,433.0
4820,1.0,0.0,6.0,4.0,9.0,24.0,12.0,13.0,27.0,70.0,227.0,81.0,8.0,163.0,155.0,219.0,99.0,430.0,64.0,3.0,2.0,263.0,23.0,65.0,244.0,393.0,94.0,230.0,379.0,154.0
4869,0.0,1.0,14.0,163.0,8.0,10.0,4.0,7.0,33.0,62.0,64.0,92.0,3.0,48.0,36.0,40.0,24.0,55.0,34.0,218.0,2.0,86.0,191.0,28.0,265.0,41.0,43.0,108.0,284.0,420.0
