,EP300_MUT,ARHGAP44_DEL,DIDO1_AMP,LOC643837_DEL,DLG2_AMP,EIF4G1_MUT,TSHZ2_AMP,MCEE_AMP,KRAS.G12_13_MUT,GRM5_DEL,THSD7B_AMP,CDH13_DEL,ADAM5_DEL,C15orf2_MUT,PTPRN2_AMP,HAR1B_AMP,PAX5_DEL,GSTTP1_DEL,SLC25A24_DEL,ZBTB20_AMP,CSMD3_MUT,MIPEPP3_DEL,OR4N3P_DEL,LOC727924_DEL,CNTLN_DEL,MGAM_DEL,GSTM1_DEL,SCAPER_DEL,SIRPB1_AMP,HLA-H_DEL
3414,11.0,8156.0,18083.0,10619.0,13233.0,34.0,78.0,42.0,26.0,8.0,19183.0,64.0,53.0,15931.0,21629.0,23072.0,76.0,70.0,44.0,79.0,98.0,128.0,36.0,90.0,83.0,111.0,93.0,139.0,95.0,792.0
3463,13.0,14.0,16.0,117.0,18.0,10.0,27.0,139.0,102.0,51.0,58.0,39.0,91.0,121.0,68.0,57.0,9914.0,42.0,74.0,120.0,132.0,110.0,97.0,54.0,65.0,107.0,87.0,140.0,190.0,94.0
3512,8.0,18.0,32.0,10617.0,39.0,10.0,16943.0,45.0,14.0,57.0,19199.0,20198.0,87.0,47.0,38.0,23069.0,131.0,48.0,108.0,115.0,59.0,33.0,2761.0,174.0,98.0,28.0,95.0,111.0,125.0,130.0
3561,25.0,31.0,12.0,8.0,65.0,26.0,16945.0,119.0,20.0,303.0,19197.0,20197.0,83.0,15923.0,92.0,16.0,72.0,133.0,49.0,140.0,16127.0,105.0,2759.0,55.0,193.0,8848.0,69.0,89.0,151.0,142.0
3610,6.0,17.0,8.0,27.0,16.0,16214.0,35.0,69.0,108.0,22.0,55.0,37.0,79.0,23.0,15.0,94.0,102.0,63.0,790.0,99.0,156.0,100.0,2899.0,88.0,46.0,118.0,110.0,109.0,154.0,116.0
3659,27.0,33.0,18088.0,32.0,10.0,16212.0,30.0,19540.0,76.0,282.0,78.0,4.0,87.0,58.0,1.0,46.0,98.0,55.0,81.0,65.0,162.0,113.0,2770.0,111.0,77.0,122.0,110.0,104.0,192.0,178.0
3708,16.0,12.0,21.0,0.0,71.0,9.0,16946.0,127.0,31.0,33.0,19181.0,50.0,73.0,57.0,77.0,23070.0,64.0,137.0,92.0,148.0,110.0,11284.0,2885.0,109.0,74.0,98.0,101.0,108.0,136.0,139.0
3757,13.0,20.0,29.0,10617.0,27.0,16214.0,65.0,19536.0,24134.0,85.0,50.0,20203.0,118.0,15927.0,63.0,23072.0,56.0,58.0,761.0,139.0,138.0,130.0,99.0,78.0,116.0,83.0,69.0,111.0,107.0,153.0
3806,9.0,6.0,34.0,5.0,13227.0,11.0,16938.0,60.0,53.0,303.0,96.0,63.0,81.0,15922.0,21630.0,16.0,79.0,75.0,102.0,99.0,116.0,11272.0,39.0,119.0,118.0,59.0,26.0,93.0,89.0,129.0
3855,15.0,35.0,12.0,1.0,13231.0,16210.0,16943.0,19553.0,108.0,30.0,66.0,71.0,85.0,44.0,21627.0,23069.0,26.0,100.0,55.0,83.0,94.0,147.0,125.0,82.0,57.0,104.0,119.0,115.0,161.0,97.0
3904,0.0,6.0,18085.0,10614.0,17.0,9.0,16944.0,103.0,14.0,58.0,63.0,61.0,92.0,11.0,21630.0,97.0,9919.0,120.0,80.0,93.0,22.0,98.0,72.0,59.0,42.0,143.0,49.0,96.0,149.0,115.0
3953,19.0,22.0,18083.0,11.0,13230.0,13.0,55.0,45.0,100.0,279.0,95.0,89.0,71.0,83.0,21633.0,1.0,9912.0,144.0,110.0,151.0,136.0,103.0,2764.0,171.0,70.0,8851.0,139.0,98.0,157.0,150.0
4002,18.0,20.0,18084.0,10623.0,26.0,10.0,169.0,48.0,61.0,22.0,31.0,85.0,56.0,50.0,47.0,23072.0,159.0,114.0,95.0,73.0,120.0,65.0,111.0,122.0,9434.0,145.0,158.0,132.0,101.0,176.0
4051,26.0,84.0,18087.0,10637.0,35.0,16212.0,120.0,54.0,137.0,218.0,43.0,32.0,67.0,70.0,53.0,7.0,75.0,78.0,79.0,147.0,109.0,123.0,2766.0,93.0,9426.0,118.0,115.0,173.0,114.0,863.0
4100,18.0,24.0,18088.0,63.0,16.0,15.0,16945.0,28.0,124.0,39.0,61.0,20206.0,122.0,15933.0,68.0,64.0,9915.0,126.0,196.0,187.0,154.0,98.0,2770.0,77.0,9427.0,45.0,91.0,101.0,94.0,118.0
4149,22.0,96.0,18082.0,10615.0,69.0,7.0,16939.0,65.0,28.0,75.0,81.0,20203.0,148.0,73.0,23.0,23074.0,9914.0,5082.0,100.0,70.0,16129.0,103.0,2767.0,174.0,98.0,180.0,155.0,138.0,113.0,135.0
4198,32.0,44.0,18079.0,19.0,22.0,18.0,16937.0,45.0,34.0,205.0,24.0,108.0,80.0,15927.0,21626.0,0.0,51.0,161.0,112.0,171.0,110.0,50.0,2764.0,128.0,5.0,84.0,126.0,115.0,113.0,149.0
4247,30.0,8158.0,18086.0,33.0,27.0,21.0,17.0,63.0,106.0,350.0,61.0,20208.0,78.0,34.0,0.0,23074.0,97.0,73.0,174.0,166.0,160.0,71.0,138.0,168.0,172.0,69.0,165.0,105.0,128.0,841.0
4296,26.0,8.0,18089.0,0.0,34.0,16212.0,51.0,69.0,101.0,212.0,85.0,50.0,102.0,12.0,19.0,4.0,9920.0,5087.0,145.0,75.0,119.0,80.0,2773.0,93.0,42.0,72.0,129.0,126.0,141.0,797.0
4345,20.0,54.0,18080.0,10619.0,24.0,15.0,8.0,48.0,76.0,96.0,44.0,40.0,69.0,105.0,4.0,9.0,132.0,135.0,173.0,82.0,80.0,11280.0,28.0,146.0,191.0,46.0,125.0,159.0,124.0,88.0
4394,17.0,58.0,18092.0,10622.0,23.0,40.0,94.0,30.0,31.0,256.0,29.0,32.0,81.0,15929.0,21636.0,0.0,9921.0,127.0,98.0,106.0,109.0,79.0,2775.0,124.0,48.0,39.0,112.0,123.0,119.0,140.0
4443,23.0,25.0,1.0,82.0,103.0,16211.0,18.0,90.0,50.0,53.0,69.0,77.0,98.0,84.0,105.0,52.0,9911.0,114.0,121.0,85.0,112.0,11272.0,47.0,117.0,9422.0,70.0,151.0,148.0,91.0,188.0
4492,19.0,22.0,18082.0,10619.0,49.0,16213.0,58.0,115.0,130.0,89.0,21.0,20208.0,62.0,37.0,117.0,2.0,9916.0,66.0,128.0,106.0,126.0,11278.0,15.0,146.0,36.0,73.0,107.0,83.0,175.0,180.0
4541,24.0,19.0,18084.0,10634.0,43.0,15.0,32.0,31.0,55.0,34.0,18.0,47.0,117.0,15927.0,22.0,2.0,9911.0,81.0,132.0,77.0,79.0,11272.0,2766.0,149.0,49.0,8851.0,317.0,105.0,118.0,778.0
4590,16.0,47.0,8.0,19.0,41.0,14.0,173.0,59.0,15.0,55.0,19165.0,25.0,120.0,15934.0,21639.0,90.0,7.0,101.0,147.0,81.0,179.0,11286.0,2776.0,74.0,9435.0,64.0,141.0,95.0,170.0,171.0
4639,26.0,15.0,41.0,79.0,82.0,16210.0,44.0,65.0,146.0,64.0,19199.0,69.0,107.0,15924.0,21626.0,29.0,9925.0,31.0,117.0,55.0,124.0,11268.0,113.0,7472.0,125.0,57.0,132.0,112.0,108.0,159.0
4688,23.0,30.0,12.0,28.0,69.0,31.0,63.0,93.0,36.0,67.0,53.0,47.0,101.0,15927.0,42.0,23068.0,9915.0,49.0,89.0,68.0,39.0,11275.0,41.0,167.0,9423.0,124.0,106.0,87.0,83.0,165.0
4737,15.0,32.0,5.0,0.0,10.0,42.0,101.0,72.0,65.0,40.0,46.0,57.0,116.0,94.0,7.0,26.0,70.0,5083.0,121.0,120.0,88.0,11282.0,109.0,117.0,2.0,23.0,125.0,173.0,84.0,103.0
4786,19.0,41.0,18079.0,10612.0,27.0,0.0,2.0,35.0,77.0,230.0,53.0,20198.0,105.0,15926.0,57.0,43.0,9912.0,45.0,112.0,80.0,56.0,11274.0,67.0,114.0,76.0,8846.0,87.0,96.0,102.0,155.0
