,LPA_AMP,OR2T11_AMP,CDC73_AMP,LOC100506776_DEL,HLA-H_DEL,ZNF705G_AMP,MUC20_AMP,SIRPB1_AMP,HERC2P2_AMP,MSTO2P_AMP,DAP3_AMP,OR2T10_AMP,HCG4B_DEL,HLA-DQB1_DEL,GALNTL6_DEL,MLIP_DEL,PCCB_DEL,LCE3C_DEL,SMARCA2_DEL,TAG_DEL,KIAA1217_DEL,CES1P1_DEL,NBEAP1_AMP,CES1_AMP,MIR570_AMP,ARL17A_DEL,USP17L1P_AMP,FAM106CP_AMP,CCDC144A_AMP,MRC1_AMP
1989,1.0,36.0,3.0,17.0,4.0,23.0,7.0,8.0,16.0,19.0,20.0,93.0,2.0,24.0,40.0,0.0,9.0,64.0,15.0,722.0,21.0,76.0,32.0,53.0,5.0,52.0,86.0,225.0,224.0,165.0
2038,1.0,12.0,2.0,5.0,20.0,4.0,11.0,13.0,25.0,21.0,22.0,40.0,7.0,10.0,163.0,9.0,3.0,97.0,16.0,240.0,8.0,49.0,64.0,42.0,14.0,19.0,59.0,68.0,70.0,466.0
2087,0.0,8.0,2.0,41.0,11.0,7.0,15.0,3.0,641.0,5.0,6.0,25.0,14.0,16.0,171.0,18.0,17.0,116.0,37.0,26.0,1.0,10.0,52.0,31.0,30.0,9.0,44.0,22.0,23.0,720.0
2136,10.0,26.0,37.0,11.0,1.0,14.0,5.0,2.0,27.0,12.0,13.0,53.0,0.0,69.0,34.0,6.0,15.0,423.0,7.0,1140.0,28.0,35.0,29.0,25.0,16.0,505.0,63.0,19.0,20.0,333.0
2185,17.0,10.0,9.0,4.0,0.0,8.0,6.0,15.0,137.0,84.0,85.0,16.0,1.0,5.0,161.0,14.0,2.0,3043.0,22.0,8777.0,13.0,165.0,158.0,28.0,11.0,63.0,35.0,60.0,61.0,453.0
2234,4.0,42.0,3.0,21.0,1.0,14.0,6.0,41.0,131.0,11.0,12.0,159.0,2.0,17.0,15.0,0.0,24.0,4190.0,22.0,45.0,37.0,261.0,28.0,18.0,7.0,35.0,36.0,99.0,100.0,226.0
2283,5.0,31.0,2.0,8.0,4.0,20.0,6.0,10.0,64.0,19.0,18.0,69.0,3.0,13.0,25.0,0.0,12.0,37.0,22.0,55.0,11.0,36.0,21.0,49.0,15.0,24.0,38.0,29.0,28.0,442.0
2332,2.0,4.0,8.0,1.0,5.0,10.0,7.0,25.0,74.0,31.0,32.0,9.0,0.0,33.0,92.0,6.0,26.0,54.0,15.0,23.0,91.0,27.0,42.0,77.0,24.0,217.0,314.0,12.0,13.0,148.0
2381,3.0,8.0,5.0,14.0,0.0,13.0,6.0,51.0,49.0,16.0,15.0,12.0,4.0,20.0,43.0,1.0,9.0,306.0,11.0,19.0,28.0,310.0,36.0,26.0,17.0,32.0,38.0,83.0,84.0,795.0
2430,0.0,102.0,9.0,5.0,3.0,10.0,25.0,6.0,21.0,16.0,17.0,118.0,2.0,39.0,18.0,1.0,4.0,51.0,7.0,40.0,13.0,75.0,29.0,84.0,52.0,166.0,15.0,47.0,46.0,142.0
2479,0.0,1.0,5.0,7.0,3.0,11.0,14.0,34.0,4.0,27.0,28.0,16.0,12.0,2.0,6.0,180.0,22.0,25.0,17.0,13.0,8.0,99.0,33.0,35.0,32.0,36.0,39.0,63.0,64.0,77.0
2528,1.0,8.0,2.0,4.0,5.0,10.0,195.0,301.0,0.0,152.0,153.0,50.0,24.0,6.0,3.0,2152.0,17.0,9.0,16.0,85.0,43.0,285.0,36.0,28.0,1272.0,25.0,39.0,389.0,390.0,22.0
2577,0.0,2.0,9.0,12.0,3.0,1.0,19.0,15.0,31.0,104.0,105.0,6.0,7.0,4.0,8.0,17.0,36.0,10.0,13.0,16.0,46.0,41.0,48.0,21.0,39.0,49.0,5.0,82.0,83.0,99.0
2626,0.0,2.0,3.0,7.0,6.0,8.0,14.0,718.0,1.0,180.0,181.0,12.0,5.0,4.0,15.0,266.0,47.0,10.0,11.0,17.0,44.0,42.0,21.0,48.0,69.0,127.0,100.0,31.0,32.0,49.0
2675,13.0,1.0,5.0,4.0,9.0,20.0,15.0,56.0,0.0,140.0,141.0,17.0,10.0,7.0,3.0,32.0,28.0,8.0,18.0,16.0,72.0,14.0,92.0,39.0,48.0,49.0,60.0,27.0,26.0,216.0
2724,1.0,2.0,11.0,28.0,3.0,34.0,0.0,8.0,4.0,65.0,66.0,10.0,7.0,6.0,76.0,286.0,9.0,46.0,17.0,53.0,13.0,233.0,36.0,27.0,12.0,14.0,106.0,24.0,23.0,59.0
2773,2.0,0.0,12.0,1.0,7.0,3.0,34.0,23.0,8.0,19.0,18.0,4.0,22.0,6.0,27.0,454.0,9.0,427.0,176.0,93.0,5.0,4136.0,125.0,33.0,508.0,79.0,13.0,16.0,15.0,17.0
2822,1.0,3.0,6.0,7.0,0.0,26.0,2.0,117.0,5.0,66.0,67.0,14.0,9.0,4.0,12.0,155.0,15.0,73.0,46.0,129.0,286.0,461.0,60.0,20.0,22.0,21.0,112.0,39.0,38.0,212.0
2871,1.0,0.0,2.0,19.0,6.0,14.0,11.0,13.0,12.0,38.0,39.0,3.0,16.0,10.0,9.0,37.0,52.0,165.0,15.0,8.0,17.0,98.0,32.0,22.0,47.0,21.0,25.0,84.0,85.0,890.0
2920,0.0,3.0,11.0,1.0,2.0,6.0,5.0,99.0,9.0,69.0,68.0,15.0,25.0,4.0,7.0,16.0,24.0,8.0,12.0,13.0,14.0,163.0,33.0,71.0,26.0,32.0,30.0,17.0,18.0,341.0
2969,1.0,0.0,11.0,42.0,8.0,5.0,16.0,17.0,13.0,28.0,27.0,2.0,74.0,12.0,3.0,43.0,386.0,2154.0,144.0,15.0,25.0,9.0,36.0,19.0,44.0,18.0,21.0,7.0,6.0,14.0
3018,0.0,1.0,2.0,9.0,43.0,13.0,46.0,25.0,8.0,17.0,16.0,3.0,139.0,15.0,50.0,11.0,229.0,430.0,205.0,63.0,10.0,5.0,34.0,14.0,81.0,22.0,88.0,58.0,59.0,24.0
3067,4.0,0.0,8.0,12.0,1.0,13.0,3.0,5.0,25.0,7.0,6.0,2.0,21.0,11.0,9.0,26.0,38.0,196.0,163.0,134.0,195.0,10.0,31.0,17.0,23.0,56.0,324.0,20.0,19.0,18.0
3116,3.0,0.0,2.0,15.0,11.0,8.0,6.0,7.0,22.0,17.0,18.0,1.0,35.0,10.0,13.0,5.0,77.0,197.0,369.0,54.0,34.0,20.0,76.0,19.0,9.0,27.0,25.0,39.0,40.0,51.0
3165,2.0,0.0,24.0,22.0,30.0,16.0,9.0,5.0,3.0,31.0,32.0,4.0,48.0,19.0,12.0,80.0,77.0,154.0,583.0,21.0,18.0,1.0,29.0,17.0,28.0,20.0,34.0,7.0,8.0,10.0
3214,3.0,2.0,7.0,5.0,9.0,0.0,13.0,1.0,59.0,14.0,15.0,8.0,88.0,16.0,4.0,60.0,53.0,962.0,124.0,95.0,6.0,17.0,1217.0,19.0,54.0,37.0,12.0,27.0,28.0,36.0
3263,8.0,0.0,9.0,11.0,5.0,4.0,3.0,1.0,18.0,35.0,34.0,6.0,69.0,10.0,16.0,29.0,67.0,365.0,328.0,60.0,22.0,2.0,40.0,25.0,19.0,7.0,41.0,15.0,14.0,38.0
