,PDLIM4,NDN,CTD-2231H16.1,BHLHE41,FBXL7,RP11-834C11.4,MEIS3P1,NUP210,CASC9,TWIST2,GGT6,PRKCQ-AS1,GLB1L2,UNC5B,ACOT1,RP11-12D24.6,RP11-745O10.2,BMPR1B,PCDHB17,DACH1,CP,UCHL1,VSIG2,AUTS2,SLIT3,LXN,ACOT2,GDPD5,RPL30P14,SMIM19
1332,2.0,0.0,1.0,21.0,20.0,33.0,6.0,22.0,25.0,12.0,17.0,16.0,3.0,10.0,15.0,5.0,8.0,19.0,164.0,88.0,37.0,4.0,50.0,65.0,139.0,85.0,29.0,254.0,221.0,289.0
1381,3.0,6.0,8.0,1.0,4.0,2.0,11.0,22.0,0.0,25.0,15.0,163.0,5.0,28.0,10.0,7.0,9.0,18.0,519.0,39.0,36.0,140.0,24.0,56.0,34.0,90.0,19.0,117.0,23.0,20.0
1430,1.0,21.0,0.0,8.0,41.0,3.0,19.0,10.0,9.0,11.0,4.0,42.0,13.0,6.0,14.0,18.0,48.0,47.0,252.0,28.0,2.0,25.0,43.0,117.0,222.0,293.0,15.0,54.0,65.0,34.0
1479,1.0,3.0,0.0,7.0,6.0,4.0,21.0,2.0,114.0,20.0,18.0,22.0,47.0,35.0,32.0,11.0,62.0,57.0,17.0,31.0,13.0,126.0,9.0,37.0,12.0,40.0,51.0,14.0,24.0,107.0
1528,0.0,9.0,1.0,12.0,17.0,6.0,31.0,8.0,10.0,51.0,57.0,14.0,335.0,60.0,91.0,2.0,15.0,11.0,26.0,94.0,33.0,262.0,5.0,114.0,37.0,186.0,159.0,18.0,32.0,111.0
1577,2.0,0.0,1.0,3.0,26.0,11.0,9.0,6.0,33.0,23.0,19.0,75.0,94.0,17.0,53.0,14.0,15.0,18.0,8.0,32.0,4.0,50.0,25.0,84.0,7.0,305.0,41.0,10.0,81.0,36.0
1626,0.0,8.0,1.0,2.0,18.0,36.0,32.0,9.0,54.0,20.0,33.0,11.0,48.0,6.0,143.0,26.0,10.0,34.0,3.0,27.0,17.0,242.0,43.0,73.0,12.0,13.0,80.0,24.0,74.0,19.0
1675,2.0,31.0,0.0,3.0,9.0,40.0,4.0,1.0,76.0,10.0,152.0,16.0,24.0,17.0,21.0,5.0,19.0,15.0,8.0,14.0,20.0,28.0,22.0,25.0,67.0,92.0,29.0,7.0,6.0,65.0
1724,1.0,5.0,0.0,58.0,11.0,20.0,53.0,3.0,1185.0,22.0,76.0,30.0,139.0,197.0,99.0,44.0,82.0,270.0,2.0,574.0,1996.0,615.0,10.0,216.0,1370.0,33.0,97.0,246.0,114.0,310.0
1773,1.0,11.0,0.0,18.0,44.0,9.0,13.0,3.0,37.0,6.0,12.0,7.0,115.0,26.0,43.0,283.0,8.0,15.0,804.0,42.0,4.0,39.0,10.0,125.0,2.0,45.0,63.0,30.0,38.0,102.0
