,HNRNPA1,ANP32B,DUT,ARHGAP11B,DNAJB2,MMS22L,DAZAP1,MMP24,ANP32A,HNRNPK,GNB3,MCM7,ITGB5,ODF2,BCL2L1,GPRC5B,ATP5D,RP11-177C12.1,C1orf122,NOB1,CTDSPL2,SUCO,TTF2,TFAP4,FAM98B,SSRP1,GART,EIF3L,LRRC8C,SMIM8
4270,0.0,20540.0,86.0,1.0,13256.0,23312.0,11147.0,67.0,3258.0,20442.0,24.0,49.0,14435.0,22.0,12.0,2829.0,11797.0,294.0,153.0,133.0,2986.0,68.0,18.0,15.0,39.0,3808.0,2.0,6.0,14942.0,21.0
4319,0.0,27.0,977.0,28.0,13195.0,364.0,11805.0,88.0,2483.0,3.0,85.0,18734.0,14465.0,16.0,8.0,143.0,11772.0,13753.0,15993.0,288.0,393.0,40.0,15438.0,23.0,48.0,3795.0,6.0,34.0,829.0,5.0
4368,0.0,2.0,3384.0,2877.0,13172.0,32.0,29.0,70.0,3205.0,4.0,5674.0,18715.0,14441.0,34.0,67.0,2814.0,1215.0,978.0,254.0,19.0,2938.0,39.0,49.0,2250.0,2825.0,3694.0,6697.0,12.0,427.0,85.0
4417,5.0,126.0,2.0,12.0,1.0,17.0,21.0,57.0,3219.0,29.0,68.0,91.0,14220.0,118.0,6654.0,2784.0,39.0,46.0,16023.0,9941.0,0.0,106.0,11.0,2244.0,8.0,359.0,6765.0,9061.0,1031.0,59.0
4466,8.0,1.0,2.0,13.0,17.0,16.0,22.0,6627.0,3209.0,7.0,56.0,18474.0,97.0,19355.0,6640.0,87.0,32.0,0.0,522.0,9930.0,73.0,52.0,10.0,2251.0,27.0,3737.0,6696.0,362.0,14873.0,30.0
4515,6015.0,0.0,24.0,26.0,3.0,23099.0,25.0,34.0,81.0,6.0,48.0,70.0,110.0,20316.0,139.0,116.0,9.0,11.0,741.0,9940.0,2419.0,52.0,207.0,1535.0,14.0,3769.0,6710.0,63.0,14886.0,53.0
4564,0.0,20548.0,12.0,17.0,1.0,27.0,7.0,14.0,3220.0,11.0,43.0,61.0,14497.0,20324.0,6673.0,116.0,78.0,13725.0,15997.0,9958.0,16.0,17058.0,15445.0,2255.0,3.0,219.0,81.0,9066.0,14953.0,22.0
4613,9.0,2.0,5.0,7.0,0.0,13.0,11.0,71.0,69.0,8.0,5680.0,89.0,41.0,20310.0,6647.0,101.0,1.0,13733.0,15995.0,9947.0,24.0,109.0,83.0,2219.0,4.0,450.0,60.0,32.0,14877.0,19.0
4662,61.0,1.0,13.0,172.0,0.0,4.0,7.0,49.0,2313.0,20420.0,251.0,18707.0,45.0,10.0,6680.0,1347.0,11754.0,13731.0,898.0,9956.0,121.0,110.0,68.0,3507.0,3.0,3712.0,6718.0,25.0,14932.0,2.0
4711,350.0,2.0,2489.0,199.0,0.0,19.0,3.0,33.0,165.0,20438.0,307.0,10.0,14452.0,53.0,6694.0,11.0,11802.0,13513.0,802.0,161.0,86.0,9.0,15492.0,1432.0,28.0,3760.0,6718.0,17.0,14892.0,23377.0
