,hsa-miR-216a,hsa-miR-518b,hsa-miR-615-3p,hsa-miR-934,hsa-miR-9,hsa-miR-375,hsa-miR-323-3p,hsa-miR-671-3p,hsa-miR-1246,hsa-miR-671-5p,hsa-miR-139-5p,hsa-miR-24,hsa-miR-320d,hsa-miR-889,hsa-miR-1256,hsa-miR-1539,hsa-miR-205,hsa-miR-548c-5p,hsa-miR-329,hsa-miR-554,hsa-miR-1180,hsa-miR-1278,hsa-miR-1183,hsa-miR-634,hsa-miR-345,hsa-let-7e,hsa-miR-662,hsa-miR-339-5p,hsa-miR-2110,hsa-miR-384
2660,144.0,1.0,6.0,4.0,0.0,67.0,157.0,323.0,44.0,251.0,19.0,22.0,85.0,233.0,165.0,26.0,148.0,21.0,535.0,57.0,411.0,7.0,382.0,81.0,52.0,13.0,31.0,48.0,12.0,265.0
2709,15.0,23.0,45.0,44.0,11.0,224.0,249.0,106.0,35.0,29.0,40.0,20.0,60.0,289.0,100.0,269.0,39.0,72.0,107.0,122.0,143.0,401.0,514.0,186.0,563.0,126.0,113.0,411.0,486.0,347.0
2758,88.0,3.0,67.0,26.0,0.0,384.0,586.0,43.0,94.0,16.0,9.0,64.0,73.0,34.0,146.0,1.0,469.0,279.0,100.0,4.0,263.0,262.0,127.0,221.0,254.0,167.0,521.0,32.0,70.0,403.0
2807,41.0,3.0,63.0,6.0,1.0,58.0,45.0,10.0,20.0,4.0,92.0,16.0,51.0,533.0,592.0,5.0,56.0,202.0,222.0,76.0,408.0,452.0,40.0,98.0,13.0,108.0,182.0,21.0,11.0,88.0
2856,1.0,6.0,3.0,0.0,25.0,21.0,19.0,16.0,180.0,2.0,35.0,30.0,4.0,242.0,46.0,9.0,145.0,69.0,72.0,8.0,186.0,164.0,189.0,385.0,266.0,102.0,295.0,253.0,22.0,241.0
2905,114.0,17.0,8.0,10.0,0.0,66.0,41.0,72.0,256.0,3.0,75.0,71.0,28.0,103.0,18.0,79.0,33.0,51.0,224.0,437.0,379.0,55.0,488.0,56.0,234.0,183.0,419.0,24.0,1.0,191.0
2954,0.0,3.0,28.0,21.0,30.0,7.0,72.0,33.0,18.0,234.0,5.0,306.0,8.0,34.0,139.0,69.0,6.0,78.0,32.0,10.0,573.0,15.0,16.0,628.0,488.0,51.0,1.0,196.0,88.0,259.0
3003,3.0,53.0,0.0,8.0,2.0,5.0,1.0,167.0,217.0,9.0,33.0,39.0,112.0,20.0,281.0,13.0,28.0,183.0,6.0,353.0,309.0,86.0,106.0,229.0,594.0,196.0,38.0,15.0,24.0,12.0
3052,1.0,35.0,14.0,2.0,0.0,6.0,41.0,21.0,141.0,27.0,49.0,481.0,53.0,11.0,65.0,3.0,490.0,389.0,119.0,293.0,470.0,175.0,90.0,580.0,74.0,161.0,4.0,47.0,73.0,527.0
3101,2.0,87.0,5.0,1.0,29.0,0.0,3.0,11.0,59.0,10.0,60.0,28.0,129.0,18.0,163.0,4.0,41.0,98.0,58.0,19.0,372.0,205.0,347.0,17.0,75.0,84.0,15.0,34.0,37.0,190.0
