,beta-alanine,C56:5 TAG,GABA,C34:4 PC,alpha-glycerophosphate,C22:6 LPE,C36:4 PC-B,2-deoxycytidine,pantothenate,niacinamide,leucine,butyrylcarnitine/isobutyrylcarnitine,1-methylnicotinamide,putrescine,valerylcarnitine,palmitoylcarnitine,DHAP/glyceraldehyde 3P,adenosine,C18:0 LPC,C56:3 TAG,C16:0 LPE,cotinine,inosine,C34:2 DAG,isocitrate,malondialdehyde,cystathionine,uridine,alpha-hydroxybutyrate,PEP
1687,1.0,0.0,9.0,8.0,4.0,6.0,11.0,7.0,5.0,52.0,17.0,65.0,29.0,59.0,43.0,10.0,2.0,3.0,19.0,18.0,12.0,16.0,44.0,64.0,28.0,15.0,14.0,23.0,26.0,39.0
1736,0.0,1.0,3.0,2.0,12.0,10.0,9.0,11.0,4.0,16.0,58.0,5.0,25.0,56.0,20.0,8.0,6.0,15.0,28.0,45.0,14.0,54.0,41.0,17.0,36.0,33.0,30.0,21.0,52.0,29.0
1785,3.0,0.0,4.0,6.0,1.0,2.0,7.0,9.0,8.0,15.0,65.0,32.0,29.0,43.0,16.0,53.0,5.0,25.0,21.0,24.0,12.0,14.0,18.0,19.0,33.0,40.0,27.0,11.0,38.0,17.0
1834,1.0,0.0,2.0,3.0,6.0,10.0,4.0,25.0,17.0,29.0,19.0,7.0,11.0,50.0,38.0,8.0,5.0,9.0,32.0,16.0,31.0,45.0,27.0,43.0,41.0,24.0,12.0,34.0,62.0,23.0
1883,1.0,0.0,2.0,6.0,21.0,4.0,7.0,3.0,13.0,22.0,32.0,63.0,9.0,40.0,29.0,11.0,5.0,36.0,62.0,10.0,41.0,47.0,51.0,19.0,28.0,16.0,37.0,8.0,23.0,57.0
1932,1.0,0.0,5.0,8.0,16.0,3.0,7.0,4.0,35.0,20.0,26.0,42.0,9.0,25.0,12.0,14.0,2.0,39.0,37.0,6.0,62.0,57.0,41.0,55.0,15.0,13.0,10.0,47.0,51.0,58.0
1981,4.0,0.0,3.0,1.0,2.0,6.0,7.0,8.0,22.0,44.0,29.0,5.0,30.0,23.0,9.0,10.0,48.0,56.0,57.0,32.0,45.0,21.0,41.0,61.0,51.0,20.0,11.0,15.0,64.0,25.0
2030,3.0,2.0,1.0,0.0,12.0,6.0,18.0,41.0,13.0,22.0,21.0,10.0,25.0,48.0,11.0,34.0,20.0,14.0,36.0,16.0,46.0,24.0,15.0,42.0,29.0,63.0,23.0,4.0,9.0,7.0
2079,1.0,3.0,4.0,0.0,2.0,6.0,14.0,41.0,19.0,34.0,5.0,13.0,7.0,60.0,33.0,12.0,26.0,38.0,22.0,15.0,44.0,27.0,16.0,59.0,48.0,49.0,9.0,53.0,43.0,52.0
2128,5.0,4.0,0.0,1.0,3.0,12.0,10.0,2.0,25.0,24.0,14.0,13.0,16.0,6.0,15.0,29.0,43.0,27.0,37.0,19.0,60.0,45.0,8.0,44.0,40.0,47.0,20.0,23.0,33.0,11.0
2177,1.0,0.0,5.0,4.0,2.0,6.0,13.0,12.0,29.0,7.0,50.0,3.0,11.0,25.0,38.0,40.0,15.0,53.0,43.0,14.0,27.0,49.0,9.0,30.0,18.0,26.0,36.0,66.0,20.0,35.0
