,ACOT1_DEL,HEATR4_DEL,HLA-DRB6_AMP,LINC00226_AMP,TAG_DEL,PRSS2_DEL,PRSS3P2_DEL,OR51A2_DEL,GSTT1_AMP,ADAM5_DEL,LOC391322_AMP,ADAM3A_DEL,HCG4B_DEL,GSTTP2_AMP,BTNL8_DEL,HERC2P2_AMP,SIRPB1_AMP,BMPR2_AMP,FRMPD2P1_AMP,UPK3B_AMP,DEFA3_AMP,SCAPER_DEL,MIR548AI_DEL,REREP3_DEL,KIAA2022_MUT,LOC727924_DEL,TNK2_MUT,CES1_AMP,OR2T27_DEL,SNX29_DEL
3705,10.0,11.0,6.0,9.0,3.0,117.0,118.0,5.0,17.0,121.0,18.0,120.0,27.0,53.0,1.0,79.0,7.0,12.0,2.0,4.0,19.0,25.0,39.0,70.0,8.0,102.0,22.0,21.0,20.0,101.0
3754,33.0,36.0,1.0,3.0,0.0,67.0,66.0,19.0,4.0,50.0,5.0,48.0,8.0,11.0,13.0,57.0,2.0,101.0,15.0,52.0,14.0,37.0,10.0,28.0,16.0,22.0,21.0,42.0,20.0,63.0
3803,2.0,3.0,0.0,8.0,28.0,139.0,140.0,21.0,12.0,22.0,13.0,26.0,1.0,18.0,6.0,98.0,23.0,5.0,11.0,19.0,4.0,65.0,10.0,29.0,7.0,141.0,40.0,17.0,44.0,72.0
3852,0.0,2.0,7.0,8.0,1.0,19.0,20.0,167.0,15.0,23.0,16.0,22.0,11.0,10.0,27.0,48.0,9.0,75.0,37.0,4.0,18.0,3.0,5.0,12.0,6.0,36.0,30.0,94.0,29.0,191.0
3901,0.0,1.0,2.0,4.0,32.0,87.0,88.0,16.0,29.0,8.0,28.0,7.0,3.0,47.0,33.0,56.0,23.0,187.0,12.0,19.0,71.0,13.0,15.0,50.0,11.0,174.0,18.0,128.0,52.0,30.0
3950,2.0,3.0,17.0,14.0,1.0,12.0,13.0,33.0,51.0,16.0,52.0,9.0,21.0,45.0,11.0,18.0,43.0,8.0,15.0,227.0,10.0,0.0,25.0,35.0,22.0,30.0,235.0,46.0,29.0,60.0
3999,0.0,1.0,8.0,22.0,124.0,2.0,3.0,41.0,61.0,6.0,62.0,5.0,16.0,58.0,20.0,23.0,17.0,10.0,149.0,53.0,15.0,4.0,127.0,79.0,13.0,316.0,59.0,29.0,14.0,307.0
4048,0.0,1.0,15.0,39.0,87.0,3.0,4.0,6.0,54.0,17.0,53.0,16.0,8.0,45.0,7.0,104.0,22.0,9.0,44.0,108.0,21.0,43.0,69.0,5.0,27.0,30.0,20.0,28.0,57.0,139.0
4097,0.0,1.0,2.0,20.0,12.0,3.0,4.0,67.0,34.0,8.0,35.0,6.0,9.0,40.0,14.0,23.0,153.0,5.0,51.0,171.0,13.0,7.0,16.0,28.0,17.0,72.0,22.0,21.0,29.0,90.0
4146,16.0,22.0,2.0,51.0,10.0,3.0,4.0,136.0,329.0,1.0,328.0,0.0,7.0,313.0,9.0,70.0,163.0,6.0,25.0,408.0,13.0,8.0,5.0,62.0,34.0,149.0,15.0,19.0,24.0,177.0
4195,0.0,1.0,2.0,9.0,115.0,13.0,14.0,118.0,78.0,4.0,77.0,3.0,6.0,73.0,8.0,51.0,89.0,16.0,11.0,114.0,33.0,27.0,58.0,12.0,43.0,29.0,20.0,22.0,28.0,136.0
4244,4.0,8.0,10.0,16.0,29.0,5.0,6.0,20.0,19.0,7.0,18.0,3.0,12.0,24.0,1.0,97.0,25.0,11.0,58.0,40.0,22.0,0.0,28.0,30.0,27.0,220.0,59.0,14.0,17.0,99.0
4293,0.0,1.0,4.0,34.0,74.0,2.0,3.0,17.0,195.0,7.0,196.0,6.0,11.0,95.0,53.0,8.0,60.0,10.0,18.0,67.0,13.0,27.0,28.0,40.0,16.0,64.0,36.0,46.0,15.0,39.0
4342,4.0,5.0,0.0,38.0,85.0,8.0,7.0,17.0,55.0,3.0,56.0,2.0,11.0,46.0,19.0,23.0,119.0,6.0,20.0,78.0,31.0,1.0,36.0,26.0,60.0,129.0,24.0,44.0,13.0,32.0
4391,1.0,2.0,0.0,45.0,105.0,10.0,11.0,29.0,46.0,5.0,47.0,4.0,7.0,33.0,6.0,36.0,345.0,12.0,76.0,184.0,14.0,3.0,39.0,51.0,38.0,66.0,72.0,13.0,25.0,59.0
4440,45.0,53.0,4.0,40.0,5.0,9.0,8.0,7.0,2.0,19.0,1.0,22.0,119.0,0.0,13.0,42.0,15.0,3.0,14.0,34.0,60.0,76.0,131.0,30.0,39.0,74.0,84.0,110.0,52.0,26.0
4489,28.0,30.0,10.0,6.0,3.0,19.0,20.0,15.0,0.0,4.0,1.0,5.0,65.0,2.0,18.0,139.0,37.0,11.0,8.0,217.0,40.0,1476.0,22.0,13.0,93.0,21.0,48.0,27.0,49.0,64.0
4538,5.0,11.0,2.0,21.0,6.0,4.0,3.0,10.0,7.0,0.0,8.0,1.0,36.0,9.0,43.0,59.0,19.0,13.0,14.0,41.0,52.0,813.0,31.0,32.0,74.0,16.0,91.0,17.0,116.0,26.0
4587,11.0,16.0,6.0,10.0,0.0,3.0,2.0,4.0,15.0,21.0,14.0,22.0,19.0,12.0,9.0,2059.0,25.0,1.0,8.0,37.0,40.0,5.0,17.0,73.0,39.0,20.0,34.0,7.0,33.0,26.0
4636,0.0,1.0,14.0,20.0,11.0,8.0,7.0,9.0,3.0,17.0,2.0,24.0,239.0,6.0,4.0,4116.0,186.0,5.0,12.0,77.0,36.0,353.0,512.0,53.0,100.0,152.0,39.0,21.0,126.0,44.0
4685,33.0,37.0,28.0,1.0,0.0,12.0,13.0,2.0,3.0,17.0,4.0,20.0,67.0,5.0,19.0,39.0,8.0,24.0,15.0,31.0,45.0,73.0,50.0,18.0,53.0,6.0,26.0,29.0,66.0,34.0
4734,45.0,57.0,15.0,7.0,0.0,12.0,11.0,1.0,2.0,24.0,3.0,32.0,16.0,4.0,31.0,5163.0,30.0,8.0,5.0,55.0,38.0,67.0,10.0,36.0,75.0,27.0,92.0,9.0,72.0,88.0
4783,8.0,7.0,5.0,21.0,4.0,10.0,9.0,3.0,0.0,12.0,1.0,17.0,33.0,2.0,15.0,123.0,19.0,32.0,6.0,37.0,30.0,284.0,23.0,11.0,31.0,13.0,28.0,38.0,27.0,44.0
4832,28.0,32.0,9.0,12.0,7.0,5.0,4.0,0.0,3.0,14.0,2.0,21.0,68.0,1.0,89.0,1867.0,362.0,8.0,51.0,25.0,40.0,872.0,26.0,31.0,260.0,59.0,48.0,33.0,300.0,19.0
4881,5.0,7.0,14.0,3.0,0.0,2.0,1.0,12.0,9.0,13.0,8.0,15.0,240.0,10.0,26.0,109.0,18.0,4.0,45.0,23.0,25.0,89.0,254.0,16.0,63.0,33.0,31.0,48.0,43.0,119.0
