,hsa-miR-142-5p,hsa-miR-1307,hsa-miR-148a,hsa-miR-1976,hsa-miR-548b-5p,hsa-miR-1908,hsa-miR-550,hsa-miR-491-3p,hsa-miR-628-5p,hsa-miR-320c,hsa-miR-92a,hsa-miR-150,hsa-miR-668,hsa-miR-375,hsa-miR-186,hsa-miR-1256,hsa-miR-584,hsa-miR-143,ebv-miR-BART13,hsa-miR-384,hsa-miR-423-3p,hsa-miR-1285,hsa-miR-1197,hsa-miR-330-3p,hsa-miR-744,ebv-miR-BART20-5p,hsa-miR-1271,hcmv-miR-US5-1,hsa-miR-505,hsa-miR-1977
1683,0.0,4.0,1.0,36.0,12.0,29.0,2.0,19.0,5.0,25.0,20.0,21.0,27.0,18.0,23.0,9.0,30.0,14.0,28.0,15.0,74.0,32.0,31.0,77.0,79.0,10.0,33.0,61.0,60.0,6.0
1732,0.0,27.0,3.0,7.0,6.0,17.0,23.0,39.0,8.0,4.0,22.0,35.0,30.0,15.0,32.0,19.0,33.0,37.0,43.0,2.0,25.0,57.0,1.0,81.0,53.0,60.0,24.0,12.0,29.0,20.0
1781,1.0,3.0,5.0,8.0,2.0,75.0,62.0,7.0,0.0,98.0,6.0,15.0,29.0,16.0,31.0,4.0,19.0,13.0,54.0,12.0,30.0,10.0,85.0,22.0,311.0,49.0,72.0,11.0,33.0,14.0
1830,0.0,2.0,1.0,26.0,44.0,9.0,6.0,13.0,16.0,20.0,28.0,17.0,4.0,35.0,5.0,21.0,27.0,84.0,25.0,11.0,34.0,59.0,31.0,29.0,319.0,7.0,14.0,8.0,47.0,36.0
1879,0.0,2.0,9.0,29.0,38.0,34.0,25.0,37.0,1.0,18.0,17.0,20.0,51.0,40.0,8.0,15.0,21.0,3.0,46.0,4.0,33.0,65.0,60.0,30.0,313.0,11.0,14.0,13.0,27.0,5.0
1928,0.0,6.0,9.0,25.0,15.0,28.0,1.0,4.0,7.0,8.0,21.0,55.0,77.0,2.0,19.0,34.0,14.0,10.0,30.0,24.0,46.0,31.0,18.0,52.0,259.0,3.0,62.0,54.0,45.0,117.0
1977,0.0,35.0,6.0,5.0,26.0,33.0,57.0,31.0,7.0,50.0,1.0,65.0,13.0,64.0,3.0,10.0,43.0,40.0,61.0,11.0,9.0,25.0,37.0,30.0,44.0,39.0,101.0,24.0,17.0,23.0
2026,0.0,4.0,2.0,3.0,37.0,12.0,7.0,18.0,11.0,23.0,13.0,17.0,1.0,19.0,20.0,50.0,21.0,64.0,29.0,28.0,24.0,31.0,25.0,27.0,6.0,82.0,56.0,41.0,8.0,14.0
2075,0.0,1.0,31.0,4.0,61.0,5.0,13.0,29.0,25.0,7.0,23.0,21.0,2.0,78.0,17.0,26.0,8.0,418.0,20.0,52.0,3.0,14.0,45.0,11.0,58.0,216.0,48.0,87.0,6.0,49.0
2124,0.0,28.0,4.0,6.0,11.0,16.0,84.0,66.0,27.0,10.0,39.0,26.0,1.0,19.0,14.0,50.0,18.0,43.0,13.0,20.0,12.0,47.0,51.0,8.0,5.0,436.0,21.0,9.0,2.0,59.0
2173,0.0,7.0,21.0,4.0,53.0,9.0,5.0,28.0,25.0,10.0,6.0,17.0,3.0,2.0,22.0,1.0,11.0,56.0,92.0,38.0,31.0,24.0,13.0,14.0,234.0,19.0,63.0,16.0,29.0,73.0
2222,0.0,2.0,1.0,13.0,31.0,24.0,4.0,70.0,6.0,12.0,21.0,33.0,3.0,47.0,35.0,100.0,20.0,18.0,37.0,5.0,19.0,28.0,115.0,14.0,9.0,97.0,34.0,44.0,15.0,354.0
2271,0.0,7.0,11.0,8.0,86.0,2.0,5.0,37.0,44.0,18.0,22.0,20.0,1.0,71.0,12.0,45.0,43.0,10.0,23.0,69.0,31.0,42.0,21.0,27.0,38.0,105.0,26.0,108.0,4.0,13.0
2320,0.0,2.0,9.0,13.0,14.0,6.0,7.0,46.0,62.0,11.0,32.0,39.0,1.0,5.0,10.0,24.0,36.0,15.0,38.0,34.0,21.0,28.0,53.0,8.0,3.0,81.0,52.0,118.0,20.0,41.0
2369,0.0,19.0,1.0,15.0,33.0,3.0,5.0,75.0,14.0,11.0,56.0,31.0,4.0,89.0,9.0,58.0,6.0,30.0,7.0,10.0,17.0,25.0,60.0,42.0,23.0,48.0,13.0,61.0,2.0,84.0
2418,0.0,8.0,9.0,11.0,10.0,22.0,2.0,63.0,17.0,30.0,99.0,34.0,3.0,47.0,1.0,56.0,42.0,25.0,39.0,44.0,16.0,29.0,28.0,18.0,36.0,495.0,24.0,87.0,5.0,6.0
2467,0.0,38.0,5.0,45.0,77.0,19.0,30.0,4.0,1.0,12.0,16.0,57.0,17.0,73.0,2.0,11.0,23.0,40.0,24.0,8.0,3.0,55.0,50.0,10.0,20.0,27.0,9.0,6.0,59.0,93.0
2516,0.0,27.0,1.0,105.0,29.0,25.0,4.0,2.0,8.0,22.0,21.0,34.0,26.0,19.0,6.0,3.0,33.0,15.0,52.0,77.0,11.0,485.0,75.0,9.0,10.0,17.0,12.0,23.0,43.0,30.0
2565,1.0,30.0,0.0,93.0,43.0,7.0,3.0,12.0,2.0,14.0,22.0,34.0,40.0,15.0,6.0,25.0,11.0,42.0,92.0,452.0,19.0,82.0,35.0,5.0,84.0,21.0,27.0,9.0,52.0,38.0
2614,0.0,24.0,1.0,39.0,13.0,22.0,43.0,8.0,2.0,51.0,11.0,30.0,15.0,10.0,27.0,14.0,7.0,23.0,95.0,19.0,9.0,72.0,53.0,32.0,4.0,26.0,50.0,5.0,67.0,106.0
2663,0.0,9.0,3.0,42.0,34.0,6.0,19.0,12.0,40.0,35.0,31.0,47.0,58.0,103.0,5.0,26.0,1.0,109.0,69.0,28.0,2.0,17.0,410.0,10.0,18.0,59.0,54.0,14.0,55.0,118.0
2712,1.0,38.0,0.0,55.0,70.0,17.0,2.0,7.0,18.0,15.0,22.0,37.0,14.0,71.0,4.0,78.0,11.0,30.0,120.0,24.0,8.0,84.0,60.0,6.0,9.0,62.0,32.0,13.0,107.0,45.0
2761,0.0,73.0,1.0,38.0,22.0,9.0,2.0,6.0,4.0,29.0,18.0,35.0,36.0,44.0,10.0,16.0,5.0,28.0,324.0,21.0,12.0,56.0,71.0,19.0,14.0,64.0,31.0,8.0,498.0,75.0
2810,0.0,30.0,1.0,26.0,43.0,6.0,5.0,28.0,4.0,27.0,48.0,39.0,22.0,25.0,3.0,19.0,15.0,13.0,52.0,32.0,2.0,34.0,438.0,33.0,31.0,12.0,49.0,10.0,44.0,86.0
2859,0.0,387.0,1.0,32.0,50.0,44.0,8.0,2.0,3.0,15.0,61.0,55.0,24.0,19.0,4.0,64.0,10.0,9.0,87.0,12.0,5.0,29.0,94.0,7.0,68.0,21.0,51.0,17.0,46.0,26.0
2908,0.0,17.0,1.0,24.0,41.0,8.0,11.0,4.0,12.0,7.0,14.0,38.0,15.0,5.0,3.0,61.0,34.0,16.0,215.0,25.0,2.0,51.0,108.0,27.0,31.0,6.0,23.0,26.0,40.0,85.0
2957,0.0,1.0,34.0,2.0,4.0,7.0,20.0,31.0,6.0,10.0,8.0,18.0,12.0,21.0,16.0,3.0,65.0,64.0,19.0,454.0,30.0,42.0,25.0,62.0,40.0,15.0,5.0,46.0,26.0,28.0
3006,0.0,17.0,3.0,2.0,1.0,9.0,82.0,58.0,6.0,14.0,4.0,15.0,106.0,20.0,27.0,26.0,120.0,5.0,35.0,467.0,18.0,22.0,12.0,41.0,52.0,7.0,39.0,32.0,55.0,49.0
3055,0.0,8.0,42.0,3.0,11.0,18.0,111.0,7.0,2.0,5.0,13.0,27.0,29.0,6.0,32.0,14.0,105.0,16.0,21.0,442.0,33.0,422.0,17.0,75.0,4.0,1.0,34.0,37.0,31.0,52.0
3104,0.0,14.0,57.0,6.0,7.0,12.0,37.0,22.0,16.0,8.0,2.0,23.0,87.0,5.0,25.0,20.0,82.0,85.0,55.0,458.0,4.0,70.0,3.0,54.0,10.0,13.0,17.0,32.0,73.0,45.0
3153,0.0,5.0,34.0,37.0,10.0,19.0,8.0,56.0,2.0,4.0,3.0,25.0,33.0,26.0,14.0,12.0,21.0,27.0,78.0,69.0,52.0,28.0,39.0,18.0,76.0,1.0,16.0,60.0,24.0,83.0
3202,0.0,15.0,13.0,8.0,1.0,12.0,7.0,30.0,11.0,3.0,4.0,10.0,324.0,5.0,73.0,16.0,40.0,89.0,24.0,475.0,42.0,64.0,17.0,38.0,21.0,2.0,19.0,69.0,95.0,62.0
3251,0.0,25.0,55.0,32.0,1.0,5.0,36.0,50.0,3.0,47.0,9.0,28.0,23.0,4.0,42.0,7.0,142.0,91.0,44.0,447.0,15.0,30.0,6.0,83.0,27.0,12.0,2.0,20.0,26.0,19.0
