,TSPYL5,LEPREL2,EMR1,LDOC1,AGAP4,PXDN,ZNF229,DUSP23,PTPN13,WNT5B,WNK4,RPS6KA6,ZYG11A,ZNF347,S100A4,ZNF518B,SH3BP1,ENPP2,C1orf233,ZNF502,TTC31,VWDE,CTF1,AC005624.2,ZNF90,OSR1,HBQ1,ZNF239,MFAP2,RP11-561C5.4
3488,1.0,0.0,4.0,2.0,5.0,54.0,6.0,87.0,114.0,66.0,57.0,174.0,118.0,7.0,20.0,203.0,39.0,68.0,224.0,59.0,56.0,12.0,67.0,10.0,50.0,165.0,29.0,86.0,120.0,69.0
3537,0.0,2.0,3.0,1.0,4.0,6.0,67.0,118.0,17.0,13.0,31.0,12.0,69.0,162.0,22.0,216.0,52.0,107.0,5.0,631.0,51.0,10.0,9.0,7.0,411.0,140.0,18.0,95.0,110.0,37.0
3586,3.0,1.0,2.0,11.0,0.0,26.0,34.0,121.0,4.0,104.0,8.0,10.0,81.0,22.0,31.0,520.0,67.0,16.0,39.0,512.0,12.0,77.0,164.0,28.0,60.0,364.0,5.0,128.0,24.0,52.0
3635,0.0,3.0,2.0,7.0,31.0,5.0,27.0,8.0,4.0,18.0,95.0,116.0,28.0,46.0,169.0,451.0,13.0,19.0,17.0,15.0,186.0,6.0,39.0,120.0,49.0,567.0,82.0,45.0,119.0,86.0
3684,7.0,0.0,1.0,4.0,2.0,5.0,8.0,236.0,11.0,9.0,41.0,99.0,86.0,266.0,32.0,159.0,29.0,76.0,60.0,133.0,109.0,6.0,500.0,26.0,122.0,81.0,59.0,40.0,75.0,55.0
3733,2.0,0.0,1.0,6.0,5.0,9.0,17.0,52.0,3.0,29.0,22.0,11.0,20.0,43.0,30.0,906.0,24.0,25.0,19.0,28.0,63.0,12.0,50.0,237.0,214.0,58.0,18.0,90.0,31.0,69.0
3782,2.0,0.0,3.0,1.0,4.0,24.0,16.0,7.0,13.0,17.0,21.0,9.0,6.0,214.0,87.0,420.0,29.0,30.0,25.0,66.0,39.0,34.0,46.0,11.0,60.0,97.0,8.0,63.0,61.0,94.0
3831,1.0,0.0,2.0,3.0,4.0,6.0,28.0,7.0,18.0,8.0,41.0,9.0,109.0,46.0,113.0,905.0,16.0,45.0,224.0,126.0,50.0,20.0,47.0,13.0,117.0,90.0,12.0,151.0,36.0,57.0
3880,5.0,1.0,2.0,0.0,17.0,3.0,39.0,47.0,213.0,72.0,59.0,7.0,155.0,28.0,305.0,663.0,46.0,60.0,127.0,101.0,31.0,14.0,23.0,18.0,122.0,79.0,32.0,24.0,6.0,48.0
3929,0.0,1.0,9.0,7.0,6.0,12.0,23.0,5.0,2.0,50.0,10.0,15.0,49.0,79.0,56.0,3.0,13.0,34.0,112.0,118.0,192.0,75.0,169.0,71.0,938.0,327.0,26.0,130.0,4.0,64.0
3978,5.0,0.0,23.0,48.0,7.0,42.0,20.0,2.0,19.0,9.0,63.0,1271.0,77.0,152.0,153.0,8.0,28.0,83.0,123.0,459.0,22.0,112.0,25.0,1.0,684.0,190.0,212.0,253.0,6.0,26.0
4027,0.0,1.0,5.0,11.0,14.0,13.0,37.0,3.0,2.0,39.0,18.0,102.0,45.0,30.0,61.0,6.0,42.0,29.0,27.0,214.0,98.0,20.0,16.0,10.0,618.0,33.0,56.0,15.0,23.0,17.0
4076,0.0,2.0,14.0,1.0,10.0,17.0,9.0,5.0,12.0,27.0,144.0,34.0,24.0,23.0,13.0,20.0,47.0,42.0,102.0,1003.0,26.0,38.0,4.0,8.0,603.0,67.0,29.0,205.0,3.0,39.0
4125,0.0,2.0,5.0,28.0,102.0,43.0,29.0,8.0,1.0,4.0,15.0,38.0,16.0,167.0,14.0,6.0,39.0,48.0,25.0,113.0,231.0,24.0,75.0,34.0,1005.0,110.0,97.0,67.0,7.0,21.0
4174,0.0,1.0,4.0,3.0,125.0,13.0,21.0,16.0,6.0,11.0,35.0,40.0,12.0,128.0,41.0,5.0,19.0,56.0,42.0,203.0,52.0,55.0,28.0,10.0,242.0,120.0,73.0,25.0,8.0,51.0
4223,0.0,1.0,5.0,2.0,15.0,8.0,10.0,7.0,9.0,4.0,25.0,85.0,27.0,137.0,47.0,6.0,22.0,18.0,51.0,356.0,38.0,68.0,46.0,3.0,163.0,57.0,130.0,63.0,16.0,35.0
4272,0.0,1.0,5.0,2.0,63.0,44.0,34.0,25.0,14.0,28.0,24.0,151.0,161.0,15.0,7.0,10.0,227.0,20.0,32.0,133.0,64.0,230.0,30.0,13.0,149.0,127.0,60.0,170.0,4.0,22.0
4321,0.0,1.0,3.0,2.0,12.0,37.0,10.0,6.0,4.0,15.0,256.0,170.0,54.0,19.0,7.0,28.0,13.0,26.0,30.0,312.0,21.0,217.0,22.0,5.0,1076.0,29.0,68.0,514.0,8.0,23.0
4370,0.0,1.0,3.0,14.0,13.0,32.0,58.0,11.0,4.0,51.0,28.0,45.0,403.0,41.0,12.0,5.0,83.0,73.0,20.0,219.0,70.0,69.0,61.0,9.0,203.0,30.0,23.0,104.0,8.0,26.0
4419,4.0,0.0,1.0,3.0,78.0,49.0,2.0,95.0,53.0,12.0,82.0,40.0,22.0,20.0,10.0,172.0,84.0,44.0,35.0,45.0,85.0,23.0,39.0,92.0,855.0,175.0,255.0,389.0,618.0,52.0
4468,3.0,0.0,2.0,38.0,22.0,17.0,16.0,20.0,54.0,9.0,1.0,26.0,108.0,59.0,40.0,10.0,164.0,21.0,80.0,35.0,36.0,139.0,14.0,12.0,43.0,196.0,50.0,70.0,574.0,18.0
4517,1.0,0.0,2.0,3.0,18.0,41.0,4.0,32.0,59.0,11.0,9.0,33.0,17.0,370.0,64.0,68.0,135.0,14.0,8.0,35.0,24.0,364.0,393.0,31.0,79.0,118.0,140.0,78.0,471.0,88.0
4566,1.0,2.0,3.0,0.0,4.0,10.0,53.0,44.0,60.0,21.0,26.0,43.0,7.0,35.0,177.0,37.0,114.0,42.0,66.0,126.0,33.0,48.0,38.0,6.0,9.0,15.0,187.0,215.0,207.0,190.0
4615,0.0,1.0,3.0,2.0,6.0,13.0,29.0,166.0,19.0,8.0,4.0,232.0,205.0,76.0,73.0,77.0,124.0,484.0,46.0,190.0,21.0,114.0,10.0,12.0,142.0,59.0,192.0,227.0,1695.0,69.0
4664,3.0,1.0,2.0,0.0,95.0,24.0,13.0,167.0,958.0,23.0,30.0,22.0,77.0,10.0,35.0,5.0,112.0,126.0,7.0,8.0,9.0,328.0,28.0,14.0,20.0,52.0,456.0,85.0,209.0,117.0
4713,0.0,1.0,14.0,11.0,9.0,7.0,5.0,28.0,6.0,16.0,4.0,10.0,23.0,24.0,30.0,17.0,83.0,54.0,56.0,97.0,8.0,279.0,197.0,89.0,74.0,44.0,220.0,134.0,799.0,93.0
4762,2.0,0.0,4.0,1.0,7.0,28.0,32.0,21.0,84.0,16.0,5.0,37.0,23.0,8.0,110.0,35.0,85.0,52.0,113.0,26.0,36.0,109.0,3.0,108.0,12.0,60.0,122.0,285.0,1566.0,20.0
4811,4.0,0.0,8.0,2.0,19.0,13.0,1.0,123.0,14.0,5.0,18.0,96.0,26.0,7.0,53.0,3.0,48.0,129.0,324.0,15.0,23.0,177.0,200.0,6.0,43.0,103.0,94.0,262.0,290.0,11.0
4860,0.0,1.0,2.0,3.0,14.0,94.0,6.0,330.0,34.0,7.0,19.0,43.0,58.0,112.0,12.0,5.0,73.0,123.0,111.0,18.0,55.0,36.0,24.0,25.0,10.0,61.0,132.0,136.0,467.0,75.0
