,HER2_pY1248,C-Raf_pS338,Rb_pS807_S811,c-Myc,Rb,CD49b,PEA15,Cyclin_D1,RAD51,RSK1-2-3,Shc_pY317,Rictor_pT1135,Annexin 1,p27_pT157,p38_pT180_Y182,TAZ,EGFR_pY1068,NF2,JNK2,SHP-2_pY542,TSC1,Src_pY416,Src,Akt,PKC-pan_BetaII_pS660,PAI-1,p38_MAPK,p90RSK_pT359_S363,Tuberin_pT1462,Notch1
1035,7.0,11.0,3.0,102.0,87.0,14.0,20.0,150.0,19.0,85.0,81.0,13.0,45.0,0.0,56.0,2.0,24.0,95.0,41.0,4.0,31.0,28.0,33.0,34.0,94.0,5.0,55.0,27.0,70.0,16.0
1084,4.0,23.0,22.0,16.0,78.0,163.0,19.0,153.0,21.0,15.0,2.0,76.0,0.0,56.0,50.0,37.0,9.0,27.0,1.0,72.0,64.0,3.0,38.0,33.0,13.0,49.0,45.0,54.0,30.0,28.0
1133,11.0,106.0,14.0,5.0,16.0,18.0,0.0,153.0,81.0,78.0,7.0,79.0,3.0,37.0,24.0,34.0,35.0,47.0,27.0,74.0,29.0,39.0,71.0,33.0,22.0,57.0,58.0,50.0,1.0,48.0
1182,1.0,103.0,5.0,22.0,58.0,17.0,4.0,150.0,80.0,85.0,90.0,91.0,6.0,36.0,14.0,33.0,20.0,34.0,9.0,76.0,26.0,27.0,73.0,122.0,21.0,15.0,55.0,11.0,31.0,41.0
1231,4.0,1.0,0.0,7.0,9.0,3.0,14.0,152.0,8.0,69.0,63.0,70.0,5.0,19.0,6.0,41.0,26.0,23.0,2.0,35.0,61.0,73.0,40.0,122.0,12.0,16.0,17.0,15.0,39.0,22.0
1280,9.0,23.0,0.0,33.0,67.0,2.0,8.0,15.0,39.0,26.0,92.0,25.0,3.0,7.0,64.0,30.0,12.0,137.0,163.0,27.0,31.0,86.0,28.0,53.0,47.0,58.0,65.0,60.0,1.0,5.0
1329,32.0,1.0,6.0,104.0,19.0,127.0,22.0,13.0,80.0,84.0,25.0,83.0,10.0,27.0,35.0,8.0,4.0,2.0,5.0,89.0,71.0,63.0,33.0,122.0,0.0,49.0,46.0,18.0,28.0,3.0
1378,0.0,6.0,14.0,3.0,17.0,16.0,1.0,152.0,83.0,87.0,91.0,86.0,2.0,38.0,39.0,36.0,22.0,29.0,5.0,35.0,67.0,42.0,75.0,122.0,27.0,12.0,37.0,26.0,32.0,46.0
1427,1.0,0.0,16.0,13.0,82.0,110.0,4.0,153.0,19.0,80.0,75.0,23.0,7.0,52.0,44.0,8.0,36.0,43.0,32.0,74.0,67.0,37.0,3.0,31.0,2.0,49.0,42.0,55.0,29.0,47.0
1476,2.0,11.0,9.0,106.0,12.0,14.0,46.0,18.0,83.0,6.0,0.0,80.0,4.0,44.0,7.0,69.0,157.0,30.0,36.0,75.0,24.0,72.0,33.0,121.0,90.0,13.0,47.0,8.0,65.0,32.0
1525,37.0,0.0,6.0,17.0,9.0,15.0,46.0,12.0,14.0,16.0,10.0,84.0,5.0,32.0,4.0,26.0,163.0,31.0,28.0,89.0,65.0,64.0,73.0,7.0,91.0,55.0,39.0,29.0,66.0,30.0
1574,23.0,10.0,11.0,7.0,72.0,12.0,20.0,2.0,4.0,64.0,70.0,67.0,34.0,1.0,24.0,38.0,19.0,48.0,27.0,40.0,39.0,83.0,81.0,122.0,84.0,46.0,56.0,21.0,43.0,51.0
1623,9.0,5.0,25.0,31.0,67.0,120.0,53.0,111.0,24.0,26.0,27.0,96.0,36.0,1.0,20.0,3.0,104.0,135.0,8.0,28.0,29.0,84.0,85.0,35.0,22.0,21.0,19.0,59.0,30.0,134.0
1672,4.0,0.0,73.0,13.0,5.0,15.0,22.0,7.0,77.0,14.0,40.0,11.0,38.0,27.0,50.0,89.0,17.0,8.0,145.0,42.0,47.0,82.0,75.0,122.0,20.0,24.0,26.0,44.0,39.0,62.0
1721,1.0,0.0,13.0,12.0,24.0,17.0,22.0,154.0,86.0,10.0,7.0,88.0,37.0,42.0,26.0,36.0,160.0,85.0,33.0,23.0,74.0,60.0,38.0,124.0,79.0,16.0,40.0,53.0,29.0,2.0
1770,0.0,1.0,5.0,6.0,10.0,9.0,17.0,150.0,82.0,76.0,4.0,77.0,37.0,25.0,21.0,88.0,153.0,155.0,138.0,67.0,46.0,71.0,68.0,121.0,65.0,18.0,58.0,63.0,33.0,79.0
1819,0.0,1.0,15.0,13.0,25.0,129.0,47.0,153.0,84.0,11.0,36.0,12.0,112.0,40.0,38.0,6.0,2.0,42.0,139.0,75.0,30.0,58.0,33.0,122.0,76.0,8.0,7.0,53.0,66.0,32.0
1868,22.0,3.0,4.0,7.0,70.0,9.0,19.0,14.0,15.0,91.0,36.0,8.0,0.0,25.0,23.0,38.0,163.0,63.0,140.0,1.0,68.0,39.0,69.0,40.0,83.0,45.0,54.0,20.0,33.0,61.0
1917,0.0,16.0,17.0,99.0,18.0,19.0,15.0,2.0,20.0,86.0,1.0,92.0,37.0,12.0,42.0,8.0,163.0,21.0,138.0,91.0,74.0,60.0,66.0,123.0,44.0,53.0,45.0,48.0,31.0,25.0
1966,0.0,22.0,6.0,103.0,85.0,9.0,8.0,152.0,21.0,88.0,15.0,87.0,112.0,32.0,27.0,35.0,16.0,26.0,145.0,74.0,65.0,5.0,38.0,123.0,59.0,50.0,31.0,52.0,37.0,28.0
2015,133.0,5.0,26.0,12.0,15.0,17.0,3.0,2.0,92.0,82.0,35.0,11.0,43.0,34.0,56.0,38.0,28.0,1.0,139.0,29.0,68.0,4.0,76.0,124.0,90.0,54.0,55.0,48.0,31.0,30.0
2064,132.0,23.0,0.0,11.0,16.0,107.0,46.0,18.0,84.0,22.0,5.0,81.0,6.0,54.0,41.0,36.0,35.0,26.0,1.0,76.0,32.0,2.0,72.0,121.0,21.0,52.0,59.0,10.0,66.0,42.0
2113,0.0,14.0,5.0,12.0,7.0,27.0,18.0,15.0,8.0,67.0,26.0,68.0,38.0,19.0,40.0,32.0,157.0,21.0,140.0,30.0,35.0,71.0,3.0,121.0,80.0,45.0,6.0,43.0,34.0,20.0
2162,2.0,22.0,27.0,132.0,26.0,18.0,3.0,9.0,41.0,28.0,93.0,70.0,0.0,100.0,66.0,82.0,13.0,1.0,12.0,29.0,33.0,31.0,4.0,52.0,49.0,23.0,21.0,62.0,6.0,137.0
2211,22.0,11.0,75.0,5.0,13.0,109.0,50.0,7.0,79.0,71.0,9.0,72.0,33.0,23.0,62.0,76.0,157.0,0.0,3.0,6.0,30.0,2.0,1.0,29.0,16.0,20.0,51.0,42.0,37.0,24.0
