,FLNB_MUT,GUCY2C_MUT,MYH9_MUT,RNF103-CHMP3_DEL,HLA-DRB6_DEL,SGCZ_DEL,LOC392196_DEL,FLT4_MUT,MIR4636_AMP,MIR4278_AMP,SDHA_AMP,ETS1_DEL,AHRR_AMP,CCT5_AMP,SLC25A24_DEL,CWF19L2_AMP,RMND5A_DEL,GPR112_MUT,CEP72_AMP,MIR4458_AMP,DEFB130_DEL,PHF3_MUT,USP17L7_DEL,PTCH1_AMP,ERCC6_MUT,DBF4_MUT,ZNF705D_DEL,LOC255167_AMP,PI4KA_MUT,MED10_AMP
3899,14.0,22.0,170.0,55.0,2887.0,5205.0,2668.0,1538.0,9.0,105.0,138.0,1425.0,630.0,125.0,15.0,1299.0,926.0,809.0,208.0,16252.0,779.0,220.0,2894.0,24.0,109.0,247.0,104.0,59.0,313.0,212.0
3948,4.0,855.0,28.0,179.0,35.0,113.0,18.0,181.0,75.0,2331.0,10.0,1486.0,21632.0,17.0,1.0,714.0,287.0,26.0,11.0,33.0,53.0,16645.0,4765.0,2438.0,956.0,12.0,3.0,14081.0,19.0,7.0
3997,4.0,48.0,288.0,25.0,51.0,14.0,52.0,44.0,5.0,15695.0,2.0,5466.0,21641.0,7.0,193.0,89.0,430.0,197.0,53.0,16211.0,546.0,9.0,319.0,544.0,1.0,334.0,8563.0,14207.0,269.0,43.0
4046,4.0,14.0,88.0,1330.0,5.0,294.0,28.0,16717.0,10.0,15757.0,235.0,1017.0,427.0,8.0,154.0,38.0,33.0,147.0,26.0,142.0,273.0,261.0,2726.0,3.0,29.0,32.0,1302.0,14200.0,16540.0,23156.0
4095,0.0,18.0,8.0,421.0,77.0,24.0,84.0,49.0,11.0,1975.0,21870.0,6956.0,39.0,15.0,159.0,2.0,52.0,508.0,32.0,35.0,3.0,172.0,63.0,456.0,168.0,16645.0,46.0,22.0,2032.0,23369.0
4144,87.0,47.0,27.0,246.0,1497.0,2742.0,4.0,277.0,3.0,78.0,21988.0,1594.0,550.0,8.0,16.0,2683.0,460.0,34.0,35.0,512.0,1.0,924.0,7.0,1135.0,77.0,16644.0,12.0,11.0,112.0,23254.0
4193,1.0,28.0,34.0,288.0,1533.0,41.0,18.0,13.0,0.0,65.0,21932.0,928.0,21524.0,5.0,2015.0,3.0,6.0,16604.0,26.0,55.0,12.0,546.0,299.0,1949.0,64.0,155.0,78.0,29.0,130.0,23376.0
4242,16726.0,26.0,169.0,406.0,1.0,11.0,0.0,128.0,2.0,98.0,277.0,2684.0,88.0,14.0,7.0,116.0,2149.0,1333.0,37.0,4.0,56.0,221.0,66.0,22493.0,16715.0,30.0,6.0,43.0,69.0,272.0
4291,2265.0,16437.0,2.0,3.0,1559.0,4025.0,1.0,5.0,61.0,259.0,22014.0,37.0,21625.0,34.0,215.0,33.0,551.0,87.0,22580.0,150.0,4.0,16657.0,4526.0,31.0,445.0,52.0,15.0,13971.0,17.0,23146.0
4340,48.0,55.0,17.0,1022.0,2.0,95.0,0.0,178.0,69.0,514.0,1032.0,36.0,56.0,40.0,1179.0,2563.0,29.0,550.0,698.0,119.0,11.0,16697.0,33.0,22473.0,19.0,16648.0,4.0,50.0,734.0,76.0
4389,317.0,16420.0,835.0,11.0,1853.0,1339.0,26.0,18.0,100.0,19.0,21940.0,463.0,36.0,54.0,114.0,12.0,11834.0,568.0,4.0,81.0,130.0,692.0,150.0,359.0,6.0,508.0,1.0,34.0,1512.0,96.0
4438,3.0,38.0,143.0,20854.0,1767.0,8.0,66.0,491.0,1160.0,15761.0,109.0,49.0,21525.0,13614.0,710.0,9.0,160.0,16601.0,22621.0,21.0,7176.0,99.0,123.0,141.0,7.0,75.0,27.0,33.0,967.0,397.0
4487,0.0,3.0,1.0,113.0,4.0,15.0,1331.0,807.0,2569.0,144.0,14.0,4811.0,325.0,32.0,12.0,280.0,2308.0,2.0,22684.0,10.0,7096.0,5.0,462.0,284.0,16677.0,94.0,218.0,14171.0,593.0,1219.0
4536,34.0,1.0,155.0,8.0,1515.0,62.0,3714.0,27.0,39.0,5.0,0.0,286.0,215.0,13603.0,83.0,401.0,307.0,528.0,23.0,563.0,1244.0,6.0,40.0,1957.0,16684.0,508.0,37.0,14177.0,496.0,23158.0
