,BRAF_MUT,BRAF.V600E_MUT,TTN_MUT,KRAS.G12_13_MUT,BRAF.MC_MUT,KRAS_MUT,GOLGA8A_DEL,OR2A7_AMP,LOC728377_AMP,SIRPB1_AMP,FAM21A_DEL,HLA-DQB1_DEL,UNC13C_MUT,CFHR3_AMP,SORD_AMP,NRAS_MUT,ARHGEF5_AMP,FAM35B_DEL,KIAA1217_DEL,MIR1233-2_DEL,MIR1233-1_DEL,UBE2Q2P3_AMP,UBE2Q2P2_AMP,FFAR3_DEL,USP17L4_AMP,ATG10_DEL,RPS17L_AMP,DOCK10_AMP,GOLGA6L9_AMP,RPS17_AMP
3705,0.0,1.0,2.0,16.0,6.0,18.0,3.0,115.0,114.0,8.0,158.0,41.0,40.0,237.0,4.0,5.0,38.0,7.0,9.0,24.0,23.0,11.0,10.0,90.0,43.0,75.0,14.0,29.0,15.0,13.0
3754,0.0,1.0,2.0,8.0,5.0,9.0,12.0,96.0,95.0,13.0,287.0,16.0,21.0,10.0,112.0,15.0,168.0,7.0,39.0,45.0,46.0,26.0,27.0,142.0,30.0,59.0,32.0,468.0,33.0,34.0
3803,0.0,1.0,6.0,10.0,2.0,17.0,5.0,866.0,865.0,4.0,42.0,45.0,46.0,74.0,61.0,7.0,102.0,12.0,82.0,27.0,28.0,16.0,15.0,89.0,13.0,25.0,20.0,63.0,19.0,21.0
3852,0.0,1.0,3.0,6.0,4.0,5.0,8.0,65.0,64.0,2.0,298.0,23.0,37.0,9.0,123.0,21.0,97.0,22.0,70.0,55.0,56.0,61.0,62.0,185.0,14.0,31.0,78.0,114.0,77.0,76.0
3901,0.0,2.0,3.0,11.0,4.0,8.0,15.0,3750.0,3749.0,1.0,116.0,13.0,118.0,10.0,12.0,6.0,403.0,9.0,34.0,81.0,80.0,18.0,17.0,78.0,40.0,44.0,21.0,14.0,22.0,23.0
3950,0.0,1.0,4.0,3.0,8.0,2.0,10.0,5.0,6.0,32.0,9.0,45.0,20.0,7.0,40.0,17.0,13.0,157.0,27.0,39.0,38.0,18.0,19.0,127.0,24.0,31.0,21.0,14.0,23.0,22.0
3999,0.0,2.0,1.0,3.0,8.0,4.0,11.0,6.0,7.0,10.0,29.0,49.0,21.0,5.0,26.0,852.0,14.0,90.0,38.0,40.0,39.0,31.0,32.0,46.0,12.0,75.0,43.0,63.0,42.0,44.0
4048,0.0,1.0,6.0,2.0,10.0,3.0,8.0,5.0,4.0,28.0,12.0,18.0,27.0,71.0,16.0,11.0,33.0,32.0,9.0,22.0,21.0,42.0,41.0,13.0,14.0,91.0,38.0,15.0,40.0,39.0
4097,0.0,1.0,2.0,6.0,8.0,7.0,5.0,10.0,9.0,17.0,4.0,31.0,60.0,3.0,164.0,18.0,99.0,30.0,195.0,12.0,11.0,41.0,42.0,34.0,15.0,98.0,47.0,19.0,46.0,45.0
4146,0.0,1.0,2.0,4.0,15.0,3.0,10.0,5.0,6.0,33.0,17.0,14.0,112.0,16.0,42.0,25.0,18.0,129.0,27.0,29.0,28.0,19.0,20.0,11.0,7.0,48.0,23.0,36.0,21.0,22.0
4195,0.0,1.0,2.0,4.0,13.0,3.0,15.0,29.0,30.0,6.0,8.0,5.0,26.0,78.0,59.0,9.0,136.0,17.0,12.0,101.0,100.0,82.0,81.0,18.0,19.0,445.0,87.0,38.0,88.0,86.0
4244,0.0,2.0,1.0,6.0,5.0,4.0,3.0,17.0,16.0,38.0,45.0,11.0,28.0,19.0,12.0,42.0,14.0,29.0,132.0,9.0,8.0,296.0,297.0,32.0,7.0,359.0,308.0,21.0,309.0,307.0
4293,0.0,1.0,2.0,6.0,11.0,3.0,18.0,5.0,4.0,34.0,197.0,15.0,19.0,40.0,97.0,45.0,10.0,33.0,9.0,94.0,95.0,28.0,29.0,42.0,7.0,24.0,35.0,71.0,37.0,36.0
