,GOLGA6L10_AMP,LOC390660_AMP,HLA-H_DEL,PTEN_DEL,ETS1_DEL,NF1_MUT,DMRTA1_DEL,EYA1_DEL,GUCY2C_MUT,BRAF.V600E_MUT,IQSEC3_DEL,FAM21A_DEL,PCCB_DEL,B4GALNT3_DEL,BRAF_MUT,GALC_DEL,ADAM5_DEL,EYS_DEL,CDKN2B_DEL,DICER1_MUT,LOC100506776_AMP,ST8SIA1_DEL,GRM5_DEL,CDKN2B-AS1_DEL,GPR112_MUT,TRIM49_DEL,ELAVL2_DEL,LOC284344_DEL,BBS9_DEL,SORD_AMP
3948,10.0,0.0,329.0,15.0,4.0,55.0,2434.0,9.0,1622.0,394.0,219.0,477.0,63.0,379.0,1730.0,1161.0,6511.0,18.0,21262.0,414.0,663.0,49.0,3026.0,14.0,16620.0,73.0,11.0,1231.0,876.0,2.0
3997,19.0,5.0,51.0,4.0,15.0,2607.0,2319.0,21.0,134.0,21091.0,7.0,900.0,1121.0,201.0,216.0,338.0,748.0,13.0,1131.0,8524.0,1826.0,12074.0,132.0,2751.0,1019.0,492.0,109.0,2788.0,6883.0,729.0
4046,1.0,0.0,3.0,11777.0,93.0,43.0,899.0,44.0,290.0,261.0,41.0,2738.0,420.0,106.0,16935.0,1774.0,1938.0,4701.0,102.0,224.0,46.0,551.0,632.0,14.0,16638.0,1642.0,4.0,18.0,6597.0,23510.0
4095,0.0,1.0,18.0,3.0,9.0,656.0,20.0,327.0,584.0,5.0,6.0,3184.0,71.0,12.0,244.0,417.0,105.0,168.0,69.0,275.0,1570.0,1472.0,6652.0,110.0,2389.0,42.0,1716.0,65.0,2126.0,40.0
4144,0.0,59.0,10.0,3.0,1.0,4.0,247.0,14.0,481.0,438.0,8.0,358.0,11306.0,28.0,474.0,594.0,1559.0,50.0,21033.0,16647.0,15799.0,11806.0,172.0,485.0,1576.0,12242.0,5357.0,32.0,6141.0,1497.0
4193,1.0,2.0,0.0,19.0,14.0,114.0,17.0,4978.0,2631.0,3.0,87.0,974.0,120.0,1919.0,74.0,7039.0,1534.0,4019.0,21036.0,2261.0,15795.0,952.0,2474.0,179.0,2839.0,286.0,11.0,1513.0,6451.0,381.0
4242,2.0,0.0,1.0,10.0,78.0,55.0,13.0,5171.0,202.0,1397.0,5.0,640.0,8.0,3.0,17.0,334.0,6958.0,332.0,21259.0,31.0,1857.0,178.0,34.0,2139.0,1043.0,631.0,5119.0,28.0,6033.0,358.0
4291,4.0,0.0,6.0,20.0,2.0,174.0,8.0,5015.0,489.0,21086.0,9.0,3579.0,42.0,37.0,337.0,2377.0,7.0,17.0,2425.0,16695.0,96.0,1036.0,1.0,542.0,118.0,885.0,5.0,544.0,862.0,2284.0
4340,12.0,0.0,3522.0,12781.0,2.0,9.0,2658.0,2394.0,39.0,152.0,1.0,3602.0,211.0,40.0,1454.0,129.0,29.0,102.0,1930.0,1128.0,566.0,522.0,115.0,47.0,8.0,774.0,4836.0,526.0,43.0,23489.0
4389,0.0,5.0,276.0,4.0,7208.0,11.0,1345.0,62.0,27.0,573.0,1.0,2503.0,78.0,344.0,40.0,6866.0,6445.0,17.0,21263.0,2116.0,223.0,7904.0,3116.0,421.0,6.0,841.0,5406.0,16.0,3385.0,20.0
