,XBP1,4E-BP1,AMPK_pT172,BRCA2,RSK1-2-3,Bax,HER2_pY1248,Transglutaminase,STAT5-alpha,IRS1,VEGFR2,Rictor_pT1135,Acetyl-a-Tubulin (Lys40),Chk1_pS345,Bcl-xL,PRDX1,Akt_pS473,MAPK_pT202_Y204,Bcl-2,CD49b,Claudin-7,Chk2,SHP-2_pY542,Collagen_VI,HER3,beta-Catenin_pT41_S45,Porin,YAP_pS127,Tuberin_pT1462,B-Raf
3876,15.0,16.0,30.0,139.0,24.0,11.0,13.0,114.0,18.0,17.0,119.0,41.0,55.0,52.0,106.0,47.0,93.0,159.0,97.0,0.0,115.0,67.0,62.0,14.0,66.0,101.0,26.0,122.0,58.0,81.0
3925,66.0,18.0,26.0,132.0,67.0,12.0,57.0,27.0,7.0,48.0,3.0,56.0,97.0,54.0,78.0,144.0,55.0,158.0,68.0,130.0,25.0,100.0,28.0,35.0,20.0,133.0,80.0,14.0,41.0,135.0
3974,34.0,24.0,20.0,14.0,48.0,11.0,40.0,122.0,6.0,54.0,85.0,19.0,90.0,44.0,84.0,150.0,30.0,141.0,70.0,3.0,118.0,0.0,49.0,5.0,80.0,22.0,16.0,46.0,23.0,137.0
4023,23.0,24.0,36.0,1.0,41.0,105.0,93.0,17.0,81.0,39.0,132.0,67.0,109.0,83.0,5.0,57.0,106.0,38.0,82.0,124.0,94.0,63.0,28.0,139.0,56.0,127.0,151.0,68.0,62.0,43.0
4072,16.0,12.0,32.0,20.0,27.0,128.0,144.0,36.0,31.0,72.0,69.0,37.0,17.0,8.0,86.0,30.0,43.0,76.0,99.0,13.0,104.0,134.0,54.0,97.0,7.0,70.0,63.0,21.0,101.0,26.0
4121,29.0,45.0,20.0,37.0,65.0,38.0,51.0,33.0,31.0,35.0,0.0,42.0,14.0,41.0,5.0,11.0,63.0,77.0,54.0,36.0,100.0,152.0,84.0,154.0,30.0,12.0,59.0,28.0,2.0,66.0
4170,10.0,41.0,40.0,131.0,26.0,5.0,45.0,48.0,62.0,18.0,29.0,52.0,156.0,38.0,1.0,66.0,65.0,54.0,39.0,12.0,162.0,46.0,97.0,126.0,109.0,114.0,155.0,49.0,132.0,61.0
4219,35.0,32.0,16.0,70.0,99.0,69.0,10.0,59.0,101.0,47.0,3.0,60.0,58.0,63.0,73.0,12.0,104.0,18.0,38.0,157.0,29.0,20.0,33.0,43.0,96.0,26.0,24.0,39.0,72.0,89.0
4268,12.0,28.0,23.0,33.0,53.0,72.0,24.0,47.0,21.0,27.0,3.0,50.0,52.0,20.0,161.0,69.0,90.0,148.0,45.0,96.0,55.0,106.0,40.0,146.0,143.0,68.0,102.0,54.0,0.0,6.0
4317,34.0,15.0,44.0,132.0,16.0,35.0,14.0,23.0,56.0,32.0,8.0,66.0,19.0,12.0,5.0,63.0,88.0,158.0,39.0,129.0,41.0,94.0,28.0,27.0,91.0,133.0,6.0,115.0,75.0,22.0
4366,39.0,9.0,47.0,6.0,76.0,135.0,97.0,8.0,4.0,45.0,54.0,46.0,82.0,78.0,28.0,12.0,40.0,158.0,19.0,130.0,25.0,56.0,50.0,73.0,15.0,69.0,92.0,32.0,16.0,0.0
