,LARGE_INTESTINE,GANGLIA,HAEMATOPOIETIC,BONE,OESOPHAGUS,THYROID,PANCREAS,SKIN,KIDNEY,SOFT_TISSUE,PLEURA,LUNG,STOMACH,LIVER,URINARY,PROSTATE,SALIVARY,BILIARY,ENDOMETRIUM,AERODIGESTIVE,BREAST,OVARY,NERVOUS
4209,0.0,1.0,3.0,2.0,5.0,4.0,6.0,7.0,9.0,8.0,10.0,15.0,14.0,13.0,21.0,17.0,12.0,11.0,16.0,18.0,22.0,20.0,19.0
4258,0.0,1.0,3.0,2.0,5.0,4.0,6.0,15.0,8.0,7.0,9.0,13.0,14.0,12.0,17.0,16.0,11.0,10.0,18.0,19.0,20.0,21.0,22.0
4307,0.0,1.0,2.0,3.0,4.0,5.0,6.0,13.0,16.0,7.0,8.0,11.0,12.0,14.0,18.0,17.0,10.0,9.0,15.0,20.0,19.0,21.0,22.0
4356,0.0,2.0,1.0,3.0,4.0,6.0,5.0,15.0,9.0,8.0,10.0,7.0,14.0,13.0,18.0,17.0,12.0,11.0,19.0,16.0,20.0,21.0,22.0
4405,0.0,2.0,4.0,3.0,1.0,10.0,5.0,18.0,6.0,12.0,11.0,14.0,15.0,13.0,16.0,7.0,8.0,9.0,17.0,19.0,20.0,22.0,21.0
4454,0.0,1.0,4.0,5.0,2.0,3.0,8.0,14.0,6.0,13.0,9.0,10.0,7.0,11.0,12.0,15.0,16.0,17.0,18.0,20.0,21.0,22.0,19.0
4503,0.0,1.0,5.0,4.0,2.0,3.0,6.0,14.0,8.0,13.0,9.0,10.0,11.0,19.0,12.0,16.0,7.0,17.0,18.0,15.0,21.0,20.0,22.0
4552,0.0,1.0,2.0,3.0,4.0,5.0,13.0,11.0,7.0,10.0,8.0,12.0,9.0,20.0,14.0,15.0,16.0,17.0,6.0,18.0,19.0,21.0,22.0
4601,0.0,1.0,2.0,4.0,5.0,3.0,11.0,13.0,7.0,9.0,8.0,12.0,6.0,10.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0
4650,1.0,0.0,4.0,2.0,3.0,5.0,8.0,12.0,10.0,7.0,6.0,16.0,11.0,13.0,15.0,9.0,17.0,18.0,19.0,20.0,14.0,22.0,21.0
4699,0.0,1.0,2.0,6.0,4.0,3.0,5.0,13.0,8.0,7.0,16.0,12.0,9.0,11.0,10.0,15.0,17.0,18.0,14.0,19.0,20.0,22.0,21.0
4748,0.0,1.0,5.0,2.0,3.0,4.0,6.0,10.0,13.0,18.0,9.0,11.0,12.0,7.0,20.0,15.0,14.0,8.0,17.0,19.0,16.0,22.0,21.0
4797,0.0,1.0,4.0,3.0,5.0,2.0,6.0,7.0,8.0,12.0,9.0,13.0,10.0,14.0,11.0,15.0,16.0,17.0,19.0,20.0,18.0,22.0,21.0
4846,0.0,2.0,1.0,4.0,3.0,5.0,6.0,12.0,9.0,7.0,10.0,11.0,8.0,13.0,14.0,16.0,17.0,18.0,22.0,15.0,19.0,20.0,21.0
4895,0.0,1.0,2.0,4.0,6.0,3.0,5.0,20.0,8.0,7.0,9.0,10.0,12.0,11.0,18.0,14.0,15.0,16.0,13.0,17.0,19.0,22.0,21.0
