,DNAH8_MUT,GSTTP1_AMP,DPP6_DEL,LOC440970_DEL,PRB1_AMP,LOC653786_DEL,LILRA6_DEL,GOLGA8DP_DEL,LRRC37A2_AMP,CADM2_DEL,USP32P1_AMP,NCOA7_DEL,LPA_AMP,LOC348120_AMP,ARSB_DEL,NSFP1_AMP,MAST4_MUT,AATK_AMP,CT45A3_DEL,OR2T11_AMP,LILRB3_DEL,BCAS1_AMP,PDE4D_AMP,FAM106CP_AMP,CCDC144A_AMP,CROCC_DEL,NCOA3_MUT,TAS2R43_AMP,P2RX7_MUT,OR51A2_DEL
3117,20.0,0.0,1.0,2.0,9.0,18.0,6.0,98.0,42.0,3.0,31.0,16.0,104.0,21.0,54.0,66.0,121.0,118.0,143.0,94.0,13.0,15.0,51.0,50.0,49.0,35.0,58.0,1161.0,87.0,63.0
3166,15.0,2.0,5.0,0.0,8.0,36.0,14.0,38.0,13.0,1.0,93.0,54.0,114.0,34.0,39.0,6.0,70.0,63.0,133.0,67.0,29.0,58.0,65.0,113.0,112.0,259.0,56.0,53.0,68.0,131.0
3215,0.0,12.0,3.0,1.0,9.0,20.0,10.0,6.0,2.0,17.0,168.0,31.0,37.0,11.0,67.0,4.0,75.0,14.0,88.0,65.0,22.0,70.0,79.0,69.0,68.0,129.0,275.0,73.0,156.0,983.0
3264,0.0,2.0,20.0,1.0,30.0,36.0,10.0,19.0,4.0,9.0,27.0,8.0,435.0,38.0,12.0,6.0,117.0,82.0,94.0,14.0,37.0,5.0,53.0,43.0,44.0,24.0,28.0,194.0,33.0,59.0
3313,23.0,0.0,29.0,2.0,5.0,36.0,448.0,9.0,101.0,4.0,6.0,118.0,41.0,10.0,11.0,120.0,22.0,399.0,158.0,73.0,447.0,17.0,27.0,12.0,13.0,14.0,49.0,124.0,24.0,21.0
3362,0.0,1.0,45.0,13.0,4.0,2.0,5.0,3.0,12.0,8.0,20.0,540.0,30.0,25.0,194.0,17.0,180.0,149.0,134.0,120.0,15.0,94.0,32.0,50.0,51.0,95.0,6.0,1473.0,130.0,82.0
3411,6.0,1.0,2.0,12.0,5.0,33.0,7.0,76.0,61.0,168.0,26.0,13.0,429.0,8.0,17.0,74.0,47.0,22.0,334.0,40.0,19.0,62.0,84.0,109.0,108.0,46.0,86.0,1247.0,45.0,4.0
3460,7.0,21.0,0.0,5.0,74.0,12.0,51.0,130.0,3.0,11.0,41.0,13.0,1.0,124.0,16.0,6.0,27.0,15.0,38.0,175.0,52.0,48.0,135.0,19.0,20.0,9.0,91.0,10.0,28.0,1360.0
3509,5.0,3.0,4.0,0.0,14.0,101.0,2.0,26.0,24.0,16.0,21.0,6.0,20.0,51.0,32.0,44.0,69.0,18.0,48.0,128.0,7.0,22.0,322.0,8.0,9.0,15.0,30.0,50.0,13.0,1487.0
3558,3.0,24.0,0.0,2.0,8.0,23.0,5.0,25.0,22.0,57.0,223.0,32.0,110.0,10.0,13.0,30.0,29.0,9.0,6.0,47.0,15.0,44.0,413.0,225.0,224.0,4.0,97.0,1.0,14.0,691.0
3607,32.0,2.0,0.0,8.0,10.0,17.0,22.0,140.0,3.0,74.0,204.0,6.0,11.0,14.0,42.0,7.0,39.0,52.0,43.0,18.0,47.0,40.0,1508.0,82.0,81.0,1.0,292.0,12.0,26.0,490.0
3656,0.0,1.0,2.0,3.0,32.0,5.0,4.0,19.0,48.0,12.0,39.0,25.0,16.0,42.0,10.0,87.0,105.0,15.0,24.0,187.0,14.0,45.0,626.0,17.0,18.0,7.0,106.0,13.0,66.0,285.0
3705,5.0,11.0,2.0,12.0,43.0,4.0,64.0,60.0,8.0,48.0,38.0,321.0,0.0,10.0,44.0,16.0,31.0,47.0,41.0,71.0,126.0,76.0,304.0,14.0,15.0,7.0,42.0,32.0,19.0,169.0
