,XBP1,4E-BP1,AMPK_pT172,Rictor_pT1135,IRS1,VAV1,Akt_pS473,alpha-Catenin,RSK1-2-3,YAP_pS127,STAT5-alpha,A-Raf_pS299,Transglutaminase,Claudin-7,Syk,PAI-1,VEGFR2,Bcl-2,PRDX1,Bax,C-Raf(BD610151),Porin,CD49b,C-Raf_pS338,FRA1,Acetyl-a-Tubulin (Lys40),Collagen_VI,Stathmin,4E-BP1_pT37_T46,E-Cadherin
2797,0.0,6.0,9.0,16.0,4.0,2.0,18.0,17.0,8.0,5.0,39.0,12.0,30.0,3.0,10.0,13.0,1.0,14.0,102.0,81.0,62.0,49.0,36.0,23.0,46.0,21.0,22.0,25.0,38.0,11.0
2846,0.0,2.0,1.0,4.0,15.0,3.0,10.0,22.0,6.0,65.0,17.0,23.0,34.0,11.0,26.0,68.0,13.0,27.0,36.0,30.0,41.0,5.0,33.0,8.0,61.0,28.0,60.0,38.0,7.0,21.0
2895,1.0,0.0,11.0,39.0,9.0,4.0,14.0,18.0,10.0,8.0,90.0,23.0,164.0,2.0,7.0,17.0,5.0,33.0,40.0,50.0,16.0,42.0,24.0,15.0,52.0,27.0,61.0,13.0,19.0,6.0
2944,1.0,0.0,2.0,10.0,34.0,46.0,3.0,5.0,25.0,21.0,14.0,9.0,24.0,63.0,37.0,8.0,6.0,12.0,42.0,16.0,53.0,20.0,52.0,15.0,11.0,60.0,122.0,22.0,27.0,93.0
2993,2.0,0.0,3.0,11.0,23.0,26.0,1.0,14.0,20.0,6.0,47.0,7.0,5.0,10.0,24.0,59.0,4.0,35.0,13.0,16.0,31.0,25.0,82.0,27.0,17.0,22.0,80.0,42.0,75.0,34.0
3042,1.0,0.0,8.0,17.0,6.0,56.0,3.0,12.0,39.0,2.0,60.0,4.0,22.0,34.0,38.0,77.0,26.0,43.0,51.0,19.0,7.0,9.0,29.0,23.0,30.0,59.0,32.0,58.0,15.0,21.0
3091,0.0,6.0,8.0,18.0,2.0,13.0,1.0,15.0,3.0,9.0,5.0,42.0,4.0,24.0,21.0,31.0,56.0,11.0,29.0,7.0,10.0,16.0,34.0,22.0,20.0,88.0,37.0,36.0,103.0,107.0
3140,0.0,5.0,4.0,6.0,52.0,11.0,1.0,8.0,30.0,3.0,7.0,38.0,2.0,145.0,22.0,13.0,12.0,28.0,9.0,56.0,10.0,17.0,88.0,49.0,50.0,55.0,101.0,110.0,124.0,125.0
3189,0.0,7.0,9.0,4.0,5.0,21.0,1.0,6.0,19.0,2.0,20.0,11.0,14.0,37.0,36.0,45.0,3.0,28.0,50.0,22.0,18.0,32.0,42.0,10.0,30.0,99.0,33.0,41.0,34.0,59.0
3238,0.0,5.0,6.0,2.0,19.0,15.0,1.0,16.0,22.0,3.0,29.0,20.0,24.0,13.0,4.0,59.0,62.0,37.0,10.0,17.0,8.0,11.0,9.0,42.0,27.0,109.0,7.0,53.0,43.0,38.0
3287,0.0,1.0,3.0,2.0,18.0,16.0,4.0,11.0,9.0,27.0,14.0,28.0,12.0,73.0,97.0,116.0,71.0,35.0,8.0,7.0,30.0,52.0,64.0,25.0,20.0,51.0,17.0,46.0,86.0,94.0
3336,0.0,1.0,3.0,2.0,7.0,19.0,12.0,4.0,38.0,6.0,49.0,43.0,9.0,18.0,5.0,33.0,8.0,22.0,16.0,15.0,13.0,53.0,140.0,11.0,28.0,23.0,108.0,98.0,40.0,20.0
3385,0.0,10.0,11.0,1.0,4.0,14.0,3.0,2.0,6.0,5.0,78.0,28.0,19.0,8.0,21.0,32.0,9.0,22.0,18.0,7.0,16.0,76.0,17.0,12.0,24.0,39.0,15.0,13.0,43.0,83.0
3434,0.0,2.0,3.0,44.0,5.0,18.0,4.0,78.0,1.0,94.0,6.0,15.0,61.0,20.0,90.0,56.0,27.0,52.0,11.0,26.0,9.0,32.0,28.0,21.0,23.0,79.0,51.0,19.0,25.0,29.0
